ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,2016-09-18,21:25,Jacksonville Jaguars @ San Diego Chargers,Jacksonville Jaguars,San Diego Chargers,2.27,1.66,San Diego Chargers,San Diego Chargers,0.779,N,14,38,San Diego Chargers,1.66
1,2016-09-19,01:30,Philadelphia Eagles @ Chicago Bears,Philadelphia Eagles,Chicago Bears,2.31,1.64,Chicago Bears,Philadelphia Eagles,0.545,Y,29,14,Philadelphia Eagles,1.64
