Bookies_choice,Confidence,Date,Divergence_Y/N,Home_Odd,Home_Team,ID,League,Matchup_US_P,Sibyl,Time,True_Result,Visitor_Odd,Visitor_Team
San Diego Chargers,0.751,2016-12-24,N,2.92,Cleveland Browns,2,NFL,San Diego Chargers @ Cleveland Browns,San Diego Chargers,14:00:00,Upcoming,1.42,San Diego Chargers
Washington Redskins,0.676,2016-12-24,N,2.48,Chicago Bears,3,NFL,Washington Redskins @ Chicago Bears,Washington Redskins,14:00:00,Upcoming,1.56,Washington Redskins
Tennessee Titans,0.709,2016-12-24,N,2.81,Jacksonville Jaguars,4,NFL,Tennessee Titans @ Jacksonville Jaguars,Tennessee Titans,14:00:00,Upcoming,1.44,Tennessee Titans
New England Patriots,0.905,2016-12-24,N,1.05,New England Patriots,5,NFL,New York Jets @ New England Patriots,New England Patriots,14:00:00,Upcoming,10.05,New York Jets
Green Bay Packers,0.632,2016-12-24,N,1.32,Green Bay Packers,6,NFL,Minnesota Vikings @ Green Bay Packers,Green Bay Packers,14:00:00,Upcoming,3.4,Minnesota Vikings
Oakland Raiders,0.779,2016-12-24,N,1.52,Oakland Raiders,7,NFL,Indianapolis Colts @ Oakland Raiders,Oakland Raiders,17:05:00,Upcoming,2.57,Indianapolis Colts
Seattle Seahawks,0.736,2016-12-24,N,1.26,Seattle Seahawks,8,NFL,Arizona Cardinals @ Seattle Seahawks,Seattle Seahawks,17:25:00,Upcoming,3.89,Arizona Cardinals
Los Angeles Rams,0.752,2016-12-24,N,1.43,Los Angeles Rams,9,NFL,San Francisco 49ers @ Los Angeles Rams,Los Angeles Rams,17:25:00,Upcoming,2.84,San Francisco 49ers
New Orleans Saints,0.664,2016-12-24,N,1.55,New Orleans Saints,10,NFL,Tampa Bay Buccaneers @ New Orleans Saints,New Orleans Saints,17:25:00,Upcoming,2.46,Tampa Bay Buccaneers
Houston Texans,0.613,2016-12-24,N,1.9,Houston Texans,11,NFL,Cincinnati Bengals @ Houston Texans,Houston Texans,21:25:00,Upcoming,1.91,Cincinnati Bengals
Pittsburgh Steelers,0.642,2016-12-25,N,1.39,Pittsburgh Steelers,12,NFL,Baltimore Ravens @ Pittsburgh Steelers,Pittsburgh Steelers,17:30:00,Upcoming,3.06,Baltimore Ravens
Kansas City Chiefs,0.639,2016-12-25,N,1.54,Kansas City Chiefs,13,NFL,Denver Broncos @ Kansas City Chiefs,Kansas City Chiefs,21:30:00,Upcoming,2.5,Denver Broncos
Dallas Cowboys,0.617,2016-12-26,N,1.35,Dallas Cowboys,14,NFL,Detroit Lions @ Dallas Cowboys,Dallas Cowboys,21:30:00,Upcoming,3.27,Detroit Lions
Columbus Blue Jackets,0.615,2016-12-23,N,1.62,Columbus Blue Jackets,0,NHL,Montreal Canadiens @ Columbus Blue Jackets,Columbus Blue Jackets,20:00:00,Upcoming,2.29,Montreal Canadiens
New York Islanders,0.587,2016-12-23,N,1.67,New York Islanders,1,NHL,Buffalo Sabres @ New York Islanders,New York Islanders,20:00:00,Upcoming,2.2,Buffalo Sabres
New York Rangers,0.588,2016-12-23,N,1.63,New York Rangers,2,NHL,Minnesota Wild @ New York Rangers,New York Rangers,20:00:00,Upcoming,2.27,Minnesota Wild
Pittsburgh Penguins,0.745,2016-12-23,N,1.42,Pittsburgh Penguins,3,NHL,New Jersey Devils @ Pittsburgh Penguins,Pittsburgh Penguins,20:00:00,Upcoming,2.85,New Jersey Devils
Washington Capitals,0.651,2016-12-23,N,1.44,Washington Capitals,4,NHL,Tampa Bay Lightning @ Washington Capitals,Washington Capitals,20:00:00,Upcoming,2.79,Tampa Bay Lightning
Carolina Hurricanes,0.513,2016-12-23,Y,1.89,Carolina Hurricanes,5,NHL,Boston Bruins @ Carolina Hurricanes,Boston Bruins,20:30:00,Upcoming,1.91,Boston Bruins
Florida Panthers,0.578,2016-12-23,N,1.63,Florida Panthers,6,NHL,Detroit Red Wings @ Florida Panthers,Florida Panthers,20:30:00,Upcoming,2.28,Detroit Red Wings
Chicago Blackhawks,0.808,2016-12-23,N,1.33,Chicago Blackhawks,7,NHL,Colorado Avalanche @ Chicago Blackhawks,Chicago Blackhawks,21:30:00,Upcoming,3.27,Colorado Avalanche
Dallas Stars,0.61,2016-12-23,Y,1.73,Dallas Stars,8,NHL,Los Angeles Kings @ Dallas Stars,Los Angeles Kings,21:30:00,Upcoming,2.1,Los Angeles Kings
Toronto Maple Leafs,0.56,2016-12-23,N,2.21,Arizona Coyotes,9,NHL,Toronto Maple Leafs @ Arizona Coyotes,Toronto Maple Leafs,22:00:00,Upcoming,1.67,Toronto Maple Leafs
Calgary Flames,0.629,2016-12-23,N,1.49,Calgary Flames,10,NHL,Vancouver Canucks @ Calgary Flames,Calgary Flames,22:00:00,Upcoming,2.63,Vancouver Canucks
San Jose Sharks,0.643,2016-12-23,N,1.59,San Jose Sharks,11,NHL,Edmonton Oilers @ San Jose Sharks,San Jose Sharks,23:30:00,Upcoming,2.37,Edmonton Oilers
Columbus Blue Jackets,0.713,2016-12-27,N,2.18,Columbus Blue Jackets,12,NHL,Boston Bruins @ Columbus Blue Jackets,Columbus Blue Jackets,20:00:00,Upcoming,2.95,Boston Bruins
Pittsburgh Penguins,0.656,2016-12-27,N,3.54,New Jersey Devils,13,NHL,Pittsburgh Penguins @ New Jersey Devils,Pittsburgh Penguins,20:00:00,Upcoming,1.94,Pittsburgh Penguins
Washington Capitals,0.619,2016-12-27,N,3.01,New York Islanders,14,NHL,Washington Capitals @ New York Islanders,Washington Capitals,20:00:00,Upcoming,2.14,Washington Capitals
New York Rangers,0.678,2016-12-27,N,1.96,New York Rangers,15,NHL,Ottawa Senators @ New York Rangers,New York Rangers,20:00:00,Upcoming,3.42,Ottawa Senators
Detroit Red Wings,0.589,2016-12-27,N,2.23,Detroit Red Wings,16,NHL,Buffalo Sabres @ Detroit Red Wings,Detroit Red Wings,20:30:00,Upcoming,2.89,Buffalo Sabres
Nashville Predators,0.64,2016-12-27,Y,2.35,Nashville Predators,17,NHL,Minnesota Wild @ Nashville Predators,Minnesota Wild,21:00:00,Upcoming,2.73,Minnesota Wild
Chicago Blackhawks,0.714,2016-12-27,N,1.84,Chicago Blackhawks,18,NHL,Winnipeg Jets @ Chicago Blackhawks,Chicago Blackhawks,21:30:00,Upcoming,3.96,Winnipeg Jets
Dallas Stars,0.502,2016-12-27,Y,2.98,Arizona Coyotes,19,NHL,Dallas Stars @ Arizona Coyotes,Arizona Coyotes,22:00:00,Upcoming,2.19,Dallas Stars
Calgary Flames,0.622,2016-12-27,N,2.59,Colorado Avalanche,20,NHL,Calgary Flames @ Colorado Avalanche,Calgary Flames,22:00:00,Upcoming,2.43,Calgary Flames
Anaheim Ducks,0.567,2016-12-27,Y,2.38,Anaheim Ducks,21,NHL,San Jose Sharks @ Anaheim Ducks,San Jose Sharks,23:00:00,Upcoming,2.66,San Jose Sharks
Toronto Maple Leafs,0.562,2016-12-28,Y,1.37,Florida Panthers,22,NHL,Toronto Maple Leafs @ Florida Panthers,Florida Panthers,20:00:00,Upcoming,1.28,Toronto Maple Leafs
Carolina Hurricanes,0.677,2016-12-28,Y,1.3,Pittsburgh Penguins,23,NHL,Carolina Hurricanes @ Pittsburgh Penguins,Pittsburgh Penguins,20:00:00,Upcoming,1.28,Carolina Hurricanes
Montreal Canadiens,0.603,2016-12-28,N,1.47,Tampa Bay Lightning,24,NHL,Montreal Canadiens @ Tampa Bay Lightning,Montreal Canadiens,20:30:00,Upcoming,1.28,Montreal Canadiens
Philadelphia Flyers,0.556,2016-12-28,Y,1.41,St. Louis Blues,25,NHL,Philadelphia Flyers @ St. Louis Blues,St. Louis Blues,21:00:00,Upcoming,1.28,Philadelphia Flyers
Los Angeles Kings,0.602,2016-12-28,N,1.69,Vancouver Canucks,26,NHL,Los Angeles Kings @ Vancouver Canucks,Los Angeles Kings,23:00:00,Upcoming,1.28,Los Angeles Kings
