ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
39,2016-10-27,03:30,Los Angeles Kings vs Nashville Predators,Los Angeles Kings,Nashville Predators,2.21,1.83,Nashville Predators,Los Angeles Kings,0.65,Y,3,2OT,Nashville Predators,2.21
40,2016-10-27,03:30,San Jose Sharks vs Columbus Blue Jackets,San Jose Sharks,Columbus Blue Jackets,4.03,3.73,Columbus Blue Jackets,Columbus Blue Jackets,0.54,N,3,1,Columbus Blue Jackets,4.03
41,2016-10-28,00:30,Carolina Hurricanes vs New York Rangers,Carolina Hurricanes,New York Rangers,3.83,2.33,New York Rangers,New York Rangers,0.609,N,3,2,New York Rangers,3.83
42,2016-10-28,00:30,New Jersey Devils vs Chicago Blackhawks,New Jersey Devils,Chicago Blackhawks,2.9,3.81,New Jersey Devils,Chicago Blackhawks,0.618,Y,2,3OT,Chicago Blackhawks,2.9
43,2016-10-28,02:00,Calgary Flames vs Ottawa Senators,Calgary Flames,Ottawa Senators,2.86,3.73,Calgary Flames,Calgary Flames,0.517,N,5,2,Ottawa Senators,2.86
44,2016-10-28,02:00,Colorado Avalanche vs Winnipeg Jets,Colorado Avalanche,Winnipeg Jets,2.26,2.7,Colorado Avalanche,Winnipeg Jets,0.567,Y,0,1,Winnipeg Jets,2.26
45,2016-10-28,03:00,Anaheim Ducks vs Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,2.93,1.89,Columbus Blue Jackets,Columbus Blue Jackets,0.67,N,0,4,Columbus Blue Jackets,2.93
46,2016-10-28,03:00,Vancouver Canucks vs Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,4.05,3.49,Edmonton Oilers,Edmonton Oilers,0.579,N,0,2,Edmonton Oilers,4.05
47,2016-10-29,00:00,Detroit Red Wings vs Boston Bruins,Detroit Red Wings,Boston Bruins,3.86,2.59,Boston Bruins,Boston Bruins,0.559,N,0,1,Boston Bruins,3.86
48,2016-10-29,00:00,Montreal Canadiens vs Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,2.13,3.8,Montreal Canadiens,Montreal Canadiens,0.724,N,2,1,Toronto Maple Leafs,2.13
49,2016-10-29,00:00,New Jersey Devils vs Tampa Bay Lightning,New Jersey Devils,Tampa Bay Lightning,3.08,2.12,Tampa Bay Lightning,Tampa Bay Lightning,0.545,N,3,1,Tampa Bay Lightning,3.08
50,2016-10-29,00:00,Philadelphia Flyers vs Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,3.76,3.09,Pittsburgh Penguins,Pittsburgh Penguins,0.568,N,4,5,Pittsburgh Penguins,3.76
51,2016-10-29,02:00,Arizona Coyotes vs Colorado Avalanche,Arizona Coyotes,Colorado Avalanche,4.01,3.27,Colorado Avalanche,Arizona Coyotes,0.565,Y,2,3,Colorado Avalanche,4.01
52,2016-10-29,02:00,Minnesota Wild vs Dallas Stars,Minnesota Wild,Dallas Stars,3.82,4.05,Minnesota Wild,Minnesota Wild,0.764,N,4,0,Dallas Stars,3.82
53,2016-10-29,02:00,St. Louis Blues vs Los Angeles Kings,St. Louis Blues,Los Angeles Kings,1.82,2.38,St. Louis Blues,St. Louis Blues,0.539,N,1,0,Los Angeles Kings,1.82
54,2016-10-29,02:00,Vancouver Canucks vs Washington Capitals,Vancouver Canucks,Washington Capitals,3.27,1.99,Washington Capitals,Washington Capitals,0.667,N,2,5,Washington Capitals,3.27
55,2016-10-29,02:30,San Jose Sharks vs Nashville Predators,San Jose Sharks,Nashville Predators,1.97,4.02,San Jose Sharks,San Jose Sharks,0.732,N,4,1,Nashville Predators,1.97
56,2016-10-30,01:00,Edmonton Oilers vs Ottawa Senators,Edmonton Oilers,Ottawa Senators,2.18,2.22,Edmonton Oilers,Edmonton Oilers,0.537,N,0,2,Ottawa Senators,2.18
57,2016-10-30,01:30,Calgary Flames vs Washington Capitals,Calgary Flames,Washington Capitals,2.84,3.83,Calgary Flames,Washington Capitals,0.56,Y,1,3,Washington Capitals,2.84
