ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
43,2016-10-28,02:00,Ottawa Senators @ Calgary Flames,Ottawa Senators,Calgary Flames,3.73,2.86,Calgary Flames,Calgary Flames,0.517,N,2,5,Calgary Flames,2.86
44,2016-10-28,02:00,Winnipeg Jets @ Colorado Avalanche,Winnipeg Jets,Colorado Avalanche,2.7,2.26,Colorado Avalanche,Winnipeg Jets,0.567,Y,1,0,Winnipeg Jets,2.26
45,2016-10-28,03:00,Columbus Blue Jackets @ Anaheim Ducks,Columbus Blue Jackets,Anaheim Ducks,1.89,2.93,Columbus Blue Jackets,Columbus Blue Jackets,0.67,N,4,0,Columbus Blue Jackets,2.93
46,2016-10-28,03:00,Edmonton Oilers @ Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,3.49,4.05,Edmonton Oilers,Edmonton Oilers,0.579,N,2,0,Edmonton Oilers,4.05
47,2016-10-29,00:00,Boston Bruins @ Detroit Red Wings,Boston Bruins,Detroit Red Wings,2.59,3.86,Boston Bruins,Boston Bruins,0.559,N,1,0,Boston Bruins,3.86
48,2016-10-29,00:00,Toronto Maple Leafs @ Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,3.8,2.13,Montreal Canadiens,Montreal Canadiens,0.724,N,1,2,Montreal Canadiens,2.13
49,2016-10-29,00:00,Tampa Bay Lightning @ New Jersey Devils,Tampa Bay Lightning,New Jersey Devils,2.12,3.08,Tampa Bay Lightning,Tampa Bay Lightning,0.545,N,1,3,New Jersey Devils,3.08
50,2016-10-29,00:00,Pittsburgh Penguins @ Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,3.09,3.76,Pittsburgh Penguins,Pittsburgh Penguins,0.568,N,5,4,Pittsburgh Penguins,3.76
51,2016-10-29,02:00,Colorado Avalanche @ Arizona Coyotes,Colorado Avalanche,Arizona Coyotes,3.27,4.01,Colorado Avalanche,Arizona Coyotes,0.565,Y,3,2,Colorado Avalanche,4.01
52,2016-10-29,02:00,Dallas Stars @ Minnesota Wild,Dallas Stars,Minnesota Wild,4.05,3.82,Minnesota Wild,Minnesota Wild,0.764,N,0,4,Minnesota Wild,3.82
53,2016-10-29,02:00,Los Angeles Kings @ St. Louis Blues,Los Angeles Kings,St. Louis Blues,2.38,1.82,St. Louis Blues,St. Louis Blues,0.539,N,0,1,St. Louis Blues,1.82
54,2016-10-29,02:00,Washington Capitals @ Vancouver Canucks,Washington Capitals,Vancouver Canucks,1.99,3.27,Washington Capitals,Washington Capitals,0.667,N,5,2,Washington Capitals,3.27
55,2016-10-29,02:30,Nashville Predators @ San Jose Sharks,Nashville Predators,San Jose Sharks,4.02,1.97,San Jose Sharks,San Jose Sharks,0.732,N,1,4,San Jose Sharks,1.97
56,2016-10-30,01:00,Ottawa Senators @ Edmonton Oilers,Ottawa Senators,Edmonton Oilers,2.22,2.18,Edmonton Oilers,Edmonton Oilers,0.537,N,2,0,Ottawa Senators,2.18
57,2016-10-30,01:30,Washington Capitals @ Calgary Flames,Washington Capitals,Calgary Flames,3.83,2.84,Calgary Flames,Washington Capitals,0.56,Y,3,1,Washington Capitals,2.84
