ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
0,2016-09-25,21:25,San Diego Chargers @ Indianapolis Colts,San Diego Chargers,Indianapolis Colts,2.04,1.81,Indianapolis Colts,Indianapolis Colts,0.654,N,22,26,Indianapolis Colts,1.81
1,2016-10-09,01:30,Cincinnati Bengals @ Dallas Cowboys,Cincinnati Bengals,Dallas Cowboys,1.9,1.94,Cincinnati Bengals,Dallas Cowboys,0.857,Y,20,21,Dallas Cowboys,1.94
