ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
72,Golden State Warriors,97,Los Angeles Lakers,117,1,0,0.899428668332,2016-11-04
73,Los Angeles Clippers,99,Memphis Grizzlies,88,0,0,0.635065217473,2016-11-04
74,Phoenix Suns,112,New Orleans Pelicans,111,0,1,0.768959400826,2016-11-04
75,Miami Heat,87,Toronto Raptors,96,1,1,0.926609769217,2016-11-04
76,San Antonio Spurs,100,Utah Jazz,86,0,1,0.538303527437,2016-11-04
77,Atlanta Hawks,92,Washington Wizards,95,1,1,0.669950676435,2016-11-04
78,Houston Rockets,97,Atlanta Hawks,112,1,0,0.707156298623,2016-11-05
79,Denver Nuggets,86,Detroit Pistons,103,1,1,0.756578242335,2016-11-05
80,Chicago Bulls,94,Indiana Pacers,111,1,1,0.511650340572,2016-11-05
81,Sacramento Kings,91,Milwaukee Bucks,117,1,1,0.774920610072,2016-11-05
82,Minnesota Timberwolves,92,Oklahoma City Thunder,112,1,1,0.76416135902,2016-11-05
83,Washington Wizards,86,Orlando Magic,88,1,1,0.531135814085,2016-11-05
84,Cleveland Cavaliers,102,Philadelphia 76ers,101,0,0,0.880145004066,2016-11-05
85,Los Angeles Clippers,116,San Antonio Spurs,92,0,1,0.666458502859,2016-11-05
86,Denver Nuggets,123,Boston Celtics,107,0,1,0.775544689039,2016-11-06
87,Milwaukee Bucks,75,Dallas Mavericks,86,1,0,0.623884130435,2016-11-06
88,Phoenix Suns,108,Los Angeles Lakers,119,1,1,0.715862411068,2016-11-06
89,Portland Trail Blazers,100,Memphis Grizzlies,94,0,1,0.735778428819,2016-11-06
90,Utah Jazz,114,New York Knicks,109,0,0,0.611548486186,2016-11-06
91,Sacramento Kings,96,Toronto Raptors,91,0,1,0.921660356742,2016-11-06
92,Orlando Magic,80,Chicago Bulls,112,1,1,0.798744172869,2016-11-07
93,Indiana Pacers,100,Charlotte Hornets,122,1,1,0.78434901223,2016-11-07
94,New Orleans Pelicans,106,Golden State Warriors,116,1,1,0.956387405368,2016-11-07
95,Detroit Pistons,82,Los Angeles Clippers,114,1,1,0.802136717497,2016-11-07
96,Miami Heat,85,Oklahoma City Thunder,97,1,1,0.782343576226,2016-11-07
97,Utah Jazz,109,Philadelphia 76ers,84,0,0,0.803224928399,2016-11-07
98,Houston Rockets,114,Washington Wizards,106,0,0,0.68164039532,2016-11-07
99,Minnesota Timberwolves,110,Brooklyn Nets,119,1,0,0.560594582043,2016-11-08
100,Atlanta Hawks,110,Cleveland Cavaliers,106,0,1,0.904645332986,2016-11-08
101,Dallas Mavericks,109,Los Angeles Lakers,97,0,1,0.634935490304,2016-11-08
102,Denver Nuggets,107,Memphis Grizzlies,108,1,1,0.690907250978,2016-11-08
103,Phoenix Suns,121,Portland Trail Blazers,124,1,1,0.773227898983,2016-11-08
104,New Orleans Pelicans,94,Sacramento Kings,102,1,1,0.687525310785,2016-11-08
105,Chicago Bulls,107,Atlanta Hawks,115,1,1,0.534830840606,2016-11-09
106,Utah Jazz,98,Charlotte Hornets,104,1,1,0.530764590905,2016-11-09
107,Dallas Mavericks,95,Golden State Warriors,116,1,1,0.965510824389,2016-11-09
108,Philadelphia 76ers,115,Indiana Pacers,122,1,1,0.804385793914,2016-11-09
109,Portland Trail Blazers,80,Los Angeles Clippers,111,1,1,0.89713786828,2016-11-09
110,Brooklyn Nets,96,New York Knicks,110,1,1,0.80472740246,2016-11-09
111,Toronto Raptors,112,Oklahoma City Thunder,102,0,0,0.661211000608,2016-11-09
112,Minnesota Timberwolves,123,Orlando Magic,107,0,1,0.551972835904,2016-11-09
113,Detroit Pistons,100,Phoenix Suns,107,1,0,0.693685340209,2016-11-09
114,Houston Rockets,101,San Antonio Spurs,99,0,1,0.651940887118,2016-11-09
115,Boston Celtics,93,Washington Wizards,118,1,1,0.502365626806,2016-11-09
116,Golden State Warriors,125,Denver Nuggets,101,0,0,0.841377976622,2016-11-10
117,Chicago Bulls,98,Miami Heat,95,0,1,0.518031168712,2016-11-10
118,New Orleans Pelicans,112,Milwaukee Bucks,106,0,1,0.808022638211,2016-11-10
119,Los Angeles Lakers,101,Sacramento Kings,91,0,1,0.744024171194,2016-11-10
120,New York Knicks,87,Boston Celtics,115,1,1,0.777754106173,2016-11-11
121,Toronto Raptors,113,Charlotte Hornets,111,0,0,0.664279741342,2016-11-11
122,Los Angeles Clippers,110,Oklahoma City Thunder,108,0,0,0.548019250583,2016-11-11
123,Utah Jazz,87,Orlando Magic,74,0,0,0.69636392561,2016-11-11
124,Indiana Pacers,105,Philadelphia 76ers,109,1,0,0.559367306389,2016-11-11
125,Sacramento Kings,120,Portland Trail Blazers,122,1,1,0.601315239666,2016-11-11
126,Detroit Pistons,86,San Antonio Spurs,96,1,1,0.818206511164,2016-11-11
127,Cleveland Cavaliers,105,Washington Wizards,94,0,0,0.721980676075,2016-11-11
128,Philadelphia 76ers,96,Atlanta Hawks,117,1,1,0.818597501878,2016-11-12
129,Washington Wizards,95,Chicago Bulls,106,1,1,0.714124006441,2016-11-12
130,Detroit Pistons,106,Denver Nuggets,95,0,1,0.51033091091,2016-11-12
131,San Antonio Spurs,106,Houston Rockets,100,0,1,0.633615354686,2016-11-12
132,Boston Celtics,105,Indiana Pacers,99,0,0,0.55076672057,2016-11-12
133,Utah Jazz,102,Miami Heat,91,0,0,0.635239855367,2016-11-12
134,Memphis Grizzlies,96,Milwaukee Bucks,106,1,1,0.726424721215,2016-11-12
135,Los Angeles Clippers,119,Minnesota Timberwolves,105,0,0,0.685816306842,2016-11-12
136,Los Angeles Lakers,126,New Orleans Pelicans,99,0,1,0.703930474771,2016-11-12
137,Brooklyn Nets,122,Phoenix Suns,104,0,1,0.638788325536,2016-11-12
138,New York Knicks,107,Toronto Raptors,118,1,1,0.919443138688,2016-11-12
139,Charlotte Hornets,93,Cleveland Cavaliers,100,1,1,0.837447350735,2016-11-13
140,Phoenix Suns,120,Golden State Warriors,133,1,1,0.975933928433,2016-11-13
141,Los Angeles Lakers,99,Minnesota Timberwolves,125,1,1,0.750282011437,2016-11-13
142,Orlando Magic,119,Oklahoma City Thunder,117,0,1,0.825585201707,2016-11-13
143,Denver Nuggets,105,Portland Trail Blazers,112,1,1,0.590949795329,2016-11-13
144,Oklahoma City Thunder,88,Detroit Pistons,104,1,1,0.635521401458,2016-11-14
145,Philadelphia 76ers,88,Houston Rockets,115,1,1,0.951485274965,2016-11-14
146,Orlando Magic,69,Indiana Pacers,88,1,1,0.697918119798,2016-11-14
147,Brooklyn Nets,95,Los Angeles Clippers,127,1,1,0.941981152201,2016-11-14
148,Boston Celtics,105,New Orleans Pelicans,106,1,0,0.576521383052,2016-11-14
149,Dallas Mavericks,77,New York Knicks,93,1,1,0.743280216096,2016-11-14
150,Miami Heat,90,San Antonio Spurs,94,1,1,0.896993602652,2016-11-14
151,Memphis Grizzlies,102,Utah Jazz,96,0,1,0.802141757093,2016-11-14
152,Toronto Raptors,117,Cleveland Cavaliers,121,1,1,0.591280491513,2016-11-15
153,Brooklyn Nets,118,Los Angeles Lakers,125,1,1,0.712276952649,2016-11-15
154,Atlanta Hawks,93,Miami Heat,90,0,1,0.627212426858,2016-11-15
155,Charlotte Hornets,115,Minnesota Timberwolves,108,0,1,0.503359546431,2016-11-15
156,Chicago Bulls,113,Portland Trail Blazers,88,0,0,0.508485939886,2016-11-15
157,Milwaukee Bucks,100,Atlanta Hawks,107,1,0,0.516042677839,2016-11-16
158,Dallas Mavericks,83,Boston Celtics,90,1,1,0.849162057946,2016-11-16
159,Phoenix Suns,104,Denver Nuggets,120,1,1,0.809444553499,2016-11-16
160,Cleveland Cavaliers,93,Indiana Pacers,103,1,0,0.762699957131,2016-11-16
161,Memphis Grizzlies,111,Los Angeles Clippers,107,0,1,0.849329125113,2016-11-16
162,Detroit Pistons,102,New York Knicks,105,1,1,0.507147635327,2016-11-16
163,Houston Rockets,103,Oklahoma City Thunder,105,1,0,0.563972420067,2016-11-16
164,New Orleans Pelicans,82,Orlando Magic,89,1,1,0.60889662609,2016-11-16
165,Washington Wizards,102,Philadelphia 76ers,109,1,0,0.611073369448,2016-11-16
166,San Antonio Spurs,110,Sacramento Kings,105,0,0,0.714695396686,2016-11-16
167,Golden State Warriors,127,Toronto Raptors,121,0,1,0.541375439606,2016-11-16
168,Portland Trail Blazers,109,Houston Rockets,126,1,1,0.902950713256,2016-11-17
169,Milwaukee Bucks,73,Miami Heat,96,1,0,0.532849157419,2016-11-17
170,Philadelphia 76ers,86,Minnesota Timberwolves,110,1,1,0.823933183334,2016-11-17
171,Chicago Bulls,85,Utah Jazz,77,0,1,0.77110983731,2016-11-17
172,New York Knicks,112,Washington Wizards,119,1,1,0.662491858963,2016-11-17
173,Golden State Warriors,104,Boston Celtics,88,0,0,0.734250831073,2016-11-18
174,Atlanta Hawks,96,Charlotte Hornets,100,1,1,0.76821389122,2016-11-18
175,Detroit Pistons,81,Cleveland Cavaliers,104,1,1,0.839877766091,2016-11-18
176,Memphis Grizzlies,80,Dallas Mavericks,64,0,0,0.529261357058,2016-11-18
177,Toronto Raptors,113,Denver Nuggets,111,0,0,0.776732942591,2016-11-18
178,Phoenix Suns,116,Indiana Pacers,96,0,1,0.787041739056,2016-11-18
179,San Antonio Spurs,116,Los Angeles Lakers,107,0,0,0.801805880888,2016-11-18
180,Portland Trail Blazers,101,New Orleans Pelicans,113,1,1,0.637258842628,2016-11-18
181,Brooklyn Nets,105,Oklahoma City Thunder,124,1,1,0.881517184567,2016-11-18
182,Los Angeles Clippers,121,Sacramento Kings,115,0,0,0.692909819307,2016-11-18
183,Boston Celtics,94,Detroit Pistons,92,0,1,0.618170789992,2016-11-19
184,Utah Jazz,102,Houston Rockets,111,1,1,0.72748771501,2016-11-19
185,Chicago Bulls,95,Los Angeles Clippers,102,1,1,0.824074888634,2016-11-19
186,Minnesota Timberwolves,71,Memphis Grizzlies,93,1,1,0.6930235423,2016-11-19
187,Golden State Warriors,124,Milwaukee Bucks,121,0,0,0.743250935583,2016-11-19
188,Charlotte Hornets,116,New Orleans Pelicans,121,1,0,0.554925760952,2016-11-19
189,Dallas Mavericks,87,Orlando Magic,95,1,1,0.665270570701,2016-11-19
190,Phoenix Suns,105,Philadelphia 76ers,120,1,1,0.61796519892,2016-11-19
191,Miami Heat,114,Washington Wizards,111,0,1,0.684678235513,2016-11-19
