ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
72,Golden State Warriors,97,Los Angeles Lakers,117,1,0,0.905499049135,2016-11-04
73,Los Angeles Clippers,99,Memphis Grizzlies,88,0,0,0.676041917481,2016-11-04
74,Phoenix Suns,112,New Orleans Pelicans,111,0,1,0.766352880127,2016-11-04
75,Miami Heat,87,Toronto Raptors,96,1,1,0.925769116052,2016-11-04
76,San Antonio Spurs,100,Utah Jazz,86,0,1,0.577304115938,2016-11-04
77,Atlanta Hawks,92,Washington Wizards,95,1,1,0.670912104612,2016-11-04
78,Houston Rockets,97,Atlanta Hawks,112,1,0,0.694447412742,2016-11-05
79,Denver Nuggets,86,Detroit Pistons,103,1,1,0.742812664758,2016-11-05
80,Chicago Bulls,94,Indiana Pacers,111,1,0,0.515714880872,2016-11-05
81,Sacramento Kings,91,Milwaukee Bucks,117,1,1,0.761734189466,2016-11-05
82,Minnesota Timberwolves,92,Oklahoma City Thunder,112,1,1,0.742824087763,2016-11-05
83,Washington Wizards,86,Orlando Magic,88,1,0,0.530709266469,2016-11-05
84,Cleveland Cavaliers,102,Philadelphia 76ers,101,0,0,0.88841507696,2016-11-05
85,Los Angeles Clippers,116,San Antonio Spurs,92,0,1,0.585104862069,2016-11-05
86,Denver Nuggets,123,Boston Celtics,107,0,1,0.780965918501,2016-11-06
87,Milwaukee Bucks,75,Dallas Mavericks,86,1,0,0.607394856012,2016-11-06
88,Phoenix Suns,108,Los Angeles Lakers,119,1,1,0.71484239042,2016-11-06
89,Portland Trail Blazers,100,Memphis Grizzlies,94,0,1,0.740378160208,2016-11-06
90,Utah Jazz,114,New York Knicks,109,0,0,0.622206838157,2016-11-06
91,Sacramento Kings,96,Toronto Raptors,91,0,1,0.925618965462,2016-11-06
92,Orlando Magic,80,Chicago Bulls,112,1,1,0.842726057949,2016-11-07
93,Indiana Pacers,100,Charlotte Hornets,122,1,1,0.778247354691,2016-11-07
94,New Orleans Pelicans,106,Golden State Warriors,116,1,1,0.959550309452,2016-11-07
