ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
30,2016-10-18,01:30,Philadelphia Flyers @ Chicago Blackhawks,Philadelphia Flyers,Chicago Blackhawks,3.86,3.14,Chicago Blackhawks,Chicago Blackhawks,0.631,N,4,7,Chicago Blackhawks,3.14
31,2016-10-18,02:00,Buffalo Sabres @ Calgary Flames,Buffalo Sabres,Calgary Flames,2.4,3.27,Buffalo Sabres,Calgary Flames,0.626,Y,3OT,4,Calgary Flames,3.27
32,2016-10-18,02:00,Carolina Hurricanes @ Edmonton Oilers,Carolina Hurricanes,Edmonton Oilers,2.54,3.99,Carolina Hurricanes,Edmonton Oilers,0.592,Y,2,3,Edmonton Oilers,3.99
33,2016-10-18,03:00,St. Louis Blues @ Vancouver Canucks,St. Louis Blues,Vancouver Canucks,4.08,1.97,Vancouver Canucks,St. Louis Blues,0.575,Y,1OT,2,Vancouver Canucks,1.97
34,2016-10-19,01:00,Detroit Red Wings @ New York Rangers,Detroit Red Wings,New York Rangers,2.69,2.61,New York Rangers,New York Rangers,0.766,N,2,1,Detroit Red Wings,2.61
35,2016-10-19,01:00,Toronto Maple Leafs @ Winnipeg Jets,Toronto Maple Leafs,Winnipeg Jets,2.3,3.9,Toronto Maple Leafs,Winnipeg Jets,0.531,Y,4OT,5,Winnipeg Jets,3.9
36,2016-10-20,00:00,New Jersey Devils @ Boston Bruins,New Jersey Devils,Boston Bruins,2.04,3.74,New Jersey Devils,Boston Bruins,0.693,Y,1,2,Boston Bruins,3.74
37,2016-10-20,00:00,Anaheim Ducks @ Philadelphia Flyers,Anaheim Ducks,Philadelphia Flyers,3.22,3.84,Anaheim Ducks,Philadelphia Flyers,0.577,Y,3,2,Anaheim Ducks,3.84
38,2016-10-20,00:00,San Jose Sharks @ Pittsburgh Penguins,San Jose Sharks,Pittsburgh Penguins,3.84,2.38,Pittsburgh Penguins,Pittsburgh Penguins,0.553,N,2,3,Pittsburgh Penguins,2.38
39,2016-10-20,00:30,Washington Capitals @ Florida Panthers,Washington Capitals,Florida Panthers,3.81,2.55,Florida Panthers,Washington Capitals,0.594,Y,4,2,Washington Capitals,2.55
