,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
10,Steve Darcis,2007,25,4,65,44,21,0.677,5,1,14,10
9,Steve Darcis,2008,26,1,52,25,27,0.481,2,5,14,9
8,Steve Darcis,2009,30,0,57,28,29,0.491,3,0,11,12
7,Steve Darcis,2010,22,1,50,31,19,0.620,1,1,8,5
6,Steve Darcis,2011,23,2,60,40,20,0.667,3,4,16,10
5,Steve Darcis,2012,25,0,51,28,23,0.549,2,1,21,4
4,Steve Darcis,2013,19,1,39,23,16,0.590,2,0,12,7
3,Steve Darcis,2014,12,3,41,31,10,0.756,3,1,5,4
2,Steve Darcis,2015,20,1,46,26,20,0.565,1,1,7,9
1,Steve Darcis,2016,16,3,47,35,12,0.745,4,1,9,8
