Year,Date,Player_A,Player_B,True_Result
2017,2017-01-02,David Goffin,Robin Haase,W
2017,2017-01-02,David Goffin,Fernando Verdasco,L
2017,2017-01-16,David Goffin,Reilly Opelka,W
2017,2017-01-16,David Goffin,Radek Stepanek,W
2017,2017-01-16,David Goffin,Ivo Karlovic,W
2017,2017-01-16,David Goffin,Dominic Thiem,W
