,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
10,Santiago Giraldo,2007,17,2,41,26,15,0.634,1,1,13,7
9,Santiago Giraldo,2008,24,0,45,21,24,0.467,1,2,8,9
8,Santiago Giraldo,2009,20,3,55,38,17,0.691,1,2,16,9
7,Santiago Giraldo,2010,29,1,62,34,28,0.548,2,3,9,14
6,Santiago Giraldo,2011,26,0,55,29,26,0.527,0,0,7,11
5,Santiago Giraldo,2012,23,0,48,26,22,0.542,2,1,10,5
4,Santiago Giraldo,2013,30,1,56,27,29,0.482,1,1,7,10
3,Santiago Giraldo,2014,28,0,57,28,29,0.491,3,0,12,11
2,Santiago Giraldo,2015,29,0,51,22,29,0.431,2,1,8,9
1,Santiago Giraldo,2016,26,2,57,33,24,0.579,3,1,11,8
