Year,Date,Player_A,Player_B,True_Result
2017,2017-01-02,Steve Darcis,Nikola Mektic,W
2017,2017-01-02,Steve Darcis,Albert Ramos Vinolas,L
2017,2017-01-09,Steve Darcis,Corentin Moutet,W
2017,2017-01-09,Steve Darcis,Hans Podlipnik Castillo,W
2017,2017-01-09,Steve Darcis,Denis Shapovalov,W
2017,2017-01-09,Steve Darcis,Jan Lennard Struff,L
2017,2017-01-16,Steve Darcis,Sam Groth,W
2017,2017-01-16,Steve Darcis,Diego Schwartzman,W
2017,2017-01-16,Steve Darcis,Andreas Seppi,L
