Year,Date,Player_A,Player_B,True_Result
2017,2017-01-02,Nicolas Mahut,Stephane Robert,W
2017,2017-01-02,Nicolas Mahut,Grigor Dimitrov,L
2017,2017-01-09,Nicolas Mahut,Thomaz Bellucci,W
2017,2017-01-09,Nicolas Mahut,Pablo Cuevas,L
2017,2017-01-16,Nicolas Mahut,Ryan Harrison,L
