Year,Date,Player_A,Player_B,True_Result
2017,2017-01-02,Adrian Mannarino,Aleksandar Vukic,W
2017,2017-01-02,Adrian Mannarino,Jose Statham,W
2017,2017-01-02,Adrian Mannarino,Kenny De Schepper,W
2017,2017-01-02,Adrian Mannarino,Alejandro Falla,W
2017,2017-01-02,Adrian Mannarino,Nikola Milojevic,W
2017,2017-01-09,Adrian Mannarino,Marcos Baghdatis,L
2017,2017-01-16,Adrian Mannarino,Karen Khachanov,L
