Year,Date,Player_A,Player_B,True_Result
2017,2017-01-01,Rogerio Dutra Silva,,
2017,2017-01-02,Rogerio Dutra Silva,Dusan Lajovic,W
2017,2017-01-02,Rogerio Dutra Silva,Roberto Bautista Agut,L
2017,2017-01-16,Rogerio Dutra Silva,Jared Donaldson,W
2017,2017-01-16,Rogerio Dutra Silva,Gilles Simon,L
