Year,Date,Player_A,Player_B,True_Result
2017,2017-01-25,David Goffin,Grigor Dimitrov,W
2017,2017-01-25,Rafael Nadal,Milos Raonic,W
2017,2017-01-26,Roger Federer,Stanislas Wawrinka,W
