,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
11,Ivo Karlovic,2006,9,0,15,6,9,0.400,0,0,9,7
10,Ivo Karlovic,2007,27,3,74,50,24,0.676,0,0,43,34
9,Ivo Karlovic,2008,27,1,56,31,25,0.554,0,0,31,29
8,Ivo Karlovic,2009,23,0,46,23,23,0.500,0,0,18,27
7,Ivo Karlovic,2010,10,0,26,17,9,0.654,0,0,11,10
6,Ivo Karlovic,2011,23,2,47,26,21,0.553,0,0,23,24
5,Ivo Karlovic,2012,18,0,36,18,18,0.500,0,2,21,16
4,Ivo Karlovic,2013,17,1,32,16,16,0.500,1,0,21,12
3,Ivo Karlovic,2014,28,0,64,36,28,0.563,0,0,34,31
2,Ivo Karlovic,2015,26,1,63,38,25,0.603,0,0,32,44
1,Ivo Karlovic,2016,25,2,56,32,24,0.571,0,0,42,26
