,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
10,Rogerio Dutra Silva,2007,15,0,29,14,15,0.483,1,0,7,3
9,Rogerio Dutra Silva,2008,20,4,57,42,15,0.737,7,2,10,8
8,Rogerio Dutra Silva,2009,21,0,40,19,21,0.475,0,2,7,5
7,Rogerio Dutra Silva,2010,24,3,63,42,21,0.667,8,2,18,11
6,Rogerio Dutra Silva,2011,26,1,61,36,25,0.590,5,0,6,12
5,Rogerio Dutra Silva,2012,27,1,66,41,25,0.621,9,1,6,11
4,Rogerio Dutra Silva,2013,21,1,50,29,21,0.580,4,5,12,6
3,Rogerio Dutra Silva,2014,14,1,24,11,13,0.458,1,3,7,6
2,Rogerio Dutra Silva,2015,25,2,56,33,23,0.589,7,1,4,7
1,Rogerio Dutra Silva,2016,32,1,83,52,31,0.627,5,0,12,20
