,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
10,Pablo Carreno Busta,2007,8,2,29,23,6,0.793,5,1,3,2
9,Pablo Carreno Busta,2008,18,2,49,33,16,0.673,1,0,4,8
8,Pablo Carreno Busta,2009,24,2,60,38,22,0.633,2,3,6,5
7,Pablo Carreno Busta,2010,22,2,67,47,20,0.701,5,2,14,4
6,Pablo Carreno Busta,2011,24,5,68,49,19,0.721,7,0,13,9
5,Pablo Carreno Busta,2012,11,0,19,8,11,0.421,1,1,1,4
4,Pablo Carreno Busta,2013,27,11,96,80,16,0.833,4,0,21,6
3,Pablo Carreno Busta,2014,30,3,57,30,27,0.526,3,5,8,8
2,Pablo Carreno Busta,2015,32,2,65,35,30,0.538,2,1,11,14
1,Pablo Carreno Busta,2016,28,2,66,40,26,0.606,3,4,16,16
