,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
10,Guido Pella,2006,2,1,10,9,1,0.900,1,0,0,0
9,Guido Pella,2007,19,0,43,24,19,0.558,0,2,3,4
8,Guido Pella,2008,20,2,56,38,18,0.679,8,4,7,1
7,Guido Pella,2009,20,4,56,40,16,0.714,8,0,4,5
6,Guido Pella,2010,16,1,30,15,15,0.500,1,3,6,6
5,Guido Pella,2011,17,1,50,34,16,0.680,4,4,5,6
4,Guido Pella,2012,21,4,58,40,18,0.690,4,1,12,11
3,Guido Pella,2013,26,1,53,28,25,0.528,1,2,8,10
2,Guido Pella,2014,20,1,44,25,19,0.568,1,1,10,10
1,Guido Pella,2015,22,4,64,46,18,0.719,5,0,13,9
0,Guido Pella,2016,23,1,39,16,23,0.410,2,1,8,17
