Year,Week,Player_A,Player_B,True_Result
2015,2015-08-10,Angelique Kerber,Misaki Doi,W
2015,2015-08-10,Angelique Kerber,Monica Puig,W
2015,2015-08-10,Angelique Kerber,Simona Halep,L
2015,2015-08-03,Angelique Kerber,Daria Gavrilova,W
2015,2015-08-03,Angelique Kerber,Ana Konjuh,W
2015,2015-08-03,Angelique Kerber,Agnieszka Radwanska,W
2015,2015-08-03,Angelique Kerber,Elina Svitolina,W
2015,2015-08-03,Angelique Kerber,Karolina Pliskova,W
2015,2015-06-29,Angelique Kerber,Carina Witthoeft,W
2015,2015-06-29,Angelique Kerber,Anastasia Pavlyuchenkova,W
2015,2015-06-29,Angelique Kerber,Garbine Muguruza,L
2015,2015-06-15,Angelique Kerber,Tsvetana Pironkova,W
2015,2015-06-15,Angelique Kerber,Jelena Jankovic,W
2015,2015-06-15,Angelique Kerber,Katerina Siniakova,W
2015,2015-06-15,Angelique Kerber,Sabine Lisicki,W
2015,2015-06-15,Angelique Kerber,Karolina Pliskova,W
2015,2015-05-25,Angelique Kerber,Timea Babos,W
2015,2015-05-25,Angelique Kerber,Ajla Tomljanovic,W
2015,2015-05-25,Angelique Kerber,Garbine Muguruza,L
2015,2015-05-18,Angelique Kerber,Rebecca Peterson,W
2015,2015-05-18,Angelique Kerber,Klara Koukalova,W
2015,2015-05-18,Angelique Kerber,Misaki Doi,W
2015,2015-05-18,Angelique Kerber,Roberta Vinci,L
2015,2015-05-11,Angelique Kerber,Alize Cornet,W
2015,2015-05-11,Angelique Kerber,Irina-Camelia Begu,L
2015,2015-05-04,Angelique Kerber,Samantha Stosur,L
2015,2015-04-20,Angelique Kerber,Alexa Glatch,W
2015,2015-04-20,Angelique Kerber,Maria Sharapova,W
2015,2015-04-20,Angelique Kerber,Ekaterina Makarova,W
2015,2015-04-20,Angelique Kerber,Madison Brengle,W
2015,2015-04-20,Angelique Kerber,Caroline Wozniacki,W
2015,2015-04-18,Angelique Kerber,Anastasia Pavlyuchenkova,W
2015,2015-04-06,Angelique Kerber,Evgeniya Rodina,W
2015,2015-04-06,Angelique Kerber,Lara Arruabarrena,W
2015,2015-04-06,Angelique Kerber,Irina-Camelia Begu,W
2015,2015-04-06,Angelique Kerber,Andrea Petkovic,W
2015,2015-04-06,Angelique Kerber,Madison Keys,W
