,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
11,Daniel Evans,2006,6,0,16,10,6,0.625,0,0,1,3
10,Daniel Evans,2007,22,1,48,27,21,0.563,8,5,6,4
9,Daniel Evans,2008,24,4,63,43,20,0.683,7,3,10,12
8,Daniel Evans,2009,19,1,46,29,17,0.630,2,3,7,5
7,Daniel Evans,2010,18,0,51,33,18,0.647,7,1,8,4
6,Daniel Evans,2011,26,0,61,35,26,0.574,4,2,6,13
5,Daniel Evans,2012,18,4,51,37,14,0.725,7,5,11,6
4,Daniel Evans,2013,19,2,58,41,17,0.707,2,3,12,11
3,Daniel Evans,2014,12,0,18,6,12,0.333,0,1,3,4
2,Daniel Evans,2015,15,6,50,39,11,0.780,5,2,10,6
1,Daniel Evans,2016,23,3,57,36,21,0.632,1,1,15,11
