Year,Date,Player_A,Player_B,True_Result
2017,2017-01-09,Pablo Carreno Busta,Mischa Zverev,W
2017,2017-01-09,Pablo Carreno Busta,Andrey Kuznetsov,L
2017,2017-01-16,Pablo Carreno Busta,Peter Polansky,W
2017,2017-01-16,Pablo Carreno Busta,Kyle Edmund,W
2017,2017-01-16,Pablo Carreno Busta,Denis Istomin,L
