Year,Date,Player_A,Player_B,True_Result
2017,2017-01-02,Ivo Karlovic,Illya Marchenko,W
2017,2017-01-02,Ivo Karlovic,Karen Khachanov,L
2017,2017-01-16,Ivo Karlovic,Horacio Zeballos,W
2017,2017-01-16,Ivo Karlovic,Andrew Whittington,W
2017,2017-01-16,Ivo Karlovic,David Goffin,L
