Year,Date,Player_A,Player_B,True_Result
2017,2017-01-01,Santiago Giraldo,,
2017,2017-01-09,Santiago Giraldo,Marcel Granollers,L
2017,2017-01-16,Santiago Giraldo,Kyle Edmund,L
