,Player_name,Year,Tourn,Titles,Matches,Wins,Losses,PCT,6-0,0-6,7-6,6-7
11,Nicolas Mahut,2006,12,0,17,5,12,0.294,0,1,1,8
10,Nicolas Mahut,2007,26,0,57,31,26,0.544,3,1,13,14
9,Nicolas Mahut,2008,29,1,52,24,28,0.462,1,2,13,19
8,Nicolas Mahut,2009,14,0,32,18,14,0.563,1,0,10,8
7,Nicolas Mahut,2010,17,2,35,20,15,0.571,1,2,14,8
6,Nicolas Mahut,2011,25,1,63,40,23,0.635,3,0,17,12
5,Nicolas Mahut,2012,22,0,42,20,22,0.476,1,1,9,9
4,Nicolas Mahut,2013,18,3,47,32,15,0.681,0,0,13,12
3,Nicolas Mahut,2014,28,1,51,24,27,0.471,1,0,10,15
2,Nicolas Mahut,2015,17,2,32,17,15,0.531,1,1,15,5
1,Nicolas Mahut,2016,21,1,43,23,20,0.535,0,0,9,11
