Year,Date,Player_A,Player_B,True_Result
2017,2017-01-09,Daniel Evans,Thiago Monteiro,W
2017,2017-01-09,Daniel Evans,Marcel Granollers,W
2017,2017-01-09,Daniel Evans,Dominic Thiem,W
2017,2017-01-09,Daniel Evans,Andrey Kuznetsov,W
2017,2017-01-09,Daniel Evans,Gilles Muller,L
2017,2017-01-16,Daniel Evans,Facundo Bagnis,W
2017,2017-01-16,Daniel Evans,Marin Cilic,W
2017,2017-01-16,Daniel Evans,Bernard Tomic,W
2017,2017-01-16,Daniel Evans,Jo Wilfried Tsonga,L
