ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
169,ligue-1,2016-09-17,19:00,Metz @ Dijon,Metz,Dijon,4.03,3.48,1.96,Dijon,Dijon,0.459,N,0,0,Draw,3.48
170,ligue-1,2016-09-17,19:00,Guingamp @ Toulouse,Guingamp,Toulouse,3.78,3.28,2.11,Toulouse,Toulouse,0.417,N,1,2,Toulouse,2.11
180,ligue-1,2016-09-18,14:00,Nice @ Montpellier,Nice,Montpellier,3.52,3.33,2.18,Montpellier,Nice,0.567,Y,1,1,Draw,3.33
184,ligue-1,2016-09-18,16:00,Bastia @ Saint-Etienne,Bastia,Saint-Etienne,5.66,3.4,1.75,Saint-Etienne,Saint-Etienne,0.555,N,0,1,Saint-Etienne,1.75
191,ligue-1,2016-09-18,19:45,Lyon @ Marseille,Lyon,Marseille,2.84,3.28,2.58,Marseille,Marseille,0.413,N,0,0,Draw,3.28
193,ligue-1,2016-09-20,18:00,Toulouse @ Lille,Toulouse,Lille,3.7,3.08,2.22,Lille,Lille,0.391,N,2,1,Toulouse,3.7
200,ligue-1,2016-09-20,20:00,Dijon @ Paris SG,Dijon,Paris SG,23.66,10.03,1.11,Paris SG,Paris SG,0.638,N,0,3,Paris SG,1.11
203,ligue-1,2016-09-21,18:00,Lorient @ Guingamp,Lorient,Guingamp,4.17,3.39,1.97,Guingamp,Guingamp,0.63,N,0,1,Guingamp,1.97
204,ligue-1,2016-09-21,18:00,Saint-Etienne @ Nantes,Saint-Etienne,Nantes,3.0,2.94,2.69,Nantes,Nantes,0.376,N,0,0,Draw,2.94
205,ligue-1,2016-09-21,18:00,Monaco @ Nice,Monaco,Nice,2.23,3.29,3.43,Monaco,Nice,0.484,Y,0,4,Nice,3.43
206,ligue-1,2016-09-21,18:00,Caen @ Angers,Caen,Angers,3.6,3.15,2.23,Angers,Angers,0.464,N,1,2,Angers,2.23
207,ligue-1,2016-09-21,18:00,Bordeaux @ Metz,Bordeaux,Metz,2.37,3.28,3.14,Bordeaux,Metz,0.402,Y,3,0,Bordeaux,2.37
208,ligue-1,2016-09-21,18:00,Montpellier @ Lyon,Montpellier,Lyon,5.14,3.81,1.71,Lyon,Lyon,0.594,N,1,5,Lyon,1.71
209,ligue-1,2016-09-21,18:00,Nancy @ Bastia,Nancy,Bastia,3.66,3.0,2.29,Bastia,Bastia,0.444,N,0,0,Draw,3.0
224,ligue-1,2016-09-21,20:00,Marseille @ Rennes,Marseille,Rennes,3.28,3.24,2.32,Rennes,Rennes,0.426,N,2,3,Rennes,2.32
233,ligue-1,2016-09-23,19:45,Paris SG @ Toulouse,Paris SG,Toulouse,1.47,4.43,7.34,Paris SG,Paris SG,0.466,N,0,2,Toulouse,7.34
247,ligue-1,2016-09-24,16:00,Lyon @ Lorient,Lyon,Lorient,2.02,3.42,3.9,Lyon,Lyon,0.558,N,0,1,Lorient,3.9
252,ligue-1,2016-09-24,19:00,Rennes @ Dijon,Rennes,Dijon,3.09,3.1,2.51,Dijon,Rennes,0.386,Y,0,3,Dijon,2.51
253,ligue-1,2016-09-24,19:00,Angers @ Monaco,Angers,Monaco,5.2,3.55,1.75,Monaco,Monaco,0.67,N,1,2,Monaco,1.75
254,ligue-1,2016-09-24,19:00,Caen @ Bordeaux,Caen,Bordeaux,4.81,3.66,1.78,Bordeaux,Bordeaux,0.547,N,0,0,Draw,3.66
255,ligue-1,2016-09-24,19:00,Guingamp @ Bastia,Guingamp,Bastia,3.24,2.92,2.53,Bastia,Guingamp,0.418,Y,0,1,Bastia,2.53
256,ligue-1,2016-09-24,19:00,Metz @ Montpellier,Metz,Montpellier,5.81,3.94,1.62,Montpellier,Montpellier,0.488,N,1,0,Metz,5.81
265,ligue-1,2016-09-25,14:00,Lille @ Saint-Etienne,Lille,Saint-Etienne,3.31,3.02,2.43,Saint-Etienne,Saint-Etienne,0.554,N,1,3,Saint-Etienne,2.43
269,ligue-1,2016-09-25,16:00,Nice @ Nancy,Nice,Nancy,3.11,3.13,2.47,Nancy,Nice,0.589,Y,1,0,Nice,3.11
273,ligue-1,2016-09-25,19:45,Nantes @ Marseille,Nantes,Marseille,3.86,3.19,2.12,Marseille,Marseille,0.576,N,1,2,Marseille,2.12
279,ligue-1,2016-09-30,19:45,Guingamp @ Rennes,Guingamp,Rennes,3.88,3.2,2.11,Rennes,Rennes,0.428,N,0,1,Rennes,2.11
293,ligue-1,2016-10-01,16:00,Bordeaux @ Paris SG,Bordeaux,Paris SG,11.63,5.87,1.27,Paris SG,Paris SG,0.594,N,0,2,Paris SG,1.27
297,ligue-1,2016-10-01,19:00,Bastia @ Nantes,Bastia,Nantes,4.62,3.16,1.96,Nantes,Nantes,0.471,N,0,1,Nantes,1.96
298,ligue-1,2016-10-01,19:00,Montpellier @ Dijon,Montpellier,Dijon,3.07,3.16,2.48,Dijon,Dijon,0.435,N,3,3,Draw,3.16
299,ligue-1,2016-10-01,19:00,Toulouse @ Caen,Toulouse,Caen,2.75,3.15,2.75,Draw,Caen,0.377,Y,0,1,Caen,2.75
300,ligue-1,2016-10-01,19:00,Monaco @ Metz,Monaco,Metz,1.77,3.73,4.75,Monaco,Monaco,0.589,N,7,0,Monaco,1.77
301,ligue-1,2016-10-01,19:00,Nancy @ Lille,Nancy,Lille,5.22,3.36,1.8,Lille,Lille,0.446,N,0,1,Lille,1.8
311,ligue-1,2016-10-02,14:00,Marseille @ Angers,Marseille,Angers,2.79,3.1,2.74,Angers,Marseille,0.452,Y,1,1,Draw,3.1
315,ligue-1,2016-10-02,16:00,Lorient @ Nice,Lorient,Nice,5.37,3.77,1.69,Nice,Nice,0.697,N,1,2,Nice,1.69
324,ligue-1,2016-10-02,19:45,Saint-Etienne @ Lyon,Saint-Etienne,Lyon,4.61,3.51,1.85,Lyon,Lyon,0.546,N,0,2,Lyon,1.85
325,ligue-1,2016-10-14,18:00,Monaco @ Toulouse,Monaco,Toulouse,2.65,3.2,2.85,Monaco,Monaco,0.504,N,1,3,Toulouse,2.85
328,ligue-1,2016-10-14,19:45,Lyon @ Nice,Lyon,Nice,2.49,3.39,2.89,Lyon,Nice,0.569,Y,0,2,Nice,2.89
343,ligue-1,2016-10-15,16:00,Paris SG @ Nancy,Paris SG,Nancy,1.44,4.39,8.41,Paris SG,Paris SG,0.529,N,2,1,Paris SG,1.44
348,ligue-1,2016-10-15,19:00,Nantes @ Lorient,Nantes,Lorient,2.96,3.03,2.66,Lorient,Lorient,0.39,N,2,1,Nantes,2.96
349,ligue-1,2016-10-15,19:00,Caen @ Montpellier,Caen,Montpellier,3.88,3.36,2.05,Montpellier,Montpellier,0.51,N,2,3,Montpellier,2.05
