ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date,League_T
1299,West Ham Utd,0,Southampton,0,0,1,0.512164023447,2017-02-04,premier-league
1300,Stoke City,0,West Bromwich,0,0,1,0.497075855143,2017-02-04,premier-league
1301,Sunderland,0,Crystal Palace,0,0,1,0.504438238964,2017-02-04,premier-league
1302,Bournemouth,0,Everton,0,0,1,0.535711778417,2017-02-04,premier-league
1303,Arsenal,0,Chelsea,0,0,1,0.548803381234,2017-02-04,premier-league
1304,Burnley,0,Watford,0,0,1,0.496791789881,2017-02-04,premier-league
1305,Liverpool,0,Hull City,0,0,2,0.646379082482,2017-02-04,premier-league
1306,Hull City,0,Arsenal,0,0,1,0.679251098659,2017-02-11,premier-league
1307,Tottenham,0,Liverpool,0,0,1,0.515234499826,2017-02-11,premier-league
1308,West Bromwich,0,West Ham Utd,0,0,1,0.434168640432,2017-02-11,premier-league
1309,Chelsea,0,Burnley,0,0,2,0.636817187516,2017-02-11,premier-league
1310,Leicester City,0,Swansea City,0,0,1,0.389908522983,2017-02-11,premier-league
1311,Southampton,0,Sunderland,0,0,2,0.438336072363,2017-02-11,premier-league
1312,Crystal Palace,0,Stoke City,0,0,1,0.526375568883,2017-02-11,premier-league
1313,Everton,0,Middlesbrough,0,0,2,0.383527413727,2017-02-11,premier-league
1314,Watford,0,Manchester Utd,0,0,1,0.595138756559,2017-02-11,premier-league
1315,Manchester City,0,Bournemouth,0,0,2,0.526668855994,2017-02-11,premier-league
1316,Bournemouth,0,West Bromwich,0,0,1,0.507728508259,2017-02-25,premier-league
1317,Manchester Utd,0,Manchester City,0,0,1,0.527010356553,2017-02-25,premier-league
1318,Arsenal,0,Southampton,0,0,2,0.453762157,2017-02-25,premier-league
1319,Liverpool,0,Leicester City,0,0,2,0.580090493642,2017-02-25,premier-league
1320,Burnley,0,Hull City,0,0,2,0.387902334105,2017-02-25,premier-league
1321,West Ham Utd,0,Watford,0,0,1,0.474882297648,2017-02-25,premier-league
1322,Middlesbrough,0,Crystal Palace,0,0,1,0.431824389379,2017-02-25,premier-league
1323,Stoke City,0,Tottenham,0,0,1,0.628548602534,2017-02-25,premier-league
1324,Swansea City,0,Chelsea,0,0,1,0.705297817083,2017-02-25,premier-league
1325,Sunderland,0,Everton,0,0,1,0.60533996501,2017-02-25,premier-league
1326,Everton,0,Tottenham,0,0,1,0.585294948169,2017-03-04,premier-league
1327,Middlesbrough,0,Stoke City,0,0,1,0.493614699186,2017-03-04,premier-league
1328,Bournemouth,0,Manchester Utd,0,0,1,0.608431079634,2017-03-04,premier-league
1329,Crystal Palace,0,West Bromwich,0,0,1,0.555410721172,2017-03-04,premier-league
1330,Arsenal,0,Liverpool,0,0,1,0.510065110059,2017-03-04,premier-league
1331,Hull City,0,Leicester City,0,0,1,0.533940809567,2017-03-04,premier-league
1332,Chelsea,0,West Ham Utd,0,0,2,0.592792319193,2017-03-04,premier-league
1333,Burnley,0,Swansea City,0,0,2,0.36814265982,2017-03-04,premier-league
1334,Manchester City,0,Sunderland,0,0,2,0.617379306113,2017-03-04,premier-league
1335,Southampton,0,Watford,0,0,1,0.429483903273,2017-03-04,premier-league
1336,Manchester Utd,0,Southampton,0,0,2,0.40152837303,2017-03-11,premier-league
1337,Tottenham,0,Crystal Palace,0,0,2,0.565584587559,2017-03-11,premier-league
1338,West Bromwich,0,Everton,0,0,1,0.496428063365,2017-03-11,premier-league
1339,Watford,0,Chelsea,0,0,1,0.661781806612,2017-03-11,premier-league
1340,Sunderland,0,Middlesbrough,0,0,1,0.537499294411,2017-03-11,premier-league
1341,West Ham Utd,0,Bournemouth,0,0,1,0.458582859568,2017-03-11,premier-league
1342,Stoke City,0,Manchester City,0,0,1,0.640396966334,2017-03-11,premier-league
1343,Swansea City,0,Hull City,0,0,1,0.471107760363,2017-03-11,premier-league
1344,Leicester City,0,Arsenal,0,0,1,0.655413526883,2017-03-11,premier-league
1345,Burnley,0,Liverpool,0,0,1,0.668470306013,2017-03-12,premier-league
1346,Burnley,0,Sunderland,0,0,1,0.389669968322,2017-03-18,premier-league
1347,Arsenal,0,West Bromwich,0,0,2,0.480142614539,2017-03-18,premier-league
1348,Watford,0,Crystal Palace,0,0,1,0.397156051783,2017-03-18,premier-league
1349,Southampton,0,Tottenham,0,0,1,0.597739151202,2017-03-18,premier-league
1350,Chelsea,0,Stoke City,0,0,2,0.604153377395,2017-03-18,premier-league
1351,Manchester Utd,0,Middlesbrough,0,0,2,0.492723188335,2017-03-18,premier-league
1352,Liverpool,0,Manchester City,0,0,1,0.439613820336,2017-03-18,premier-league
1353,Leicester City,0,West Ham Utd,0,0,1,0.509116389158,2017-03-18,premier-league
1354,Hull City,0,Everton,0,0,1,0.61403419643,2017-03-18,premier-league
1355,Swansea City,0,Bournemouth,0,0,1,0.571739134598,2017-03-18,premier-league
1356,Bournemouth,0,Southampton,0,0,1,0.51928964229,2017-04-01,premier-league
1357,West Ham Utd,0,Hull City,0,0,2,0.447183743879,2017-04-01,premier-league
1358,Sunderland,0,Watford,0,0,1,0.56467154812,2017-04-01,premier-league
1359,Crystal Palace,0,Chelsea,0,0,1,0.682838322922,2017-04-01,premier-league
1360,Tottenham,0,Burnley,0,0,2,0.531316666601,2017-04-01,premier-league
1361,Stoke City,0,Leicester City,0,0,1,0.416727840089,2017-04-01,premier-league
1362,Manchester City,0,Arsenal,0,0,1,0.45110973251,2017-04-01,premier-league
1363,West Bromwich,0,Manchester Utd,0,0,1,0.574005237996,2017-04-01,premier-league
1364,Everton,0,Liverpool,0,0,1,0.623876730405,2017-04-01,premier-league
1365,Middlesbrough,0,Swansea City,0,0,1,0.369301386528,2017-04-01,premier-league
1366,Tottenham,0,Swansea City,0,0,2,0.607679590876,2017-04-04,premier-league
1367,West Ham Utd,0,Arsenal,0,0,1,0.63955268834,2017-04-04,premier-league
1368,West Bromwich,0,Watford,0,0,1,0.442483335413,2017-04-04,premier-league
1369,Sunderland,0,Leicester City,0,0,1,0.517895350798,2017-04-04,premier-league
1370,Stoke City,0,Burnley,0,0,1,0.44100075751,2017-04-04,premier-league
1371,Middlesbrough,0,Hull City,0,0,2,0.379744690675,2017-04-04,premier-league
1372,Everton,0,Manchester Utd,0,0,1,0.552483192663,2017-04-04,premier-league
1373,Crystal Palace,0,Southampton,0,0,1,0.564018402445,2017-04-05,premier-league
1374,Manchester City,0,Chelsea,0,0,1,0.536908630831,2017-04-05,premier-league
1375,Bournemouth,0,Liverpool,0,0,1,0.667285395478,2017-04-05,premier-league
1376,Arsenal,0,Crystal Palace,0,0,2,0.566912930718,2017-04-08,premier-league
1377,Hull City,0,Manchester City,0,0,1,0.681497857168,2017-04-08,premier-league
1378,Swansea City,0,West Ham Utd,0,0,1,0.574219208044,2017-04-08,premier-league
1379,Leicester City,0,Everton,0,0,1,0.566617615114,2017-04-08,premier-league
1380,Southampton,0,West Bromwich,0,0,1,0.454292682959,2017-04-08,premier-league
1381,Chelsea,0,Bournemouth,0,0,2,0.614289225926,2017-04-08,premier-league
1382,Manchester Utd,0,Sunderland,0,0,2,0.56041163691,2017-04-08,premier-league
1383,Burnley,0,Middlesbrough,0,0,1,0.464301101828,2017-04-08,premier-league
1384,Liverpool,0,Stoke City,0,0,2,0.522932517115,2017-04-08,premier-league
1385,Watford,0,Tottenham,0,0,1,0.622342434248,2017-04-08,premier-league
1386,Chelsea,0,Manchester Utd,0,0,2,0.455814883399,2017-04-15,premier-league
1387,West Ham Utd,0,Sunderland,0,0,2,0.411827332033,2017-04-15,premier-league
1388,Hull City,0,Stoke City,0,0,1,0.570899160769,2017-04-15,premier-league
1389,Arsenal,0,Middlesbrough,0,0,2,0.539305421506,2017-04-15,premier-league
1390,Swansea City,0,Watford,0,0,1,0.585935451608,2017-04-15,premier-league
1391,Burnley,0,Everton,0,0,1,0.546316173197,2017-04-15,premier-league
1392,Bournemouth,0,Tottenham,0,0,1,0.634535967152,2017-04-15,premier-league
1393,Leicester City,0,Crystal Palace,0,0,1,0.45275311281,2017-04-15,premier-league
1394,Manchester City,0,Southampton,0,0,2,0.47799102016,2017-04-15,premier-league
1395,Liverpool,0,West Bromwich,0,0,2,0.51353146247,2017-04-16,premier-league
1396,Middlesbrough,0,Bournemouth,0,0,1,0.483482817725,2017-04-22,premier-league
1397,Everton,0,West Ham Utd,0,0,1,0.403650004035,2017-04-22,premier-league
1398,Manchester Utd,0,Burnley,0,0,2,0.485647099587,2017-04-22,premier-league
1399,Stoke City,0,Swansea City,0,0,2,0.414054070987,2017-04-22,premier-league
1400,Watford,0,Hull City,0,0,2,0.431051817422,2017-04-22,premier-league
1401,Sunderland,0,Arsenal,0,0,1,0.678160627048,2017-04-22,premier-league
1402,Tottenham,0,Leicester City,0,0,2,0.551405169464,2017-04-22,premier-league
1403,West Bromwich,0,Manchester City,0,0,1,0.615296378458,2017-04-22,premier-league
1404,Southampton,0,Chelsea,0,0,1,0.645732123056,2017-04-22,premier-league
1405,Crystal Palace,0,Liverpool,0,0,1,0.686303526889,2017-04-22,premier-league
1406,Chelsea,0,Everton,0,0,2,0.556223074706,2017-04-29,premier-league
1407,West Ham Utd,0,Stoke City,0,0,1,0.469746127776,2017-04-29,premier-league
1408,Hull City,0,Southampton,0,0,1,0.603328011894,2017-04-29,premier-league
1409,Manchester City,0,Middlesbrough,0,0,2,0.560179351924,2017-04-29,premier-league
1410,Leicester City,0,West Bromwich,0,0,1,0.542822243714,2017-04-29,premier-league
1411,Liverpool,0,Watford,0,0,2,0.526313039652,2017-04-29,premier-league
1412,Arsenal,0,Tottenham,0,0,1,0.462018936326,2017-04-29,premier-league
1413,Burnley,0,Crystal Palace,0,0,1,0.428874440432,2017-04-29,premier-league
1414,Bournemouth,0,Sunderland,0,0,2,0.383803960668,2017-04-29,premier-league
1415,Swansea City,0,Manchester Utd,0,0,1,0.673126091798,2017-04-29,premier-league
1416,Southampton,0,Liverpool,0,0,1,0.634662835862,2017-05-06,premier-league
1417,Manchester Utd,0,Arsenal,0,0,1,0.512902082901,2017-05-06,premier-league
1418,Crystal Palace,0,Manchester City,0,0,1,0.666324424864,2017-05-06,premier-league
1419,Everton,0,Swansea City,0,0,2,0.476106254616,2017-05-06,premier-league
1420,Sunderland,0,Hull City,0,0,1,0.447112978732,2017-05-06,premier-league
1421,Middlesbrough,0,Chelsea,0,0,1,0.668560912754,2017-05-06,premier-league
1422,Tottenham,0,West Ham Utd,0,0,2,0.475737583966,2017-05-06,premier-league
1423,West Bromwich,0,Burnley,0,0,1,0.411163248243,2017-05-06,premier-league
1424,Stoke City,0,Bournemouth,0,0,1,0.456289807204,2017-05-06,premier-league
1425,Watford,0,Leicester City,0,0,1,0.411910796556,2017-05-06,premier-league
1426,Watford,0,Everton,0,0,1,0.52032696362,2017-05-13,premier-league
1427,Southampton,0,Middlesbrough,0,0,1,0.394456002117,2017-05-13,premier-league
1428,Liverpool,0,West Ham Utd,0,0,2,0.509577978546,2017-05-13,premier-league
1429,Chelsea,0,West Bromwich,0,0,2,0.596687352954,2017-05-13,premier-league
1430,Manchester Utd,0,Tottenham,0,0,1,0.507743640415,2017-05-13,premier-league
1431,Burnley,0,Bournemouth,0,0,1,0.480936400796,2017-05-13,premier-league
1432,Swansea City,0,Sunderland,0,0,1,0.490976928952,2017-05-13,premier-league
1433,Arsenal,0,Stoke City,0,0,2,0.49118069712,2017-05-13,premier-league
1434,Hull City,0,Crystal Palace,0,0,1,0.521343407285,2017-05-13,premier-league
1435,Leicester City,0,Manchester City,0,0,1,0.660339575858,2017-05-13,premier-league
1436,Stoke City,0,Southampton,0,0,1,0.509117886365,2017-05-21,premier-league
1437,Middlesbrough,0,Liverpool,0,0,1,0.668547183213,2017-05-21,premier-league
1438,Bournemouth,0,Leicester City,0,0,1,0.428096759149,2017-05-21,premier-league
1439,Tottenham,0,Hull City,0,0,2,0.624819526554,2017-05-21,premier-league
1440,Manchester City,0,Watford,0,0,2,0.517214239318,2017-05-21,premier-league
1441,Sunderland,0,Chelsea,0,0,1,0.693003912877,2017-05-21,premier-league
1442,West Ham Utd,0,Burnley,0,0,1,0.44267849781,2017-05-21,premier-league
1443,Everton,0,Arsenal,0,0,1,0.590087814258,2017-05-21,premier-league
1444,Crystal Palace,0,Manchester Utd,0,0,1,0.637410593113,2017-05-21,premier-league
1445,West Bromwich,0,Swansea City,0,0,2,0.426199263678,2017-05-21,premier-league
1446,Paris SG,1,Bastia,0,2,2,0.541580554441,2016-08-12,ligue-1
1447,Guingamp,2,Monaco,2,0,1,0.597864597698,2016-08-12,ligue-1
1448,Saint-Etienne,2,Bordeaux,3,1,1,0.447400496841,2016-08-13,ligue-1
1449,Lorient,2,Caen,3,1,1,0.527432950938,2016-08-13,ligue-1
1450,Angers,0,Montpellier,1,1,1,0.512550144479,2016-08-13,ligue-1
1451,Lille,2,Metz,3,1,1,0.474798404755,2016-08-13,ligue-1
1452,Nantes,1,Dijon,0,2,1,0.466223417,2016-08-13,ligue-1
1453,Lyon,3,Nancy,0,2,2,0.471794897679,2016-08-14,ligue-1
1454,Rennes,0,Nice,1,1,1,0.634524015515,2016-08-14,ligue-1
1455,Toulouse,0,Marseille,0,0,1,0.514867563613,2016-08-14,ligue-1
1456,Caen,0,Lyon,2,1,1,0.619810349864,2016-08-19,ligue-1
1457,Monaco,1,Nantes,0,2,2,0.578299367032,2016-08-20,ligue-1
1458,Nice,1,Angers,0,2,2,0.619870430615,2016-08-20,ligue-1
1459,Bordeaux,1,Toulouse,4,1,1,0.470684860966,2016-08-20,ligue-1
1460,Dijon,0,Lille,1,1,1,0.466742556279,2016-08-20,ligue-1
1461,Nancy,0,Rennes,2,1,1,0.525107889073,2016-08-20,ligue-1
1462,Bastia,3,Lorient,0,2,1,0.392641820495,2016-08-20,ligue-1
1463,Marseille,1,Guingamp,2,1,1,0.465090533719,2016-08-21,ligue-1
1464,Montpellier,1,Saint-Etienne,3,1,1,0.525234694483,2016-08-21,ligue-1
1465,Metz,0,Paris SG,3,1,1,0.625187574861,2016-08-21,ligue-1
1466,Lorient,0,Marseille,2,1,1,0.629972527871,2016-08-26,ligue-1
1467,Lyon,2,Dijon,4,1,2,0.489354925746,2016-08-27,ligue-1
1468,Angers,0,Metz,2,1,1,0.491899796156,2016-08-27,ligue-1
1469,Bastia,0,Caen,2,1,1,0.455924450495,2016-08-27,ligue-1
1470,Lille,1,Nice,1,0,1,0.671810696994,2016-08-27,ligue-1
1471,Guingamp,2,Nancy,0,2,2,0.402901653063,2016-08-27,ligue-1
1472,Rennes,1,Montpellier,1,0,1,0.412649345214,2016-08-27,ligue-1
1473,Nantes,0,Bordeaux,1,1,1,0.534338122518,2016-08-28,ligue-1
1474,Toulouse,0,Saint-Etienne,0,0,1,0.483152275299,2016-08-28,ligue-1
1475,Paris SG,1,Monaco,3,1,1,0.512470968647,2016-08-28,ligue-1
1476,Saint-Etienne,1,Paris SG,1,0,1,0.581228435767,2016-09-09,ligue-1
1477,Bordeaux,3,Lyon,1,2,1,0.560576710176,2016-09-10,ligue-1
1478,Toulouse,1,Bastia,2,1,1,0.38921275323,2016-09-10,ligue-1
1479,Nancy,2,Lorient,0,2,1,0.370285620853,2016-09-10,ligue-1
1480,Dijon,1,Angers,3,1,1,0.450031760781,2016-09-10,ligue-1
1481,Montpellier,1,Guingamp,1,0,1,0.552616655816,2016-09-10,ligue-1
1482,Monaco,4,Lille,1,2,2,0.569466147101,2016-09-10,ligue-1
1483,Metz,3,Nantes,0,2,1,0.460129290978,2016-09-11,ligue-1
1484,Caen,0,Rennes,2,1,1,0.553815046081,2016-09-11,ligue-1
1485,Marseille,2,Nice,3,1,1,0.606948629378,2016-09-11,ligue-1
1486,Paris SG,6,Caen,0,2,2,0.560374056222,2016-09-16,ligue-1
1487,Rennes,0,Monaco,3,1,1,0.626472211206,2016-09-17,ligue-1
1488,Angers,1,Bordeaux,0,2,1,0.549735705358,2016-09-17,ligue-1
1489,Nantes,1,Nancy,1,0,1,0.486506762949,2016-09-17,ligue-1
1490,Lille,0,Lorient,1,1,1,0.390410276177,2016-09-17,ligue-1
1491,Metz,0,Dijon,0,0,1,0.459147032095,2016-09-17,ligue-1
1492,Guingamp,1,Toulouse,2,1,1,0.41706398119,2016-09-17,ligue-1
1493,Nice,1,Montpellier,1,0,2,0.56669199791,2016-09-18,ligue-1
1494,Bastia,0,Saint-Etienne,1,1,1,0.555217685123,2016-09-18,ligue-1
1495,Lyon,0,Marseille,0,0,1,0.413453328148,2016-09-18,ligue-1
1496,Toulouse,2,Lille,1,2,1,0.391396593297,2016-09-20,ligue-1
1497,Dijon,0,Paris SG,3,1,1,0.638101506368,2016-09-20,ligue-1
1498,Lorient,0,Guingamp,1,1,1,0.629578439661,2016-09-21,ligue-1
1499,Saint-Etienne,0,Nantes,0,0,1,0.375960020736,2016-09-21,ligue-1
1500,Monaco,0,Nice,4,1,1,0.484464620245,2016-09-21,ligue-1
1501,Caen,1,Angers,2,1,1,0.463798097134,2016-09-21,ligue-1
1502,Bordeaux,3,Metz,0,2,1,0.401880273797,2016-09-21,ligue-1
1503,Montpellier,1,Lyon,5,1,1,0.594209315615,2016-09-21,ligue-1
1504,Nancy,0,Bastia,0,0,1,0.444382598309,2016-09-21,ligue-1
1505,Marseille,2,Rennes,3,1,1,0.425962285,2016-09-21,ligue-1
1506,Paris SG,0,Toulouse,2,1,2,0.466288966358,2016-09-23,ligue-1
1507,Lyon,0,Lorient,1,1,2,0.558355254965,2016-09-24,ligue-1
1508,Rennes,0,Dijon,3,1,2,0.386246509475,2016-09-24,ligue-1
1509,Angers,1,Monaco,2,1,1,0.669697779551,2016-09-24,ligue-1
1510,Caen,0,Bordeaux,0,0,1,0.547243929352,2016-09-24,ligue-1
1511,Guingamp,0,Bastia,1,1,2,0.418071767926,2016-09-24,ligue-1
1512,Metz,1,Montpellier,0,2,1,0.488275135321,2016-09-24,ligue-1
1513,Lille,1,Saint-Etienne,3,1,1,0.553643498713,2016-09-25,ligue-1
1514,Nice,1,Nancy,0,2,2,0.589388954876,2016-09-25,ligue-1
1515,Nantes,1,Marseille,2,1,1,0.575623828678,2016-09-25,ligue-1
1516,Guingamp,0,Rennes,1,1,1,0.428179665138,2016-09-30,ligue-1
1517,Bordeaux,0,Paris SG,2,1,1,0.593756242633,2016-10-01,ligue-1
1518,Bastia,0,Nantes,1,1,1,0.470625349394,2016-10-01,ligue-1
1519,Montpellier,3,Dijon,3,0,1,0.435195458976,2016-10-01,ligue-1
1520,Toulouse,0,Caen,1,1,1,0.37740234438,2016-10-01,ligue-1
1521,Monaco,7,Metz,0,2,2,0.588975908395,2016-10-01,ligue-1
1522,Nancy,0,Lille,1,1,1,0.446428137504,2016-10-01,ligue-1
1523,Marseille,1,Angers,1,0,2,0.451511582245,2016-10-02,ligue-1
1524,Lorient,1,Nice,2,1,1,0.697219200007,2016-10-02,ligue-1
1525,Saint-Etienne,0,Lyon,2,1,1,0.545529414227,2016-10-02,ligue-1
1526,Monaco,1,Toulouse,3,1,2,0.504474640615,2016-10-14,ligue-1
1527,Lyon,0,Nice,2,1,1,0.569043753688,2016-10-14,ligue-1
1528,Paris SG,2,Nancy,1,2,2,0.52945606226,2016-10-15,ligue-1
1529,Nantes,2,Lorient,1,2,1,0.38969132086,2016-10-15,ligue-1
1530,Caen,2,Montpellier,3,1,1,0.509726021699,2016-10-15,ligue-1
1531,Lille,0,Guingamp,1,1,1,0.578028516955,2016-10-15,ligue-1
1532,Angers,2,Bastia,1,2,1,0.48119230449,2016-10-15,ligue-1
1533,Bordeaux,1,Rennes,1,0,1,0.47918385729,2016-10-16,ligue-1
1534,Dijon,1,Saint-Etienne,1,0,1,0.552489920323,2016-10-16,ligue-1
1535,Metz,0,Marseille,1,1,1,0.565708952403,2016-10-16,ligue-1
1536,Montpellier,2,Monaco,6,1,1,0.653886803356,2016-10-21,ligue-1
1537,Guingamp,3,Lyon,1,2,1,0.519465053906,2016-10-22,ligue-1
1538,Lorient,0,Dijon,1,1,1,0.539419041723,2016-10-22,ligue-1
1539,Rennes,2,Nantes,1,2,2,0.386546924416,2016-10-22,ligue-1
1540,Toulouse,0,Angers,0,0,2,0.376848333452,2016-10-22,ligue-1
1541,Bastia,1,Lille,2,1,1,0.469276972359,2016-10-22,ligue-1
1542,Nancy,1,Bordeaux,1,0,1,0.516215143078,2016-10-22,ligue-1
1543,Saint-Etienne,2,Caen,0,2,2,0.386029312417,2016-10-23,ligue-1
1544,Nice,4,Metz,2,2,2,0.613051206596,2016-10-23,ligue-1
1545,Marseille,0,Paris SG,0,0,1,0.559032542203,2016-10-23,ligue-1
1546,Paris SG,1,Lille,0,2,2,0.536826611809,2016-10-28,ligue-1
1547,Lyon,2,Toulouse,1,2,2,0.404321161034,2016-10-29,ligue-1
1548,Dijon,0,Bastia,0,0,1,0.464742997585,2016-10-29,ligue-1
1549,Monaco,1,Saint-Etienne,1,0,2,0.490949487343,2016-10-29,ligue-1
1550,Caen,0,Nancy,2,1,1,0.500619625559,2016-10-29,ligue-1
1551,Angers,0,Guingamp,1,1,1,0.587081795001,2016-10-29,ligue-1
1552,Montpellier,2,Lorient,2,0,2,0.39131381108,2016-10-29,ligue-1
1553,Nantes,1,Nice,4,1,1,0.666128201687,2016-10-30,ligue-1
1554,Metz,0,Rennes,1,1,1,0.532692413878,2016-10-30,ligue-1
1555,Bordeaux,0,Marseille,0,0,1,0.517269611014,2016-10-30,ligue-1
1556,Marseille,1,Montpellier,3,1,2,0.3811525027,2016-11-04,ligue-1
1557,Nancy,0,Monaco,6,1,1,0.653177401869,2016-11-05,ligue-1
1558,Lille,0,Angers,1,1,1,0.450103655147,2016-11-05,ligue-1
1559,Bastia,1,Lyon,2,1,1,0.615891686143,2016-11-05,ligue-1
1560,Lorient,1,Bordeaux,2,1,1,0.599385704137,2016-11-05,ligue-1
1561,Guingamp,3,Dijon,3,0,2,0.422126006302,2016-11-05,ligue-1
1562,Toulouse,1,Nantes,1,0,1,0.392119080259,2016-11-05,ligue-1
1563,Nice,0,Caen,1,1,2,0.614935202072,2016-11-06,ligue-1
1564,Saint-Etienne,0,Metz,0,0,1,0.381252503797,2016-11-06,ligue-1
1565,Rennes,0,Paris SG,4,1,1,0.591840751267,2016-11-06,ligue-1
1566,Monaco,3,Lorient,0,2,2,0.631628890135,2016-11-18,ligue-1
1567,Lyon,1,Lille,0,2,2,0.480364428303,2016-11-18,ligue-1
1568,Nantes,0,Paris SG,2,1,1,0.636557877828,2016-11-19,ligue-1
1569,Angers,1,Rennes,1,0,1,0.555943020945,2016-11-19,ligue-1
1570,Montpellier,1,Bastia,1,0,1,0.432916260403,2016-11-19,ligue-1
1571,Dijon,0,Nancy,1,1,1,0.487588693947,2016-11-19,ligue-1
1572,Metz,2,Toulouse,1,2,1,0.528192442488,2016-11-19,ligue-1
1573,Bordeaux,1,Guingamp,1,0,1,0.515708775121,2016-11-20,ligue-1
1574,Caen,0,Marseille,1,1,1,0.586206486703,2016-11-20,ligue-1
1575,Nice,1,Saint-Etienne,0,2,2,0.521570628728,2016-11-20,ligue-1
1576,Toulouse,0,Rennes,1,1,1,0.47622833357,2016-11-25,ligue-1
1577,Marseille,0,Monaco,4,1,1,0.596906324115,2016-11-26,ligue-1
1578,Dijon,2,Bordeaux,3,1,1,0.535605811518,2016-11-26,ligue-1
1579,Lille,0,Nantes,0,0,1,0.468468042052,2016-11-26,ligue-1
1580,Nancy,0,Montpellier,0,0,1,0.477541552016,2016-11-26,ligue-1
1581,Guingamp,1,Caen,1,0,2,0.440354094537,2016-11-26,ligue-1
1582,Lorient,3,Metz,3,0,1,0.548469634381,2016-11-26,ligue-1
1583,Saint-Etienne,2,Angers,1,2,2,0.391731601504,2016-11-27,ligue-1
1584,Bastia,1,Nice,1,0,1,0.671419257286,2016-11-27,ligue-1
1585,Paris SG,2,Lyon,1,2,1,0.417606488855,2016-11-27,ligue-1
1586,Caen,2,Lille,4,1,1,0.479886431942,2016-11-29,ligue-1
1587,Rennes,1,Lorient,2,1,2,0.464994955893,2016-11-29,ligue-1
1588,Monaco,1,Dijon,1,0,2,0.577056648046,2016-11-29,ligue-1
1589,Montpellier,0,Toulouse,1,1,1,0.509883781406,2016-11-30,ligue-1
1590,Marseille,0,Saint-Etienne,0,0,1,0.431086021036,2016-11-30,ligue-1
1591,Lyon,6,Nantes,0,2,2,0.490165226936,2016-11-30,ligue-1
1592,Nice,1,Guingamp,0,2,2,0.471209837913,2016-11-30,ligue-1
1593,Bordeaux,1,Bastia,1,0,1,0.393278336811,2016-11-30,ligue-1
1594,Metz,0,Nancy,4,1,1,0.479116603611,2016-11-30,ligue-1
1595,Angers,0,Paris SG,2,1,1,0.644215202998,2016-11-30,ligue-1
1596,Dijon,3,Caen,3,0,1,0.453592763525,2016-12-02,ligue-1
1597,Paris SG,0,Montpellier,3,1,2,0.504153871985,2016-12-03,ligue-1
1598,Bastia,0,Monaco,5,1,1,0.668580708894,2016-12-03,ligue-1
1599,Lille,1,Bordeaux,0,2,1,0.536468569104,2016-12-03,ligue-1
1600,Lorient,2,Angers,2,0,1,0.524573319733,2016-12-03,ligue-1
1601,Nantes,0,Guingamp,2,1,1,0.57463590786,2016-12-03,ligue-1
1602,Lyon,0,Metz,0,0,2,0.501323522714,2016-12-03,ligue-1
1603,Saint-Etienne,0,Rennes,2,1,1,0.460532074331,2016-12-04,ligue-1
1604,Nancy,0,Marseille,3,1,1,0.559930694092,2016-12-04,ligue-1
1605,Toulouse,0,Nice,3,1,1,0.632578244194,2016-12-04,ligue-1
1606,Marseille,2,Dijon,1,2,2,0.42755695536,2016-12-10,ligue-1
1607,Monaco,4,Bordeaux,0,2,2,0.514485600062,2016-12-10,ligue-1
1608,Metz,0,Bastia,2,1,1,0.456491726975,2016-12-10,ligue-1
1609,Angers,0,Nancy,2,1,1,0.503681715215,2016-12-10,ligue-1
1610,Lorient,2,Toulouse,3,1,1,0.600552251443,2016-12-10,ligue-1
1611,Montpellier,1,Lille,2,1,1,0.435119496985,2016-12-10,ligue-1
1612,Rennes,0,Lyon,1,1,1,0.554576223308,2016-12-11,ligue-1
1613,Guingamp,0,Saint-Etienne,1,1,1,0.43346634009,2016-12-11,ligue-1
1614,Nice,2,Paris SG,2,0,1,0.402210611877,2016-12-11,ligue-1
1615,Nantes,2,Angers,0,2,1,0.449114118521,2016-12-16,ligue-1
1616,Paris SG,1,Guingamp,2,1,2,0.397558346715,2016-12-17,ligue-1
1617,Nancy,1,Toulouse,1,0,1,0.518927901917,2016-12-17,ligue-1
1618,Bastia,2,Rennes,1,2,1,0.546431991526,2016-12-17,ligue-1
1619,Saint-Etienne,1,Lorient,2,1,2,0.446316698845,2016-12-17,ligue-1
1620,Bordeaux,0,Montpellier,4,1,1,0.427598775721,2016-12-17,ligue-1
1621,Metz,0,Caen,3,1,1,0.445886495532,2016-12-18,ligue-1
1622,Dijon,1,Nice,2,1,1,0.667719339632,2016-12-18,ligue-1
1623,Lille,0,Marseille,2,1,1,0.579125513867,2016-12-18,ligue-1
1624,Lyon,3,Monaco,1,2,1,0.555778795573,2016-12-18,ligue-1
1625,Lorient,0,Paris SG,5,1,1,0.675276411365,2016-12-21,ligue-1
1626,Toulouse,0,Dijon,2,1,1,0.391475903408,2016-12-21,ligue-1
1627,Nancy,0,Saint-Etienne,0,0,1,0.533743822427,2016-12-21,ligue-1
1628,Caen,1,Monaco,2,1,1,0.669551874334,2016-12-21,ligue-1
1629,Nice,0,Bordeaux,0,0,2,0.543827535986,2016-12-21,ligue-1
1630,Montpellier,0,Nantes,1,1,1,0.436040607574,2016-12-21,ligue-1
1631,Rennes,1,Lille,1,0,1,0.379828699712,2016-12-21,ligue-1
