ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
210,bundesliga,2016-09-21,19:00,Augsburg @ Leverkusen,Augsburg,Leverkusen,6.96,4.64,1.47,Leverkusen,Leverkusen,0.486,N,0,0,Draw,4.64
211,bundesliga,2016-09-21,19:00,FC Koln @ Schalke 04,FC Koln,Schalke 04,3.42,3.36,2.22,Schalke 04,FC Koln,0.392,Y,3,1,FC Koln,3.42
212,bundesliga,2016-09-21,19:00,Monchengladb. @ RB Leipzig,Monchengladb.,RB Leipzig,3.33,3.52,2.19,RB Leipzig,RB Leipzig,0.649,N,1,1,Draw,3.52
213,bundesliga,2016-09-21,19:00,Hertha Berlin @ Bayern Munich,Hertha Berlin,Bayern Munich,21.82,8.5,1.14,Bayern Munich,Bayern Munich,0.569,N,0,3,Bayern Munich,1.14
231,bundesliga,2016-09-23,19:30,Freiburg @ Dortmund,Freiburg,Dortmund,14.46,7.39,1.2,Dortmund,Dortmund,0.556,N,1,3,Dortmund,1.2
236,bundesliga,2016-09-24,14:30,Darmstadt @ Augsburg,Darmstadt,Augsburg,5.84,3.84,1.64,Augsburg,Augsburg,0.583,N,0,1,Augsburg,1.64
237,bundesliga,2016-09-24,14:30,Hertha Berlin @ Frankfurt,Hertha Berlin,Frankfurt,3.29,3.19,2.36,Frankfurt,Frankfurt,0.464,N,3,3,Draw,3.19
238,bundesliga,2016-09-24,14:30,Ingolstadt @ Monchengladb.,Ingolstadt,Monchengladb.,4.24,3.43,1.94,Monchengladb.,Monchengladb.,0.525,N,0,2,Monchengladb.,1.94
239,bundesliga,2016-09-24,14:30,Bayern Munich @ Hamburger SV,Bayern Munich,Hamburger SV,1.21,6.95,15.06,Bayern Munich,Bayern Munich,0.651,N,1,0,Bayern Munich,1.21
249,bundesliga,2016-09-24,17:30,Wolfsburg @ Werder Bremen,Wolfsburg,Werder Bremen,1.91,3.84,3.92,Wolfsburg,Werder Bremen,0.452,Y,1,2,Werder Bremen,3.92
