ID,Date,Time,League,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result
59,2017-01-07,20:45:00,primera-division,Sevilla FC @ Real Sociedad,Sevilla FC,Real Sociedad,3.12,3.41,2.29,Real Sociedad,Real Sociedad,0.411,N,Upcoming
60,2017-01-08,12:00:00,primera-division,Alaves @ Athletic Bilbao,Alaves,Athletic Bilbao,6.92,3.97,1.53,Athletic Bilbao,Athletic Bilbao,0.508,N,Upcoming
61,2017-01-08,16:15:00,primera-division,Leganes @ Real Betis,Leganes,Real Betis,3.93,3.26,2.04,Real Betis,Real Betis,0.491,N,Upcoming
62,2017-01-08,20:45:00,primera-division,FC Barcelona @ Villarreal CF,FC Barcelona,Villarreal CF,1.52,4.43,6.06,FC Barcelona,Villarreal CF,0.405,Y,Upcoming
63,2017-01-09,20:45:00,primera-division,Valencia CF @ Osasuna,Valencia CF,Osasuna,1.98,3.52,3.84,Valencia CF,Osasuna,0.389,Y,Upcoming
64,2017-01-13,20:45:00,primera-division,Real Sociedad @ Malaga CF,Real Sociedad,Malaga CF,2.75,3.24,2.6,Malaga CF,Real Sociedad,0.396,Y,Upcoming
65,2017-01-14,13:00:00,primera-division,Athletic Bilbao @ Leganes,Athletic Bilbao,Leganes,2.19,3.21,3.5,Athletic Bilbao,Athletic Bilbao,0.421,N,Upcoming
66,2017-01-14,16:15:00,primera-division,U.D. Las Palmas de Gran Canaria @ FC Barcelona,U.D. Las Palmas de Gran Canaria,FC Barcelona,22.82,10.6,1.09,FC Barcelona,FC Barcelona,0.604,N,Upcoming
67,2017-01-14,18:30:00,primera-division,Real Betis @ Atletico Madrid,Real Betis,Atletico Madrid,13.14,5.83,1.24,Atletico Madrid,Atletico Madrid,0.597,N,Upcoming
68,2017-01-14,20:45:00,primera-division,Alaves @ Celta de Vigo,Alaves,Celta de Vigo,4.68,3.69,1.76,Celta de Vigo,Celta de Vigo,0.458,N,Upcoming
69,2017-01-15,12:00:00,primera-division,RCD Espanyol @ Valencia CF,RCD Espanyol,Valencia CF,4.59,3.78,1.75,Valencia CF,RCD Espanyol,0.425,Y,Upcoming
70,2017-01-15,18:30:00,primera-division,Osasuna @ Granada CF,Osasuna,Granada CF,3.91,3.4,1.98,Granada CF,Granada CF,0.493,N,Upcoming
71,2017-01-15,20:45:00,primera-division,Real Madrid @ Sevilla FC,Real Madrid,Sevilla FC,1.88,3.83,3.86,Real Madrid,Sevilla FC,0.373,Y,Upcoming
72,2017-01-16,20:45:00,primera-division,Eibar @ Real Sporting de Gijon,Eibar,Real Sporting de Gijon,2.77,3.16,2.64,Real Sporting de Gijon,Eibar,0.457,Y,Upcoming
73,2017-01-20,20:45:00,primera-division,Deportivo La Coruna @ U.D. Las Palmas de Gran Canaria,Deportivo La Coruna,U.D. Las Palmas de Gran Canaria,1.35,1.8,1.28,U.D. Las Palmas de Gran Canaria,U.D. Las Palmas de Gran Canaria,0.535,N,Upcoming
74,2017-01-21,13:00:00,primera-division,Granada CF @ RCD Espanyol,Granada CF,RCD Espanyol,1.28,2.3,1.17,RCD Espanyol,RCD Espanyol,0.623,N,Upcoming
75,2017-01-21,18:30:00,primera-division,Leganes @ Alaves,Leganes,Alaves,1.39,1.77,1.27,Alaves,Alaves,0.538,N,Upcoming
76,2017-01-21,20:45:00,primera-division,Valencia CF @ Villarreal CF,Valencia CF,Villarreal CF,1.29,2.18,1.18,Villarreal CF,Villarreal CF,0.642,N,Upcoming
77,2017-01-22,12:00:00,primera-division,Sevilla FC @ Osasuna,Sevilla FC,Osasuna,1.63,3.94,5.69,Sevilla FC,Sevilla FC,0.645,N,Upcoming
78,2017-01-22,18:30:00,primera-division,Real Sporting de Gijon @ Real Betis,Real Sporting de Gijon,Real Betis,1.28,2.07,1.19,Real Betis,Real Betis,0.547,N,Upcoming
79,2017-01-23,20:45:00,primera-division,Celta de Vigo @ Real Sociedad,Celta de Vigo,Real Sociedad,1.32,1.74,1.34,Celta de Vigo,Real Sociedad,0.543,Y,Upcoming
80,2017-01-07,18:00:00,serie-a,Palermo @ Empoli,Palermo,Empoli,4.01,3.29,2.01,Empoli,Empoli,0.538,N,Upcoming
81,2017-01-07,20:45:00,serie-a,Sampdoria @ Napoli,Sampdoria,Napoli,10.7,5.92,1.27,Napoli,Napoli,0.608,N,Upcoming
82,2017-01-08,12:30:00,serie-a,Internazionale Milano @ Udinese Calcio,Internazionale Milano,Udinese Calcio,1.98,3.49,3.87,Internazionale Milano,Udinese Calcio,0.408,Y,Upcoming
83,2017-01-08,15:00:00,serie-a,Crotone @ SS Lazio,Crotone,SS Lazio,12.16,6.01,1.25,SS Lazio,SS Lazio,0.68,N,Upcoming
84,2017-01-08,15:00:00,serie-a,Atalanta Bergamo @ Chievo Verona,Atalanta Bergamo,Chievo Verona,2.87,3.09,2.63,Chievo Verona,Chievo Verona,0.387,N,Upcoming
85,2017-01-08,15:00:00,serie-a,AC Fiorentina @ Pescara,AC Fiorentina,Pescara,1.85,3.65,4.21,AC Fiorentina,AC Fiorentina,0.542,N,Upcoming
86,2017-01-08,15:00:00,serie-a,Torino FC @ Sassuolo,Torino FC,Sassuolo,2.62,3.33,2.71,Torino FC,Torino FC,0.43,N,Upcoming
87,2017-01-08,15:00:00,serie-a,AS Roma @ Genoa,AS Roma,Genoa,1.88,3.65,4.13,AS Roma,AS Roma,0.481,N,Upcoming
88,2017-01-08,18:00:00,serie-a,Cagliari @ AC Milan,Cagliari,AC Milan,7.97,4.8,1.39,AC Milan,AC Milan,0.613,N,Upcoming
89,2017-01-08,20:45:00,serie-a,Bologna F.C. @ Juventus FC,Bologna F.C.,Juventus FC,15.9,7.09,1.18,Juventus FC,Juventus FC,0.645,N,Upcoming
90,2017-01-14,18:00:00,serie-a,Bologna F.C. @ Crotone,Bologna F.C.,Crotone,2.53,3.11,2.96,Bologna F.C.,Bologna F.C.,0.44,N,Upcoming
91,2017-01-14,20:45:00,serie-a,Chievo Verona @ Internazionale Milano,Chievo Verona,Internazionale Milano,7.04,4.18,1.48,Internazionale Milano,Internazionale Milano,0.523,N,Upcoming
92,2017-01-15,12:30:00,serie-a,Genoa @ Cagliari,Genoa,Cagliari,2.73,3.3,2.61,Cagliari,Cagliari,0.44,N,Upcoming
93,2017-01-15,15:00:00,serie-a,Empoli @ Sampdoria,Empoli,Sampdoria,4.51,3.46,1.84,Sampdoria,Sampdoria,0.545,N,Upcoming
94,2017-01-15,15:00:00,serie-a,Atalanta Bergamo @ SS Lazio,Atalanta Bergamo,SS Lazio,4.32,3.6,1.83,SS Lazio,SS Lazio,0.506,N,Upcoming
95,2017-01-15,15:00:00,serie-a,Palermo @ Sassuolo,Palermo,Sassuolo,5.36,3.81,1.65,Sassuolo,Sassuolo,0.538,N,Upcoming
96,2017-01-15,15:00:00,serie-a,Pescara @ Napoli,Pescara,Napoli,16.49,7.93,1.15,Napoli,Napoli,0.68,N,Upcoming
97,2017-01-15,15:00:00,serie-a,AS Roma @ Udinese Calcio,AS Roma,Udinese Calcio,1.81,3.62,4.47,AS Roma,AS Roma,0.449,N,Upcoming
98,2017-01-15,20:45:00,serie-a,Juventus FC @ AC Fiorentina,Juventus FC,AC Fiorentina,1.82,3.52,4.56,Juventus FC,Juventus FC,0.491,N,Upcoming
99,2017-01-16,20:45:00,serie-a,AC Milan @ Torino FC,AC Milan,Torino FC,2.92,3.28,2.44,Torino FC,Torino FC,0.386,N,Upcoming
