ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
160,laliga,2016-09-17,15:15,Atletico Madrid vs Sporting Gijon,Atletico Madrid,Sporting Gijon,1.19,6.97,18.52,Atletico Madrid,Atletico Madrid,0.654,N,5,0,Atletico Madrid,1.19
164,laliga,2016-09-17,17:30,Eibar vs FC Sevilla,Eibar,FC Sevilla,2.92,3.34,2.5,FC Sevilla,FC Sevilla,0.415,N,1,1,Draw,3.34
171,laliga,2016-09-17,19:45,Las Palmas vs Malaga,Las Palmas,Malaga,2.22,3.38,3.41,Las Palmas,Las Palmas,0.466,N,1,0,Las Palmas,2.22
173,laliga,2016-09-18,11:00,Osasuna vs Celta Vigo,Osasuna,Celta Vigo,3.36,3.22,2.31,Celta Vigo,Celta Vigo,0.48,N,0,0,Draw,3.22
183,laliga,2016-09-18,15:15,Athletic Bilbao vs Valencia,Athletic Bilbao,Valencia,1.84,3.67,4.43,Athletic Bilbao,Athletic Bilbao,0.596,N,2,1,Athletic Bilbao,1.84
188,laliga,2016-09-18,17:30,Villarreal vs Real Sociedad,Villarreal,Real Sociedad,1.84,3.38,5.01,Villarreal,Villarreal,0.493,N,2,1,Villarreal,1.84
189,laliga,2016-09-18,19:45,Espanyol vs Real Madrid,Espanyol,Real Madrid,7.79,5.0,1.41,Real Madrid,Real Madrid,0.525,N,0,2,Real Madrid,1.41
192,laliga,2016-09-19,19:45,Alaves vs Deportivo,Alaves,Deportivo,2.35,3.04,3.47,Alaves,Alaves,0.532,N,0,0,Draw,3.04
198,laliga,2016-09-20,19:00,Malaga vs Eibar,Malaga,Eibar,1.8,3.43,5.16,Malaga,Malaga,0.452,N,2,1,Malaga,1.8
201,laliga,2016-09-20,21:00,FC Sevilla vs Real Betis,FC Sevilla,Real Betis,1.53,4.4,6.26,FC Sevilla,FC Sevilla,0.615,N,1,0,FC Sevilla,1.53
214,laliga,2016-09-21,19:00,Celta Vigo vs Sporting Gijon,Celta Vigo,Sporting Gijon,1.61,4.07,5.8,Celta Vigo,Celta Vigo,0.585,N,2,1,Celta Vigo,1.61
215,laliga,2016-09-21,19:00,Real Madrid vs Villarreal,Real Madrid,Villarreal,1.25,6.47,11.87,Real Madrid,Real Madrid,0.575,N,1,1,Draw,6.47
225,laliga,2016-09-21,21:00,Real Sociedad vs Las Palmas,Real Sociedad,Las Palmas,1.89,3.6,4.31,Real Sociedad,Real Sociedad,0.537,N,4,1,Real Sociedad,1.89
226,laliga,2016-09-21,21:00,Granada vs Athletic Bilbao,Granada,Athletic Bilbao,4.12,3.56,1.95,Athletic Bilbao,Athletic Bilbao,0.519,N,1,2,Athletic Bilbao,1.95
227,laliga,2016-09-21,21:00,FC Barcelona vs Atletico Madrid,FC Barcelona,Atletico Madrid,1.56,4.26,6.18,FC Barcelona,FC Barcelona,0.531,N,1,1,Draw,4.26
228,laliga,2016-09-22,19:00,Deportivo vs Leganes,Deportivo,Leganes,2.19,3.16,3.75,Deportivo,Deportivo,0.473,N,1,2,Leganes,3.75
229,laliga,2016-09-22,19:00,Osasuna vs Espanyol,Osasuna,Espanyol,3.22,3.22,2.39,Espanyol,Espanyol,0.522,N,1,2,Espanyol,2.39
230,laliga,2016-09-22,21:00,Valencia vs Alaves,Valencia,Alaves,1.55,4.32,6.3,Valencia,Alaves,0.408,Y,2,1,Valencia,1.55
232,laliga,2016-09-23,19:45,Real Betis vs Malaga,Real Betis,Malaga,2.54,3.19,3.01,Real Betis,Real Betis,0.412,N,1,0,Real Betis,2.54
