,Team,Season_Yr,WP,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS_Perc,O_eFG_Perc,O_TOV_Perc,ORB_Perc,O_FT_per_FGA,D_eFG_Perc,D_TOV_Perc,DRB_Perc,D_FT_per_FGA
21,Sacramento Kings,2014,0.402,-2.9,0.82,-2.08,105.7,108.8,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234
22,Cleveland Cavaliers,2014,0.39,-3.29,-0.57,-3.86,104.2,107.7,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199
23,Detroit Pistons,2014,0.378,-3.66,-0.48,-4.13,105.9,109.7,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218
24,Boston Celtics,2014,0.341,-4.46,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227
25,Los Angeles Lakers,2014,0.305,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71.0,0.192
26,Orlando Magic,2014,0.317,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211
27,Utah Jazz,2014,0.268,-7.17,0.91,-6.27,103.5,111.3,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227
28,Milwaukee Bucks,2014,0.244,-8.18,-0.23,-8.41,103.0,111.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
29,Philadelphia 76ers,2014,0.195,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
31,Golden State Warriors,2015,0.793,10.1,-0.09,10.01,111.6,101.4,98.3,0.239,0.311,0.571,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217
32,Los Angeles Clippers,2015,0.707,6.59,0.22,6.8,112.4,105.5,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231
33,San Antonio Spurs,2015,0.707,6.2,0.14,6.34,108.5,102.0,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19
34,Atlanta Hawks,2015,0.683,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185
35,Portland Trail Blazers,2015,0.646,4.23,0.18,4.41,108.2,103.7,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182
36,Cleveland Cavaliers,2015,0.646,4.48,-0.4,4.08,111.1,106.3,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177
37,Houston Rockets,2015,0.61,3.44,0.38,3.82,107.0,103.4,96.5,0.312,0.392,0.548,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208
38,Memphis Grizzlies,2015,0.61,3.24,0.38,3.62,105.7,102.2,92.0,0.276,0.184,0.531,0.489,12.6,24.7,0.214,0.492,14.5,75.3,0.183
39,Dallas Mavericks,2015,0.598,2.9,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
40,Chicago Bulls,2015,0.61,3.0,-0.46,2.54,107.5,104.3,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182
41,Oklahoma City Thunder,2015,0.573,2.18,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
42,Toronto Raptors,2015,0.598,3.07,-0.62,2.45,111.0,107.7,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208
43,New Orleans Pelicans,2015,0.524,0.79,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
44,Utah Jazz,2015,0.512,0.22,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
45,Washington Wizards,2015,0.524,0.72,-0.55,0.17,103.7,103.0,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21
46,Milwaukee Bucks,2015,0.512,0.43,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
47,Indiana Pacers,2015,0.512,0.28,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217
48,Phoenix Suns,2015,0.463,-0.9,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221
49,Boston Celtics,2015,0.5,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208
50,Detroit Pistons,2015,0.463,-1.0,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192
51,Miami Heat,2015,0.402,-2.6,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
52,Denver Nuggets,2015,0.378,-3.55,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239
53,Sacramento Kings,2015,0.378,-3.71,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
54,Brooklyn Nets,2015,0.402,-2.88,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185
55,Charlotte Hornets,2015,0.39,-3.17,-0.27,-3.44,100.1,103.5,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188
56,Orlando Magic,2015,0.305,-5.72,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21
57,Los Angeles Lakers,2015,0.28,-6.84,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
58,Minnesota Timberwolves,2015,0.232,-8.79,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
59,Philadelphia 76ers,2015,0.22,-8.98,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16.0,25.5,0.195,0.497,15.2,73.0,0.225
60,New York Knicks,2015,0.207,-9.32,-0.18,-9.5,99.9,110.0,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234
