,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
0,ARI,2016,4.64,6260.0,5665.0,752.0,1479.0,285.0,56.0,190.0,709.0,137.0,31.0,463.0,1427.0,0.261,0.32,0.432,0.752,95.0,2446.0,117.0,50.0,43.0,38.0,43.0,1113.0,5.49,0.426,5.09,2.0,7.0,2.0,31.0,1451.1,1563.0,890.0,821.0,202.0,603.0,57.0,1318.0,57.0,7.0,69.0,6437.0,87.0,4.5,1.492,9.7,1.3,3.7,8.2,2.19,1193.0
1,ATL,2016,4.03,6192.0,5514.0,649.0,1404.0,295.0,27.0,122.0,615.0,75.0,34.0,502.0,1240.0,0.255,0.321,0.384,0.705,89.0,2119.0,145.0,59.0,64.0,52.0,60.0,1161.0,4.84,0.422,4.51,1.0,9.0,1.0,39.0,1447.2,1414.0,779.0,725.0,177.0,547.0,55.0,1227.0,70.0,4.0,83.0,6250.0,92.0,4.32,1.355,8.8,1.1,3.4,7.6,2.24,1128.0
2,BAL,2016,4.59,6089.0,5524.0,744.0,1413.0,265.0,6.0,253.0,710.0,19.0,13.0,468.0,1324.0,0.256,0.317,0.443,0.76,99.0,2449.0,119.0,44.0,17.0,36.0,19.0,1065.0,4.41,0.549,4.22,1.0,9.0,0.0,54.0,1432.0,1408.0,715.0,671.0,183.0,545.0,23.0,1248.0,51.0,3.0,59.0,6122.0,105.0,4.31,1.364,8.8,1.2,3.4,7.8,2.29,1111.0
3,BOS,2016,5.42,6320.0,5670.0,878.0,1598.0,343.0,25.0,208.0,836.0,83.0,24.0,558.0,1160.0,0.282,0.348,0.461,0.81,110.0,2615.0,137.0,43.0,8.0,40.0,34.0,1162.0,4.28,0.574,4.0,9.0,5.0,1.0,43.0,1439.2,1341.0,694.0,640.0,176.0,490.0,16.0,1362.0,65.0,0.0,52.0,6073.0,114.0,4.0,1.272,8.4,1.1,3.1,8.5,2.78,1060.0
4,CHC,2016,4.99,6335.0,5503.0,808.0,1409.0,293.0,30.0,199.0,767.0,66.0,34.0,656.0,1339.0,0.256,0.343,0.429,0.772,107.0,2359.0,107.0,96.0,42.0,37.0,45.0,1217.0,3.43,0.64,3.15,5.0,15.0,2.0,38.0,1459.2,1125.0,556.0,511.0,163.0,495.0,24.0,1441.0,63.0,0.0,80.0,5933.0,128.0,3.77,1.11,6.9,1.0,3.1,8.9,2.91,998.0
5,CHW,2016,4.23,6131.0,5550.0,686.0,1428.0,277.0,33.0,168.0,656.0,77.0,36.0,455.0,1285.0,0.257,0.317,0.41,0.727,101.0,2275.0,122.0,53.0,29.0,44.0,16.0,1105.0,4.41,0.481,4.1,7.0,10.0,1.0,43.0,1446.2,1422.0,715.0,659.0,185.0,521.0,30.0,1270.0,68.0,2.0,72.0,6195.0,98.0,4.28,1.343,8.8,1.2,3.2,7.9,2.44,1141.0
6,CIN,2016,4.42,6094.0,5487.0,716.0,1403.0,277.0,33.0,164.0,678.0,139.0,51.0,452.0,1284.0,0.256,0.316,0.408,0.724,91.0,2238.0,129.0,52.0,58.0,44.0,37.0,1014.0,5.27,0.42,4.91,2.0,8.0,1.0,28.0,1442.0,1457.0,854.0,786.0,258.0,636.0,31.0,1241.0,78.0,12.0,61.0,6348.0,87.0,5.24,1.451,9.1,1.6,4.0,7.7,1.95,1168.0
7,CLE,2016,4.83,6155.0,5484.0,777.0,1435.0,308.0,29.0,185.0,733.0,134.0,31.0,531.0,1246.0,0.262,0.329,0.43,0.759,94.0,2356.0,137.0,49.0,31.0,60.0,16.0,1084.0,4.2,0.584,3.84,5.0,11.0,3.0,37.0,1445.0,1330.0,676.0,617.0,186.0,461.0,34.0,1398.0,34.0,7.0,49.0,6033.0,122.0,3.91,1.239,8.3,1.2,2.9,8.7,3.03,1022.0
8,COL,2016,5.22,6236.0,5614.0,845.0,1544.0,318.0,47.0,204.0,805.0,66.0,39.0,494.0,1330.0,0.275,0.336,0.457,0.794,96.0,2568.0,113.0,40.0,54.0,34.0,35.0,1089.0,5.31,0.463,4.91,2.0,9.0,2.0,37.0,1429.1,1532.0,860.0,779.0,181.0,547.0,38.0,1223.0,70.0,5.0,72.0,6289.0,100.0,4.38,1.455,9.6,1.1,3.4,7.7,2.24,1141.0
9,DET,2016,4.66,6127.0,5526.0,750.0,1476.0,252.0,30.0,211.0,719.0,58.0,29.0,493.0,1303.0,0.267,0.331,0.438,0.769,108.0,2421.0,135.0,53.0,17.0,38.0,32.0,1105.0,4.48,0.534,4.24,3.0,8.0,1.0,47.0,1428.0,1417.0,721.0,672.0,182.0,462.0,25.0,1232.0,51.0,4.0,44.0,6048.0,98.0,4.16,1.316,8.9,1.1,2.9,7.8,2.67,1043.0
