Season_Yr,Visitor_Team,Home_Team,Home_Team_PTS,Visitor_Team_PTS
2015,Chicago Bulls,Toronto Raptors,100,93
2015,Miami Heat,Atlanta Hawks,103,114
2015,Cleveland Cavaliers,Boston Celtics,122,121
2015,Philadelphia 76ers,Houston Rockets,87,88
2015,Denver Nuggets,Indiana Pacers,108,87
2015,San Antonio Spurs,Los Angeles Lakers,93,80
2015,Minnesota Timberwolves,New Orleans Pelicans,91,139
2015,Utah Jazz,New York Knicks,102,100
2015,Detroit Pistons,Oklahoma City Thunder,96,89
2015,Milwaukee Bucks,Orlando Magic,85,101
2015,Charlotte Hornets,Phoenix Suns,103,95
2015,Indiana Pacers,Chicago Bulls,99,90
2015,Atlanta Hawks,Cleveland Cavaliers,94,127
2015,Minnesota Timberwolves,Dallas Mavericks,117,131
2015,Charlotte Hornets,Golden State Warriors,87,112
2015,Phoenix Suns,Los Angeles Clippers,107,120
2015,Detroit Pistons,Memphis Grizzlies,88,95
2015,Brooklyn Nets,Portland Trail Blazers,87,97
2015,San Antonio Spurs,Sacramento Kings,91,94
2015,Utah Jazz,Toronto Raptors,93,111
2015,Orlando Magic,Washington Wizards,93,98
2015,Golden State Warriors,Los Angeles Lakers,136,115
2015,Milwaukee Bucks,Miami Heat,91,84
2015,Denver Nuggets,New York Knicks,93,109
2015,Houston Rockets,Oklahoma City Thunder,69,65
2015,Phoenix Suns,Boston Celtics,118,114
2015,Miami Heat,Brooklyn Nets,95,83
2015,Dallas Mavericks,Charlotte Hornets,107,80
2015,Denver Nuggets,Cleveland Cavaliers,106,97
2015,Orlando Magic,Detroit Pistons,107,93
2015,Chicago Bulls,Los Angeles Clippers,105,89
2015,Houston Rockets,Memphis Grizzlies,93,119
2015,New Orleans Pelicans,Portland Trail Blazers,93,102
2015,Philadelphia 76ers,San Antonio Spurs,75,100
2015,Los Angeles Lakers,Atlanta Hawks,114,109
2015,New York Knicks,Milwaukee Bucks,113,117
2015,New Orleans Pelicans,Sacramento Kings,106,100
2015,Oklahoma City Thunder,Utah Jazz,81,98
2015,Milwaukee Bucks,Brooklyn Nets,122,118
2015,San Antonio Spurs,Cleveland Cavaliers,92,90
2015,Oklahoma City Thunder,Denver Nuggets,100,107
2015,Phoenix Suns,Detroit Pistons,88,86
2015,Los Angeles Lakers,Houston Rockets,98,92
2015,Charlotte Hornets,Indiana Pacers,86,88
2015,New York Knicks,Minnesota Timberwolves,99,115
2015,Los Angeles Clippers,Orlando Magic,114,90
2015,Boston Celtics,Philadelphia 76ers,101,90
2015,Memphis Grizzlies,Toronto Raptors,92,96
2015,Dallas Mavericks,Washington Wizards,105,102
2015,Los Angeles Clippers,Miami Heat,110,93
2015,Chicago Bulls,Sacramento Kings,88,103
2015,Detroit Pistons,Atlanta Hawks,89,99
2015,Orlando Magic,Charlotte Hornets,105,100
2015,Los Angeles Lakers,Dallas Mavericks,106,140
2015,New Orleans Pelicans,Denver Nuggets,97,117
2015,Utah Jazz,Golden State Warriors,88,101
2015,Boston Celtics,Memphis Grizzlies,100,117
2015,San Antonio Spurs,Minnesota Timberwolves,121,92
2015,Brooklyn Nets,Oklahoma City Thunder,94,92
2015,Phoenix Suns,Philadelphia 76ers,122,96
2015,Chicago Bulls,Portland Trail Blazers,87,105
2015,Milwaukee Bucks,Toronto Raptors,82,124
2015,Cleveland Cavaliers,Washington Wizards,78,91
2015,Toronto Raptors,Cleveland Cavaliers,110,93
2015,Dallas Mavericks,Houston Rockets,92,95
2015,Phoenix Suns,Indiana Pacers,106,83
2015,Washington Wizards,Milwaukee Bucks,111,100
2015,Sacramento Kings,Minnesota Timberwolves,113,101
2015,Philadelphia 76ers,New York Knicks,83,91
2015,Miami Heat,Orlando Magic,99,92
2015,Brooklyn Nets,San Antonio Spurs,87,99
2015,New Orleans Pelicans,Utah Jazz,106,94
2015,Portland Trail Blazers,Boston Celtics,94,88
2015,Denver Nuggets,Los Angeles Lakers,101,94
2015,Los Angeles Clippers,Memphis Grizzlies,91,107
2015,Charlotte Hornets,Miami Heat,93,94
2015,Golden State Warriors,Oklahoma City Thunder,91,86
2015,Los Angeles Clippers,Charlotte Hornets,113,92
2015,Orlando Magic,Cleveland Cavaliers,74,106
2015,Indiana Pacers,Dallas Mavericks,111,100
2015,New York Knicks,Houston Rockets,86,91
2015,Portland Trail Blazers,Philadelphia 76ers,114,104
2015,Phoenix Suns,Toronto Raptors,100,104
2015,Chicago Bulls,Utah Jazz,97,95
2015,Chicago Bulls,Denver Nuggets,109,114
2015,Golden State Warriors,Miami Heat,114,97
2015,Detroit Pistons,Milwaukee Bucks,86,98
2015,Sacramento Kings,New Orleans Pelicans,99,89
2015,Atlanta Hawks,Washington Wizards,106,102
2015,Toronto Raptors,Atlanta Hawks,126,115
2015,Portland Trail Blazers,Charlotte Hornets,105,97
2015,Washington Wizards,Cleveland Cavaliers,87,113
2015,New York Knicks,Dallas Mavericks,102,109
2015,Los Angeles Clippers,Detroit Pistons,104,98
2015,Sacramento Kings,Houston Rockets,89,102
2015,Memphis Grizzlies,Los Angeles Lakers,99,93
2015,Milwaukee Bucks,Minnesota Timberwolves,103,86
2015,Utah Jazz,Oklahoma City Thunder,82,97
2015,Golden State Warriors,Orlando Magic,111,96
2015,Brooklyn Nets,Philadelphia 76ers,99,91
2015,Denver Nuggets,Phoenix Suns,112,120
2015,Indiana Pacers,San Antonio Spurs,100,106
2015,New Orleans Pelicans,Atlanta Hawks,91,100
2015,Chicago Bulls,Boston Celtics,109,102
2015,Golden State Warriors,Charlotte Hornets,106,101
2015,Phoenix Suns,Denver Nuggets,97,122
2015,Milwaukee Bucks,Detroit Pistons,104,88
2015,Los Angeles Clippers,Houston Rockets,102,85
2015,Orlando Magic,Indiana Pacers,83,98
2015,Minnesota Timberwolves,Los Angeles Lakers,120,119
2015,New York Knicks,Oklahoma City Thunder,78,105
2015,Memphis Grizzlies,Portland Trail Blazers,112,99
2015,Sacramento Kings,San Antonio Spurs,104,112
2015,Dallas Mavericks,Toronto Raptors,106,102
2015,Charlotte Hornets,Atlanta Hawks,75,105
2015,Indiana Pacers,Cleveland Cavaliers,97,109
2015,Houston Rockets,Milwaukee Bucks,117,103
2015,Dallas Mavericks,Philadelphia 76ers,110,103
2015,Los Angeles Clippers,Utah Jazz,112,96
2015,New Orleans Pelicans,Washington Wizards,80,83
2015,San Antonio Spurs,Boston Celtics,111,89
2015,Chicago Bulls,Brooklyn Nets,102,84
2015,Golden State Warriors,Detroit Pistons,104,93
2015,Toronto Raptors,Los Angeles Lakers,122,129
2015,Miami Heat,New York Knicks,86,79
2015,Orlando Magic,Phoenix Suns,93,90
2015,Minnesota Timberwolves,Portland Trail Blazers,93,107
2015,Memphis Grizzlies,Sacramento Kings,97,85
2015,Minnesota Timberwolves,Los Angeles Clippers,101,127
2015,San Antonio Spurs,Philadelphia 76ers,109,103
2015,Denver Nuggets,Utah Jazz,103,101
2015,Miami Heat,Washington Wizards,86,107
2015,Boston Celtics,Atlanta Hawks,105,109
2015,Dallas Mavericks,Chicago Bulls,132,129
2015,Milwaukee Bucks,Cleveland Cavaliers,108,111
2015,Portland Trail Blazers,Denver Nuggets,105,103
2015,Los Angeles Lakers,Detroit Pistons,106,96
2015,Orlando Magic,Golden State Warriors,97,98
2015,Oklahoma City Thunder,New Orleans Pelicans,104,112
2015,Brooklyn Nets,New York Knicks,98,93
2015,Indiana Pacers,Phoenix Suns,99,116
2015,Toronto Raptors,Sacramento Kings,117,109
2015,Detroit Pistons,Boston Celtics,102,109
2015,San Antonio Spurs,Brooklyn Nets,93,95
2015,Chicago Bulls,Charlotte Hornets,102,95
2015,Memphis Grizzlies,Houston Rockets,96,105
2015,Orlando Magic,Los Angeles Clippers,86,114
2015,Atlanta Hawks,Miami Heat,112,102
2015,Dallas Mavericks,Milwaukee Bucks,107,105
2015,Philadelphia 76ers,Minnesota Timberwolves,85,77
2015,Toronto Raptors,Utah Jazz,123,104
2015,Los Angeles Lakers,Washington Wizards,95,111
2015,New Orleans Pelicans,Golden State Warriors,85,112
2015,Cleveland Cavaliers,New York Knicks,90,87
2015,Indiana Pacers,Portland Trail Blazers,82,88
2015,Los Angeles Lakers,Boston Celtics,96,113
2015,Atlanta Hawks,Brooklyn Nets,98,75
2015,New York Knicks,Charlotte Hornets,102,103
2015,Phoenix Suns,Dallas Mavericks,118,106
2015,San Antonio Spurs,Memphis Grizzlies,107,101
2015,Miami Heat,Milwaukee Bucks,85,109
2015,Houston Rockets,Minnesota Timberwolves,114,112
2015,Oklahoma City Thunder,Philadelphia 76ers,103,91
2015,Indiana Pacers,Sacramento Kings,101,102
2015,Cleveland Cavaliers,Toronto Raptors,105,91
2015,Orlando Magic,Utah Jazz,98,93
2015,Denver Nuggets,Washington Wizards,89,119
2015,Golden State Warriors,Chicago Bulls,112,102
2015,Philadelphia 76ers,Detroit Pistons,108,101
2015,Phoenix Suns,Houston Rockets,95,100
2015,New Orleans Pelicans,Los Angeles Clippers,100,120
2015,Orlando Magic,Sacramento Kings,105,96
2015,Minnesota Timberwolves,San Antonio Spurs,101,123
2015,Denver Nuggets,Atlanta Hawks,84,96
2015,Washington Wizards,Boston Celtics,93,101
2015,Milwaukee Bucks,Dallas Mavericks,102,125
2015,Oklahoma City Thunder,Detroit Pistons,96,94
2015,New Orleans Pelicans,Los Angeles Lakers,104,87
2015,Miami Heat,Memphis Grizzlies,87,103
2015,Portland Trail Blazers,New York Knicks,103,99
2015,Cleveland Cavaliers,Brooklyn Nets,110,88
2015,Atlanta Hawks,Indiana Pacers,108,92
2015,Phoenix Suns,Los Angeles Clippers,120,121
2015,Golden State Warriors,Minnesota Timberwolves,102,86
2015,Utah Jazz,Sacramento Kings,92,101
2015,Denver Nuggets,Toronto Raptors,107,112
2015,Boston Celtics,Washington Wizards,132,133
2015,Toronto Raptors,Cleveland Cavaliers,101,105
2015,Portland Trail Blazers,Detroit Pistons,98,86
2015,Sacramento Kings,Los Angeles Lakers,95,98
2015,Dallas Mavericks,Memphis Grizzlies,105,114
2015,New York Knicks,New Orleans Pelicans,93,104
2015,Milwaukee Bucks,Oklahoma City Thunder,101,114
2015,Miami Heat,Phoenix Suns,103,97
2015,San Antonio Spurs,Utah Jazz,96,100
2015,Philadelphia 76ers,Atlanta Hawks,79,95
2015,Brooklyn Nets,Chicago Bulls,80,105
2015,Boston Celtics,Charlotte Hornets,87,96
2015,New Orleans Pelicans,Dallas Mavericks,107,112
2015,Miami Heat,Denver Nuggets,82,102
2015,Houston Rockets,Golden State Warriors,93,105
