ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date,League_T
828,Juventus,0,Fiorentina,0,0,2,0.452091461988,2017-01-15,serie-a
829,AC Milan,0,Torino,0,0,1,0.427519707132,2017-01-15,serie-a
830,Atalanta,0,Lazio Roma,0,0,1,0.483744967181,2017-01-15,serie-a
831,Palermo,0,Sassuolo,0,0,1,0.543517393459,2017-01-15,serie-a
832,Bologna,0,Crotone,0,0,2,0.473553395908,2017-01-15,serie-a
833,Pescara,0,Napoli,0,0,1,0.616988615789,2017-01-15,serie-a
834,Chievo,0,Inter Milan,0,0,1,0.463748833766,2017-01-15,serie-a
835,AS Roma,0,Udinese,0,0,2,0.468386865681,2017-01-15,serie-a
836,Empoli,0,Sampdoria,0,0,1,0.523845614563,2017-01-15,serie-a
837,Udinese,0,Empoli,0,0,1,0.419406763447,2017-01-22,serie-a
838,Torino,0,Bologna,0,0,2,0.380249542167,2017-01-22,serie-a
839,Crotone,0,Genoa,0,0,1,0.627365380497,2017-01-22,serie-a
840,Sassuolo,0,Pescara,0,0,1,0.408129093863,2017-01-22,serie-a
841,Cagliari,0,AS Roma,0,0,1,0.601545658292,2017-01-22,serie-a
842,Sampdoria,0,Atalanta,0,0,1,0.553643347267,2017-01-22,serie-a
843,Napoli,0,AC Milan,0,0,1,0.48842992261,2017-01-22,serie-a
844,Inter Milan,0,Palermo,0,0,2,0.482976983777,2017-01-22,serie-a
845,Fiorentina,0,Chievo,0,0,1,0.400342967102,2017-01-22,serie-a
846,Lazio Roma,0,Juventus,0,0,1,0.543066880851,2017-01-22,serie-a
847,Juventus,0,Sassuolo,0,0,2,0.596687469355,2017-01-29,serie-a
848,Pescara,0,Inter Milan,0,0,1,0.572466595017,2017-01-29,serie-a
849,Palermo,0,Napoli,0,0,1,0.64904461612,2017-01-29,serie-a
850,Atalanta,0,Torino,0,0,1,0.445160383761,2017-01-29,serie-a
851,AC Milan,0,Udinese,0,0,2,0.465983084646,2017-01-29,serie-a
852,Empoli,0,Crotone,0,0,1,0.365702548006,2017-01-29,serie-a
853,Bologna,0,Cagliari,0,0,1,0.448798199368,2017-01-29,serie-a
854,Chievo,0,Lazio Roma,0,0,1,0.561443700904,2017-01-29,serie-a
855,Genoa,0,Fiorentina,0,0,1,0.519938921743,2017-01-29,serie-a
856,AS Roma,0,Sampdoria,0,0,2,0.411866469765,2017-01-29,serie-a
857,Fiorentina,0,AS Roma,0,0,1,0.51188189188,2017-02-05,serie-a
858,Cagliari,0,Atalanta,0,0,1,0.583252771547,2017-02-05,serie-a
859,Sampdoria,0,AC Milan,0,0,1,0.567439055451,2017-02-05,serie-a
860,Napoli,0,Bologna,0,0,2,0.41722096507,2017-02-05,serie-a
861,Lazio Roma,0,Pescara,0,0,2,0.588354118929,2017-02-05,serie-a
862,Udinese,0,Chievo,0,0,1,0.508863027278,2017-02-05,serie-a
863,Torino,0,Empoli,0,0,2,0.51092366517,2017-02-05,serie-a
864,Crotone,0,Palermo,0,0,1,0.481614538289,2017-02-05,serie-a
865,Sassuolo,0,Genoa,0,0,1,0.557547147354,2017-02-05,serie-a
866,Inter Milan,0,Juventus,0,0,1,0.615423305415,2017-02-05,serie-a
867,Udinese,0,Fiorentina,0,0,1,0.563791043582,2017-02-12,serie-a
868,Chievo,0,Sassuolo,0,0,1,0.380531984102,2017-02-12,serie-a
869,Juventus,0,Cagliari,0,0,2,0.565104156185,2017-02-12,serie-a
870,Empoli,0,Inter Milan,0,0,1,0.527543416489,2017-02-12,serie-a
871,Bologna,0,Sampdoria,0,0,1,0.485967151673,2017-02-12,serie-a
872,AC Milan,0,Lazio Roma,0,0,1,0.466562933134,2017-02-12,serie-a
873,Pescara,0,Torino,0,0,1,0.615711418568,2017-02-12,serie-a
874,Genoa,0,Napoli,0,0,1,0.533574595419,2017-02-12,serie-a
875,Atalanta,0,Palermo,0,0,2,0.583170173061,2017-02-12,serie-a
876,AS Roma,0,Crotone,0,0,2,0.618141133052,2017-02-12,serie-a
877,Sassuolo,0,Udinese,0,0,1,0.510248021307,2017-02-19,serie-a
878,Inter Milan,0,Bologna,0,0,1,0.443649927464,2017-02-19,serie-a
879,Cagliari,0,Sampdoria,0,0,1,0.504192350258,2017-02-19,serie-a
880,Napoli,0,Chievo,0,0,2,0.383138188419,2017-02-19,serie-a
881,Genoa,0,Pescara,0,0,2,0.465989365896,2017-02-19,serie-a
882,Fiorentina,0,AC Milan,0,0,1,0.505075885117,2017-02-19,serie-a
883,Crotone,0,Atalanta,0,0,1,0.65203642957,2017-02-19,serie-a
884,Palermo,0,Juventus,0,0,1,0.674010902385,2017-02-19,serie-a
885,Lazio Roma,0,Empoli,0,0,2,0.555702180257,2017-02-19,serie-a
886,Torino,0,AS Roma,0,0,1,0.510037004559,2017-02-19,serie-a
887,Torino,0,Fiorentina,0,0,1,0.46590836375,2017-02-26,serie-a
888,Empoli,0,Juventus,0,0,1,0.615178323091,2017-02-26,serie-a
889,AC Milan,0,Sassuolo,0,0,2,0.495192211192,2017-02-26,serie-a
890,Udinese,0,Lazio Roma,0,0,1,0.593080863124,2017-02-26,serie-a
891,Cagliari,0,Crotone,0,0,2,0.46499778978,2017-02-26,serie-a
892,Sampdoria,0,Palermo,0,0,2,0.482636169049,2017-02-26,serie-a
893,Atalanta,0,Napoli,0,0,1,0.462786522412,2017-02-26,serie-a
894,AS Roma,0,Inter Milan,0,0,2,0.411593394128,2017-02-26,serie-a
895,Pescara,0,Chievo,0,0,1,0.577123234716,2017-02-26,serie-a
896,Bologna,0,Genoa,0,0,1,0.500101879034,2017-02-26,serie-a
897,Palermo,0,Torino,0,0,1,0.647920681331,2017-03-05,serie-a
898,Juventus,0,Udinese,0,0,2,0.574563542604,2017-03-05,serie-a
899,Sassuolo,0,Crotone,0,0,2,0.421458936916,2017-03-05,serie-a
900,Genoa,0,Empoli,0,0,2,0.423257599719,2017-03-05,serie-a
901,Fiorentina,0,Atalanta,0,0,1,0.488907205147,2017-03-05,serie-a
902,Inter Milan,0,Cagliari,0,0,1,0.425280181509,2017-03-05,serie-a
903,Chievo,0,AC Milan,0,0,1,0.559602470964,2017-03-05,serie-a
904,Napoli,0,AS Roma,0,0,1,0.495237059668,2017-03-05,serie-a
905,Lazio Roma,0,Bologna,0,0,2,0.432997225158,2017-03-05,serie-a
906,Pescara,0,Sampdoria,0,0,1,0.568897170095,2017-03-05,serie-a
907,Atalanta,0,Inter Milan,0,0,2,0.388316727937,2017-03-12,serie-a
908,Torino,0,Lazio Roma,0,0,1,0.503729848225,2017-03-12,serie-a
909,Cagliari,0,Fiorentina,0,0,1,0.567834587082,2017-03-12,serie-a
910,Bologna,0,Sassuolo,0,0,1,0.407240238054,2017-03-12,serie-a
911,Sampdoria,0,Genoa,0,0,1,0.480303880047,2017-03-12,serie-a
912,AS Roma,0,Palermo,0,0,2,0.599833171747,2017-03-12,serie-a
913,AC Milan,0,Juventus,0,0,1,0.545007168783,2017-03-12,serie-a
914,Empoli,0,Chievo,0,0,1,0.532040928434,2017-03-12,serie-a
915,Udinese,0,Pescara,0,0,2,0.422716808685,2017-03-12,serie-a
916,Crotone,0,Napoli,0,0,1,0.651221741407,2017-03-12,serie-a
917,Lazio Roma,0,Cagliari,0,0,2,0.441710684454,2017-03-19,serie-a
918,Fiorentina,0,Crotone,0,0,2,0.57552877201,2017-03-19,serie-a
919,Palermo,0,Udinese,0,0,1,0.58174743084,2017-03-19,serie-a
920,Chievo,0,Bologna,0,0,1,0.440421462183,2017-03-19,serie-a
921,Juventus,0,Sampdoria,0,0,2,0.528129080517,2017-03-19,serie-a
922,Inter Milan,0,Torino,0,0,1,0.534048612532,2017-03-19,serie-a
923,Sassuolo,0,AS Roma,0,0,1,0.630138604478,2017-03-19,serie-a
924,Genoa,0,AC Milan,0,0,1,0.550065672575,2017-03-19,serie-a
925,Pescara,0,Atalanta,0,0,1,0.61803821986,2017-03-19,serie-a
926,Napoli,0,Empoli,0,0,2,0.542059159742,2017-03-19,serie-a
927,Cagliari,0,Palermo,0,0,2,0.439410982495,2017-04-02,serie-a
928,Lazio Roma,0,Sassuolo,0,0,2,0.483501688113,2017-04-02,serie-a
929,Juventus,0,Napoli,0,0,2,0.422029830901,2017-04-02,serie-a
930,Empoli,0,AS Roma,0,0,1,0.595633564416,2017-04-02,serie-a
931,Udinese,0,Torino,0,0,1,0.566220903293,2017-04-02,serie-a
932,Atalanta,0,Genoa,0,0,2,0.40224605786,2017-04-02,serie-a
933,Sampdoria,0,Inter Milan,0,0,1,0.470737696064,2017-04-02,serie-a
934,Bologna,0,Fiorentina,0,0,1,0.550678797974,2017-04-02,serie-a
935,AC Milan,0,Pescara,0,0,2,0.596855234677,2017-04-02,serie-a
936,Crotone,0,Chievo,0,0,1,0.617141168113,2017-04-02,serie-a
937,Pescara,0,Empoli,0,0,1,0.521170367478,2017-04-09,serie-a
938,Inter Milan,0,Crotone,0,0,2,0.507235847778,2017-04-09,serie-a
939,Torino,0,Cagliari,0,0,2,0.389324379829,2017-04-09,serie-a
940,Genoa,0,Udinese,0,0,1,0.417350064619,2017-04-09,serie-a
941,Palermo,0,AC Milan,0,0,1,0.657142103076,2017-04-09,serie-a
942,Sassuolo,0,Atalanta,0,0,1,0.613693419314,2017-04-09,serie-a
943,Fiorentina,0,Sampdoria,0,0,1,0.393955859917,2017-04-09,serie-a
944,Chievo,0,Juventus,0,0,1,0.610614643805,2017-04-09,serie-a
945,Napoli,0,Lazio Roma,0,0,1,0.48816549599,2017-04-09,serie-a
946,AS Roma,0,Bologna,0,0,2,0.447818506978,2017-04-09,serie-a
947,Bologna,0,Palermo,0,0,2,0.448163516968,2017-04-15,serie-a
948,Crotone,0,Torino,0,0,1,0.651203926475,2017-04-15,serie-a
949,Udinese,0,Napoli,0,0,1,0.575603420961,2017-04-15,serie-a
950,Chievo,0,Cagliari,0,0,1,0.422075040639,2017-04-15,serie-a
951,Sampdoria,0,Sassuolo,0,0,1,0.386883141722,2017-04-15,serie-a
952,Atalanta,0,AS Roma,0,0,1,0.49094951817,2017-04-15,serie-a
953,Lazio Roma,0,Genoa,0,0,2,0.410640522791,2017-04-15,serie-a
954,Empoli,0,Fiorentina,0,0,1,0.572834943504,2017-04-15,serie-a
955,Juventus,0,Pescara,0,0,2,0.674936187012,2017-04-15,serie-a
956,AC Milan,0,Inter Milan,0,0,2,0.409347418289,2017-04-15,serie-a
957,Palermo,0,Lazio Roma,0,0,1,0.662249878657,2017-04-23,serie-a
958,Empoli,0,AC Milan,0,0,1,0.589672419035,2017-04-23,serie-a
959,Torino,0,Chievo,0,0,1,0.399556724297,2017-04-23,serie-a
960,Crotone,0,Sampdoria,0,0,1,0.60905931688,2017-04-23,serie-a
961,Cagliari,0,Udinese,0,0,1,0.468906622741,2017-04-23,serie-a
962,Bologna,0,Atalanta,0,0,1,0.566457209349,2017-04-23,serie-a
963,Napoli,0,Sassuolo,0,0,2,0.4691385404,2017-04-23,serie-a
964,Inter Milan,0,Fiorentina,0,0,1,0.532169368349,2017-04-23,serie-a
965,Genoa,0,Juventus,0,0,1,0.599256781013,2017-04-23,serie-a
966,AS Roma,0,Pescara,0,0,2,0.599442409067,2017-04-23,serie-a
967,Sampdoria,0,Torino,0,0,1,0.537500892702,2017-04-30,serie-a
968,Juventus,0,Atalanta,0,0,2,0.414315921052,2017-04-30,serie-a
969,Sassuolo,0,Empoli,0,0,1,0.463155061129,2017-04-30,serie-a
970,Fiorentina,0,Palermo,0,0,2,0.554532251343,2017-04-30,serie-a
971,Lazio Roma,0,AS Roma,0,0,1,0.474456968785,2017-04-30,serie-a
972,Pescara,0,Cagliari,0,0,1,0.542252323103,2017-04-30,serie-a
973,AC Milan,0,Crotone,0,0,2,0.615929342989,2017-04-30,serie-a
974,Chievo,0,Genoa,0,0,1,0.47359513067,2017-04-30,serie-a
975,Udinese,0,Bologna,0,0,1,0.483551537478,2017-04-30,serie-a
976,Napoli,0,Inter Milan,0,0,2,0.380391979135,2017-04-30,serie-a
977,Crotone,0,Pescara,0,0,1,0.515527642074,2017-05-07,serie-a
978,Bologna,0,Empoli,0,0,1,0.401695106013,2017-05-07,serie-a
979,AS Roma,0,AC Milan,0,0,1,0.460301666088,2017-05-07,serie-a
980,Atalanta,0,Udinese,0,0,2,0.445973747151,2017-05-07,serie-a
981,Palermo,0,Chievo,0,0,1,0.610917211892,2017-05-07,serie-a
982,Fiorentina,0,Sassuolo,0,0,2,0.43948529546,2017-05-07,serie-a
983,Torino,0,Juventus,0,0,1,0.569607540366,2017-05-07,serie-a
984,Cagliari,0,Napoli,0,0,1,0.580351806526,2017-05-07,serie-a
985,Sampdoria,0,Lazio Roma,0,0,1,0.569090375201,2017-05-07,serie-a
986,Inter Milan,0,Genoa,0,0,1,0.476897136295,2017-05-07,serie-a
987,Juventus,0,AS Roma,0,0,2,0.390914189079,2017-05-14,serie-a
988,Lazio Roma,0,Fiorentina,0,0,1,0.427752565484,2017-05-14,serie-a
989,AC Milan,0,Atalanta,0,0,1,0.450013898598,2017-05-14,serie-a
990,Chievo,0,Sampdoria,0,0,1,0.460199770752,2017-05-14,serie-a
991,Genoa,0,Palermo,0,0,2,0.469013628804,2017-05-14,serie-a
992,Sassuolo,0,Inter Milan,0,0,1,0.546287102028,2017-05-14,serie-a
993,Empoli,0,Cagliari,0,0,1,0.49429585163,2017-05-14,serie-a
994,Pescara,0,Bologna,0,0,1,0.559293688244,2017-05-14,serie-a
995,Napoli,0,Torino,0,0,1,0.44981531604,2017-05-14,serie-a
996,Udinese,0,Crotone,0,0,2,0.453219451199,2017-05-14,serie-a
997,Torino,0,Genoa,0,0,1,0.405097347902,2017-05-21,serie-a
998,Inter Milan,0,Lazio Roma,0,0,1,0.565647774088,2017-05-21,serie-a
999,Crotone,0,Juventus,0,0,1,0.672770142063,2017-05-21,serie-a
1000,Cagliari,0,Sassuolo,0,0,1,0.425476612972,2017-05-21,serie-a
1001,Bologna,0,AC Milan,0,0,1,0.579072921985,2017-05-21,serie-a
1002,AS Roma,0,Chievo,0,0,2,0.414448236966,2017-05-21,serie-a
1003,Atalanta,0,Empoli,0,0,2,0.548084740496,2017-05-21,serie-a
1004,Palermo,0,Pescara,0,0,1,0.500740154787,2017-05-21,serie-a
1005,Sampdoria,0,Udinese,0,0,1,0.43000888407,2017-05-21,serie-a
1006,Fiorentina,0,Napoli,0,0,1,0.484759266556,2017-05-21,serie-a
1007,Napoli,0,Sampdoria,0,0,2,0.380660113511,2017-05-28,serie-a
1008,Juventus,0,Bologna,0,0,2,0.558161575806,2017-05-28,serie-a
1009,Udinese,0,Inter Milan,0,0,1,0.50503605488,2017-05-28,serie-a
1010,Genoa,0,AS Roma,0,0,1,0.556625009916,2017-05-28,serie-a
1011,Sassuolo,0,Torino,0,0,1,0.603486939041,2017-05-28,serie-a
1012,Empoli,0,Palermo,0,0,1,0.380172564578,2017-05-28,serie-a
1013,Chievo,0,Atalanta,0,0,1,0.545892900936,2017-05-28,serie-a
1014,AC Milan,0,Cagliari,0,0,2,0.454163605101,2017-05-28,serie-a
1015,Lazio Roma,0,Crotone,0,0,2,0.607764695277,2017-05-28,serie-a
1016,Pescara,0,Fiorentina,0,0,1,0.612021498285,2017-05-28,serie-a
1017,Leicester City,1,Hull City,2,1,1,0.42819591976,2016-08-13,premier-league
1018,Tottenham,1,Everton,1,0,1,0.38458381847,2016-08-13,premier-league
1019,Swansea City,1,Burnley,0,2,1,0.57676463507,2016-08-13,premier-league
1020,West Bromwich,1,Crystal Palace,0,2,1,0.384501129265,2016-08-13,premier-league
1021,Watford,1,Southampton,1,0,1,0.427089414783,2016-08-13,premier-league
1022,Stoke City,1,Middlesbrough,1,0,1,0.448543628745,2016-08-13,premier-league
1023,Sunderland,1,Manchester City,2,1,1,0.647329945108,2016-08-13,premier-league
1024,Manchester Utd,3,Bournemouth,1,2,1,0.40559164321,2016-08-14,premier-league
1025,Liverpool,4,Arsenal,3,2,1,0.436837644984,2016-08-14,premier-league
1026,West Ham Utd,1,Chelsea,2,1,1,0.638576526701,2016-08-15,premier-league
1027,Southampton,0,Manchester Utd,2,1,1,0.525924708053,2016-08-19,premier-league
1028,Manchester City,4,Stoke City,1,2,2,0.526394396069,2016-08-20,premier-league
1029,Everton,2,West Bromwich,1,2,1,0.428119008039,2016-08-20,premier-league
1030,Liverpool,0,Burnley,2,1,2,0.516700170865,2016-08-20,premier-league
1031,Hull City,2,Swansea City,0,2,1,0.418197369615,2016-08-20,premier-league
1032,Chelsea,2,Watford,1,2,2,0.465781169966,2016-08-20,premier-league
1033,Crystal Palace,0,Tottenham,1,1,1,0.611658447695,2016-08-20,premier-league
1034,Arsenal,0,Leicester City,0,0,2,0.513221071694,2016-08-20,premier-league
1035,Middlesbrough,2,Sunderland,1,2,1,0.407636895176,2016-08-21,premier-league
1036,Bournemouth,0,West Ham Utd,1,1,1,0.395201790462,2016-08-21,premier-league
1037,Liverpool,1,Tottenham,1,0,1,0.424236152876,2016-08-27,premier-league
1038,Stoke City,0,Everton,1,1,1,0.543101229114,2016-08-27,premier-league
1039,Swansea City,1,Leicester City,2,1,1,0.546565531535,2016-08-27,premier-league
1040,Arsenal,3,Watford,1,2,2,0.403386437373,2016-08-27,premier-league
1041,Bournemouth,1,Crystal Palace,1,0,1,0.402515669776,2016-08-27,premier-league
1042,Sunderland,1,Southampton,1,0,1,0.559299359932,2016-08-27,premier-league
1043,Burnley,0,Chelsea,3,1,1,0.595468571443,2016-08-27,premier-league
1044,Manchester Utd,1,Hull City,0,2,2,0.466301062,2016-08-27,premier-league
1045,Middlesbrough,0,West Bromwich,0,0,1,0.526976528277,2016-08-28,premier-league
1046,West Ham Utd,1,Manchester City,3,1,1,0.648014152822,2016-08-28,premier-league
1047,Manchester City,2,Manchester Utd,1,2,2,0.41577190622,2016-09-10,premier-league
1048,Southampton,1,Arsenal,2,1,1,0.591120276098,2016-09-10,premier-league
1049,Hull City,1,Burnley,1,0,1,0.533199379348,2016-09-10,premier-league
1050,Crystal Palace,2,Middlesbrough,1,2,1,0.482947130567,2016-09-10,premier-league
1051,Tottenham,4,Stoke City,0,2,2,0.49762514913,2016-09-10,premier-league
1052,West Bromwich,0,Bournemouth,1,1,1,0.449708265834,2016-09-10,premier-league
1053,Watford,4,West Ham Utd,2,2,2,0.399182115808,2016-09-10,premier-league
1054,Leicester City,1,Liverpool,4,1,1,0.644180398847,2016-09-10,premier-league
1055,Chelsea,2,Swansea City,2,0,2,0.643198981925,2016-09-11,premier-league
1056,Everton,3,Sunderland,0,2,2,0.491614326652,2016-09-12,premier-league
1057,Liverpool,2,Chelsea,1,2,1,0.45980945406,2016-09-16,premier-league
1058,Burnley,0,Leicester City,3,1,1,0.435585094567,2016-09-17,premier-league
1059,Bournemouth,0,Manchester City,4,1,1,0.602047041556,2016-09-17,premier-league
1060,West Ham Utd,2,West Bromwich,4,1,1,0.552339136189,2016-09-17,premier-league
1061,Arsenal,4,Hull City,1,2,2,0.567284497103,2016-09-17,premier-league
1062,Middlesbrough,1,Everton,3,1,1,0.555309677558,2016-09-17,premier-league
1063,Manchester Utd,1,Watford,3,1,1,0.441822936537,2016-09-18,premier-league
1064,Stoke City,1,Crystal Palace,4,1,1,0.432303160652,2016-09-18,premier-league
1065,Swansea City,0,Southampton,1,1,1,0.583103655499,2016-09-18,premier-league
1066,Sunderland,0,Tottenham,1,1,1,0.62972418609,2016-09-18,premier-league
1067,Leicester City,1,Manchester Utd,4,1,1,0.563950574896,2016-09-24,premier-league
1068,Manchester City,3,Swansea City,1,2,2,0.622604236769,2016-09-24,premier-league
1069,West Bromwich,1,Stoke City,1,0,1,0.420173131657,2016-09-24,premier-league
1070,Hull City,1,Liverpool,5,1,1,0.653541234246,2016-09-24,premier-league
1071,Crystal Palace,3,Sunderland,2,2,1,0.423905640582,2016-09-24,premier-league
1072,Everton,0,Bournemouth,1,1,1,0.409976518436,2016-09-24,premier-league
1073,Tottenham,2,Middlesbrough,1,2,2,0.526883953681,2016-09-24,premier-league
1074,Chelsea,0,Arsenal,3,1,1,0.439962693902,2016-09-24,premier-league
1075,Southampton,3,West Ham Utd,0,2,1,0.398728509581,2016-09-25,premier-league
1076,Watford,0,Burnley,2,1,1,0.413477688926,2016-09-26,premier-league
1077,Crystal Palace,1,Everton,1,0,1,0.567631358706,2016-09-30,premier-league
1078,Liverpool,2,Swansea City,1,2,2,0.613015798485,2016-10-01,premier-league
1079,Middlesbrough,1,West Ham Utd,1,0,1,0.442248210531,2016-10-01,premier-league
1080,Chelsea,2,Hull City,0,2,2,0.614124034912,2016-10-01,premier-league
1081,Bournemouth,2,Watford,2,0,1,0.499648697933,2016-10-01,premier-league
1082,West Bromwich,1,Sunderland,1,0,2,0.433857970798,2016-10-01,premier-league
1083,Stoke City,1,Manchester Utd,1,0,1,0.548382048606,2016-10-02,premier-league
1084,Manchester City,0,Tottenham,2,1,1,0.433570321386,2016-10-02,premier-league
1085,Southampton,0,Leicester City,0,0,1,0.42344038334,2016-10-02,premier-league
1086,Arsenal,1,Burnley,0,2,2,0.49851539713,2016-10-02,premier-league
1087,Leicester City,0,Chelsea,3,1,1,0.620771656506,2016-10-15,premier-league
1088,Everton,1,Manchester City,1,0,1,0.568293939065,2016-10-15,premier-league
1089,Hull City,1,Bournemouth,6,1,1,0.543429330583,2016-10-15,premier-league
1090,Sunderland,0,Stoke City,2,1,1,0.537432100935,2016-10-15,premier-league
1091,Tottenham,1,West Bromwich,1,0,2,0.441276943138,2016-10-15,premier-league
1092,Swansea City,2,Arsenal,3,1,1,0.658285202591,2016-10-15,premier-league
1093,West Ham Utd,1,Crystal Palace,0,2,1,0.475658207578,2016-10-15,premier-league
1094,Watford,1,Middlesbrough,0,2,2,0.398532671722,2016-10-16,premier-league
1095,Burnley,1,Southampton,3,1,1,0.47845243031,2016-10-16,premier-league
1096,Manchester Utd,0,Liverpool,0,0,1,0.575422881228,2016-10-17,premier-league
1097,Tottenham,0,Bournemouth,0,0,2,0.463490397758,2016-10-22,premier-league
1098,Watford,0,Swansea City,0,0,2,0.493723452102,2016-10-22,premier-league
1099,Crystal Palace,1,Leicester City,3,1,1,0.482530094741,2016-10-22,premier-league
1100,Middlesbrough,0,Arsenal,0,0,1,0.615359155468,2016-10-22,premier-league
1101,Everton,1,Burnley,2,1,1,0.392276376659,2016-10-22,premier-league
1102,Sunderland,0,West Ham Utd,1,1,1,0.497186780616,2016-10-22,premier-league
1103,Stoke City,2,Hull City,0,2,1,0.409724193068,2016-10-22,premier-league
1104,West Bromwich,1,Liverpool,2,1,1,0.605148966503,2016-10-22,premier-league
1105,Southampton,1,Manchester City,1,0,1,0.601814692311,2016-10-23,premier-league
1106,Manchester Utd,0,Chelsea,4,1,1,0.559540067812,2016-10-23,premier-league
1107,Arsenal,4,Sunderland,1,2,2,0.585565297126,2016-10-29,premier-league
1108,Burnley,0,Manchester Utd,0,0,1,0.533830953606,2016-10-29,premier-league
1109,Manchester City,4,West Bromwich,0,2,2,0.473143135715,2016-10-29,premier-league
1110,Bournemouth,0,Middlesbrough,2,1,1,0.418795864448,2016-10-29,premier-league
1111,Leicester City,1,Tottenham,1,0,1,0.608240692019,2016-10-29,premier-league
1112,Hull City,0,Watford,1,1,1,0.565792337574,2016-10-29,premier-league
1113,Liverpool,4,Crystal Palace,2,2,2,0.557218297597,2016-10-29,premier-league
1114,West Ham Utd,0,Everton,2,1,1,0.580982992103,2016-10-30,premier-league
1115,Chelsea,2,Southampton,0,2,2,0.530971361458,2016-10-30,premier-league
1116,Swansea City,1,Stoke City,3,1,1,0.562258381282,2016-10-31,premier-league
1117,Stoke City,1,West Ham Utd,1,0,1,0.424249382704,2016-11-05,premier-league
1118,Sunderland,2,Bournemouth,1,2,1,0.560688878585,2016-11-05,premier-league
1119,Middlesbrough,1,Manchester City,1,0,1,0.623324977186,2016-11-05,premier-league
1120,Crystal Palace,2,Burnley,3,1,1,0.514210388031,2016-11-05,premier-league
1121,Everton,0,Chelsea,5,1,1,0.565049780705,2016-11-05,premier-league
1122,Tottenham,1,Arsenal,1,0,1,0.479949342753,2016-11-06,premier-league
1123,Watford,1,Liverpool,6,1,1,0.597030114363,2016-11-06,premier-league
1124,Southampton,1,Hull City,2,1,1,0.383796309606,2016-11-06,premier-league
1125,Manchester Utd,3,Swansea City,1,2,2,0.511624162951,2016-11-06,premier-league
1126,West Bromwich,2,Leicester City,1,2,1,0.40194873975,2016-11-06,premier-league
1127,Arsenal,1,Manchester Utd,1,0,2,0.382909735624,2016-11-19,premier-league
1128,Leicester City,1,Watford,2,1,1,0.541361753005,2016-11-19,premier-league
1129,Liverpool,0,Southampton,0,0,2,0.493022164578,2016-11-19,premier-league
1130,Bournemouth,1,Stoke City,0,2,1,0.438065343849,2016-11-19,premier-league
1131,Hull City,0,Sunderland,3,1,1,0.445969689245,2016-11-19,premier-league
1132,Manchester City,2,Crystal Palace,1,2,2,0.567436700302,2016-11-19,premier-league
1133,Swansea City,1,Everton,1,0,1,0.615077655338,2016-11-19,premier-league
1134,West Ham Utd,2,Tottenham,3,1,1,0.627513311321,2016-11-19,premier-league
1135,Chelsea,1,Middlesbrough,0,2,2,0.578212609421,2016-11-20,premier-league
1136,Burnley,0,West Bromwich,4,1,1,0.49745728687,2016-11-21,premier-league
1137,Manchester City,0,Burnley,0,0,2,0.527270674045,2016-11-26,premier-league
1138,Middlesbrough,0,Leicester City,0,0,1,0.467079213619,2016-11-26,premier-league
1139,Sunderland,0,Liverpool,0,0,1,0.662543881257,2016-11-26,premier-league
1140,Crystal Palace,0,Swansea City,0,0,1,0.396123781186,2016-11-26,premier-league
1141,West Bromwich,0,Hull City,0,0,2,0.407954275648,2016-11-26,premier-league
1142,Tottenham,0,Chelsea,0,0,1,0.502730053643,2016-11-26,premier-league
1143,Stoke City,0,Watford,0,0,1,0.525236418046,2016-11-27,premier-league
1144,Bournemouth,0,Arsenal,0,0,1,0.590821758551,2016-11-27,premier-league
1145,West Ham Utd,0,Manchester Utd,0,0,1,0.586220316597,2016-11-27,premier-league
1146,Everton,0,Southampton,0,0,1,0.405981997837,2016-11-27,premier-league
1147,Chelsea,0,Manchester City,0,0,1,0.462214414598,2016-12-03,premier-league
1148,Southampton,0,Crystal Palace,0,0,1,0.406371261728,2016-12-03,premier-league
1149,Leicester City,0,Sunderland,0,0,1,0.406354206077,2016-12-03,premier-league
1150,Watford,0,West Bromwich,0,0,1,0.449174731014,2016-12-03,premier-league
1151,Swansea City,0,Tottenham,0,0,1,0.645938266147,2016-12-03,premier-league
1152,Burnley,0,Stoke City,0,0,1,0.453485419471,2016-12-03,premier-league
1153,Arsenal,0,West Ham Utd,0,0,2,0.526471033491,2016-12-03,premier-league
1154,Liverpool,0,Bournemouth,0,0,2,0.483141171514,2016-12-04,premier-league
1155,Manchester Utd,0,Everton,0,0,1,0.462397667218,2016-12-04,premier-league
1156,Hull City,0,Middlesbrough,0,0,1,0.503115563284,2016-12-05,premier-league
1157,Everton,0,Watford,0,0,1,0.446570717208,2016-12-10,premier-league
1158,Crystal Palace,0,Hull City,0,0,1,0.445529255734,2016-12-10,premier-league
1159,Stoke City,0,Arsenal,0,0,1,0.608870263644,2016-12-10,premier-league
1160,Bournemouth,0,Burnley,0,0,1,0.451389421943,2016-12-10,premier-league
1161,Sunderland,0,Swansea City,0,0,1,0.439378487626,2016-12-10,premier-league
1162,Manchester City,0,Leicester City,0,0,2,0.54072842557,2016-12-10,premier-league
1163,West Bromwich,0,Chelsea,0,0,1,0.585501761978,2016-12-11,premier-league
1164,Middlesbrough,0,Southampton,0,0,1,0.509197296414,2016-12-11,premier-league
