ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
184,ligue-1,2016-09-18,16:00,Bastia @ Saint-Etienne,Bastia,Saint-Etienne,5.66,3.4,1.75,Saint-Etienne,Saint-Etienne,0.555,N,0,1,Saint-Etienne,1.75
191,ligue-1,2016-09-18,19:45,Lyon @ Marseille,Lyon,Marseille,2.84,3.27,2.59,Marseille,Marseille,0.417,N,0,0,Draw,3.27
193,ligue-1,2016-09-20,18:00,Toulouse @ Lille,Toulouse,Lille,3.68,3.09,2.22,Lille,Toulouse,0.446,Y,2,1,Toulouse,3.68
200,ligue-1,2016-09-20,20:00,Dijon @ Paris SG,Dijon,Paris SG,23.61,9.99,1.11,Paris SG,Paris SG,0.596,N,0,3,Paris SG,1.11
203,ligue-1,2016-09-21,18:00,Lorient @ Guingamp,Lorient,Guingamp,4.18,3.38,1.97,Guingamp,Guingamp,0.622,N,0,1,Guingamp,1.97
204,ligue-1,2016-09-21,18:00,Saint-Etienne @ Nantes,Saint-Etienne,Nantes,3.0,2.95,2.7,Nantes,Saint-Etienne,0.389,Y,0,0,Draw,2.95
205,ligue-1,2016-09-21,18:00,Monaco @ Nice,Monaco,Nice,2.23,3.29,3.43,Monaco,Nice,0.494,Y,0,4,Nice,3.43
206,ligue-1,2016-09-21,18:00,Caen @ Angers,Caen,Angers,3.6,3.15,2.23,Angers,Angers,0.538,N,1,2,Angers,2.23
207,ligue-1,2016-09-21,18:00,Bordeaux @ Metz,Bordeaux,Metz,2.38,3.28,3.14,Bordeaux,Metz,0.414,Y,3,0,Bordeaux,2.38
208,ligue-1,2016-09-21,18:00,Montpellier @ Lyon,Montpellier,Lyon,5.16,3.81,1.71,Lyon,Lyon,0.542,N,1,5,Lyon,1.71
209,ligue-1,2016-09-21,18:00,Nancy @ Bastia,Nancy,Bastia,3.66,3.0,2.29,Bastia,Bastia,0.468,N,0,0,Draw,3.0
224,ligue-1,2016-09-21,20:00,Marseille @ Rennes,Marseille,Rennes,3.29,3.24,2.32,Rennes,Rennes,0.508,N,2,3,Rennes,2.32
233,ligue-1,2016-09-23,19:45,Paris SG @ Toulouse,Paris SG,Toulouse,1.47,4.43,7.35,Paris SG,Paris SG,0.463,N,0,2,Toulouse,7.35
247,ligue-1,2016-09-24,16:00,Lyon @ Lorient,Lyon,Lorient,2.01,3.42,3.91,Lyon,Lyon,0.544,N,0,1,Lorient,3.91
252,ligue-1,2016-09-24,19:00,Rennes @ Dijon,Rennes,Dijon,3.08,3.1,2.52,Dijon,Rennes,0.392,Y,0,3,Dijon,2.52
253,ligue-1,2016-09-24,19:00,Angers @ Monaco,Angers,Monaco,5.21,3.56,1.75,Monaco,Monaco,0.591,N,1,2,Monaco,1.75
254,ligue-1,2016-09-24,19:00,Caen @ Bordeaux,Caen,Bordeaux,4.82,3.66,1.78,Bordeaux,Bordeaux,0.566,N,0,0,Draw,3.66
255,ligue-1,2016-09-24,19:00,Guingamp @ Bastia,Guingamp,Bastia,3.23,2.93,2.53,Bastia,Guingamp,0.464,Y,0,1,Bastia,2.53
256,ligue-1,2016-09-24,19:00,Metz @ Montpellier,Metz,Montpellier,5.81,3.93,1.62,Montpellier,Montpellier,0.444,N,1,0,Metz,5.81
265,ligue-1,2016-09-25,14:00,Lille @ Saint-Etienne,Lille,Saint-Etienne,3.31,3.03,2.43,Saint-Etienne,Saint-Etienne,0.591,N,1,3,Saint-Etienne,2.43
269,ligue-1,2016-09-25,16:00,Nice @ Nancy,Nice,Nancy,3.11,3.14,2.47,Nancy,Nice,0.617,Y,1,0,Nice,3.11
274,ligue-1,2016-09-25,19:45,Nantes @ Marseille,Nantes,Marseille,3.88,3.19,2.11,Marseille,Marseille,0.54,N,1,2,Marseille,2.11
281,ligue-1,2016-09-30,19:45,Guingamp @ Rennes,Guingamp,Rennes,3.89,3.2,2.11,Rennes,Rennes,0.45,N,0,1,Rennes,2.11
293,ligue-1,2016-10-01,16:00,Bordeaux @ Paris SG,Bordeaux,Paris SG,11.65,5.88,1.27,Paris SG,Paris SG,0.558,N,0,2,Paris SG,1.27
296,ligue-1,2016-10-01,19:00,Bastia @ Nantes,Bastia,Nantes,4.61,3.17,1.96,Nantes,Nantes,0.46,N,0,1,Nantes,1.96
297,ligue-1,2016-10-01,19:00,Montpellier @ Dijon,Montpellier,Dijon,3.07,3.17,2.48,Dijon,Dijon,0.467,N,3,3,Draw,3.17
298,ligue-1,2016-10-01,19:00,Toulouse @ Caen,Toulouse,Caen,2.75,3.15,2.76,Toulouse,Toulouse,0.397,N,0,1,Caen,2.76
299,ligue-1,2016-10-01,19:00,Monaco @ Metz,Monaco,Metz,1.77,3.73,4.77,Monaco,Monaco,0.504,N,7,0,Monaco,1.77
300,ligue-1,2016-10-01,19:00,Nancy @ Lille,Nancy,Lille,5.21,3.36,1.8,Lille,Lille,0.425,N,0,1,Lille,1.8
310,ligue-1,2016-10-02,14:00,Marseille @ Angers,Marseille,Angers,2.8,3.1,2.74,Angers,Angers,0.473,N,1,1,Draw,3.1
314,ligue-1,2016-10-02,16:00,Lorient @ Nice,Lorient,Nice,5.38,3.76,1.69,Nice,Nice,0.658,N,1,2,Nice,1.69
322,ligue-1,2016-10-02,19:45,Saint-Etienne @ Lyon,Saint-Etienne,Lyon,4.63,3.52,1.85,Lyon,Lyon,0.49,N,0,2,Lyon,1.85
