Arizona Diamondbacks - San Francisco Giants,8 9,1.81,2.08
Miami Marlins - Colorado Rockies,10 1,2.28,1.68
Chicago White Sox - Minnesota Twins,5 3,2.54,1.56
Cincinnati Reds - St.Louis Cardinals,0 1,1.78,2.12
Tampa Bay Rays - Toronto Blue Jays,9 2,2.48,1.59
Baltimore Orioles - Boston Red Sox,2 1,1.84,2.02
Milwaukee Brewers - Atlanta Braves,2 0,1.87,1.99
Texas Rangers - Philadelphia Phillies,10 14,1.92,1.94
New York Mets - Washington Nationals,7 9,1.57,2.51
Detroit Tigers - Kansas City Royals,4 3,2.34,1.65
Pittsburgh Pirates - Chicago Cubs,1 0,2.57,1.55
San Diego Padres - Los Angeles Dodgers,3 1,1.87,2.00
Los Angeles Angels - Los Angeles Dodgers,6 2,1.93,1.88
Arizona Diamondbacks - Chicago Cubs,8 9,2.19,1.71
San Diego Padres - Cleveland Indians,9 8,1.69,2.20
Oakland Athletics - San Francisco Giants,canc.,1.91,1.89
Colorado Rockies - Seattle Mariners,2 1,1.81,2.00
Milwaukee Brewers - Kansas City Royals,7 2,1.82,2.00
Washington Nationals - Detroit Tigers,canc.,1.91,1.89
Boston Red Sox - Minnesota Twins,4 7,2.28,1.64
New York Yankees - Miami Marlins,canc.,2.32,1.62
Philadelphia Phillies - Pittsburgh Pirates,canc.,1.81,1.97
Toronto Blue Jays - New York Mets,2 0,1.93,1.88
San Francisco Giants - Oakland Athletics,1 4,2.08,1.76
Los Angeles Dodgers - Los Angeles Angels,5 4,1.99,1.82
Seattle Mariners - Colorado Rockies,3 2,2.08,1.75
Arizona Diamondbacks - Chicago Cubs,1 3,2.23,1.67
San Diego Padres - Cleveland Indians,4 16,1.77,2.08
Milwaukee Brewers - Kansas City Royals,4 5,1.91,1.90
Texas Rangers - Houston Astros,5 6,2.25,1.66
New York Yankees - Miami Marlins,3 0,2.32,1.63
Philadelphia Phillies - Pittsburgh Pirates,0 3,1.78,2.06
Toronto Blue Jays - New York Mets,5 4,2.15,1.72
Detroit Tigers - Tampa Bay Rays,6 3,2.05,1.78
Minnesota Twins - Boston Red Sox,0 4,1.83,2.02
San Francisco Giants - Oakland Athletics,0 4,2.02,1.79
Los Angeles Dodgers - Los Angeles Angels,5 7,2.07,1.77
Baltimore Orioles - Tampa Bay Rays,3 4,1.80,2.02
Boston Red Sox - Minnesota Twins,4 1,2.20,1.68
Chicago Cubs - Chicago White Sox,4 3,2.02,1.81
Detroit Tigers - Atlanta Braves,9 3,2.35,1.61
Philadelphia Phillies - Toronto Blue Jays,0 3,1.76,2.08
Pittsburgh Pirates - New York Yankees,2 4,1.81,2.01
St.Louis Cardinals - Miami Marlins,4 6,2.30,1.63
New York Mets - Washington Nationals,0 4,1.64,2.31
Houston Astros - New York Mets,9 6,1.69,2.19
Arizona Diamondbacks - Chicago Cubs,14 4,2.20,1.69
Chicago White Sox - Cincinnati Reds,9 5,1.89,1.92
Cleveland Indians - Milwaukee Brewers,10 3,2.21,1.68
San Francisco Giants - Colorado Rockies,8 6,2.14,1.72
Miami Marlins - San Diego Padres,8 2,1.91,1.94
New York Mets - Cincinnati Reds,4 3,1.92,1.94
Tampa Bay Rays - Texas Rangers,8 1,2.32,1.66
Toronto Blue Jays - New York Yankees,3 7,1.72,2.21
Pittsburgh Pirates - St.Louis Cardinals,12 2,2.03,1.85
