Los Angeles Dodgers - San Francisco Giants,0 3,1.97,1.88
Oakland Athletics - Seattle Mariners,1 7,2.20,1.72
Arizona Diamondbacks - St.Louis Cardinals,1 6,2.02,1.83
Houston Astros - Texas Rangers,0 7,1.55,2.56
Milwaukee Brewers - Colorado Rockies,4 8,2.34,1.65
Toronto Blue Jays - Cleveland Indians,1 4,2.62,1.53
Tampa Bay Rays - Baltimore Orioles,4 7,2.47,1.59
Arizona Diamondbacks - St.Louis Cardinals,6 2,1.94,1.90
Oakland Athletics - Seattle Mariners,0 2,2.01,1.84
Atlanta Braves - Philadelphia Phillies,7 5,1.91,1.93
Chicago White Sox - Kansas City Royals,1 0,2.19,1.72
Cincinnati Reds - Los Angeles Angels,1 3,1.98,1.87
Los Angeles Dodgers - San Francisco Giants,4 0,2.33,1.65
Minnesota Twins - Detroit Tigers,2 4,1.54,2.57
Milwaukee Brewers - Colorado Rockies,5 4,2.32,1.65
Pittsburgh Pirates - Chicago Cubs,1 3,2.09,1.79
New York Mets - San Diego Padres,11 2,2.25,1.69
New York Yankees - Boston Red Sox,2 8,1.97,1.88
Washington Nationals - Miami Marlins,2 0,3.20,1.38
Houston Astros - Texas Rangers,8 2,1.60,2.43
Los Angeles Angels - Los Angeles Dodgers,2 1,2.07,1.76
Oakland Athletics - San Francisco Giants,4 3,2.00,1.81
Colorado Rockies - Seattle Mariners,3 4,1.94,1.86
Milwaukee Brewers - Chicago White Sox,5 4,2.03,1.79
Houston Astros - Chicago Cubs,6 3,1.93,1.87
Texas Rangers - San Diego Padres,5 2,2.05,1.78
Boston Red Sox - Minnesota Twins,4 2,2.21,1.68
Tampa Bay Rays - Detroit Tigers,3 3,2.05,1.78
Philadelphia Phillies - Toronto Blue Jays,4 10,1.88,1.92
Baltimore Orioles - New York Mets,7 1,2.14,1.72
San Francisco Giants - Oakland Athletics,3 1,2.08,1.76
Los Angeles Dodgers - Los Angeles Angels,9 8,2.03,1.79
Arizona Diamondbacks - Cincinnati Reds,1 2,2.02,1.80
Milwaukee Brewers - Chicago White Sox,2 7,2.08,1.76
Houston Astros - Chicago Cubs,6 6,2.00,1.81
Texas Rangers - San Diego Padres,5 4,2.19,1.69
Philadelphia Phillies - Toronto Blue Jays,0 1,2.08,1.76
Kansas City Royals - Cleveland Indians,5 1,2.18,1.70
Washington Nationals - New York Yankees,2 4,2.24,1.66
Detroit Tigers - Tampa Bay Rays,8 3,2.24,1.68
Minnesota Twins - Boston Red Sox,8 3,2.03,1.80
New York Mets - St.Louis Cardinals,7 2,1.84,1.97
San Francisco Giants - Oakland Athletics,3 7,2.05,1.78
Baltimore Orioles - Tampa Bay Rays,4 4,1.97,1.84
Boston Red Sox - Minnesota Twins,6 1,2.23,1.67
Colorado Rockies - Milwaukee Brewers,2 6,2.04,1.79
Cincinnati Reds - Kansas City Royals,3 8,1.92,1.90
Chicago Cubs - Seattle Mariners,4 6,1.83,1.98
San Diego Padres - Cleveland Indians,6 4,2.01,1.81
New York Yankees - Pittsburgh Pirates,1 2,2.18,1.70
Baltimore Orioles - Minnesota Twins,5 6,2.26,1.68
Philadelphia Phillies - Kansas City Royals,4 3,2.0,1.84
Detroit Tigers - New York Yankees,8 4,2.66,1.53
San Francisco Giants - St.Louis Cardinals,3 6,2.1,1.77
Texas Rangers - Los Angeles Angels,4 8,2.09,1.78
Chicago White Sox - Seattle Mariners,4 3,1.69,2.24
Cincinnati Reds - Washington Nationals,6 7,2.08,1.79
New York Mets - Miami Marlins,7 3,2.47,1.58
Toronto Blue Jays - Boston Red Sox,5 0,2.28,1.67
Los Angeles Dodgers - Pittsburgh Pirates,3 0,2.8,1.47
Chicago White Sox - Seattle Mariners,7 8,2.25,1.69
Houston Astros - Oakland Athletics,3 8,1.68,2.27
Milwaukee Brewers - Arizona Diamondbacks,1 3,2.18,1.73
Atlanta Braves - Chicago Cubs,4 1,2.71,1.5
Cincinnati Reds - Washington Nationals,15 0,2.13,1.76
New York Mets - Miami Marlins,5 7,2.36,1.63
Tampa Bay Rays - Cleveland Indians,4 0,2.39,1.62
Toronto Blue Jays - Boston Red Sox,4 6,2.31,1.65
San Francisco Giants - St.Louis Cardinals,1 0,2.04,1.82
Colorado Rockies - San Diego Padres,5 2,2.35,1.63
Philadelphia Phillies - Kansas City Royals,4 13,2.04,1.82
Baltimore Orioles - Minnesota Twins,9 5,2.37,1.63
Texas Rangers - Los Angeles Angels,3 2,1.99,1.86
