ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Visi_Team_PTS,Home_Team_PTS,True_Result,Winner_Odd
210,bundesliga,2016-09-21,19:00,Augsburg @ Leverkusen,Augsburg,Leverkusen,6.97,4.64,1.47,Leverkusen,Leverkusen,0.513,N,0,0,Draw,4.64
211,bundesliga,2016-09-21,19:00,FC Koln @ Schalke 04,FC Koln,Schalke 04,3.42,3.37,2.22,Schalke 04,FC Koln,0.42,Y,3,1,FC Koln,3.42
212,bundesliga,2016-09-21,19:00,Monchengladb. @ RB Leipzig,Monchengladb.,RB Leipzig,3.34,3.51,2.2,RB Leipzig,RB Leipzig,0.603,N,1,1,Draw,3.51
213,bundesliga,2016-09-21,19:00,Hertha Berlin @ Bayern Munich,Hertha Berlin,Bayern Munich,21.87,8.46,1.14,Bayern Munich,Bayern Munich,0.507,N,0,3,Bayern Munich,1.14
231,bundesliga,2016-09-23,19:30,Freiburg @ Dortmund,Freiburg,Dortmund,14.53,7.38,1.2,Dortmund,Dortmund,0.579,N,1,3,Dortmund,1.2
236,bundesliga,2016-09-24,14:30,Darmstadt @ Augsburg,Darmstadt,Augsburg,5.87,3.84,1.64,Augsburg,Augsburg,0.517,N,0,1,Augsburg,1.64
237,bundesliga,2016-09-24,14:30,Hertha Berlin @ Frankfurt,Hertha Berlin,Frankfurt,3.3,3.19,2.36,Frankfurt,Frankfurt,0.467,N,3,3,Draw,3.19
238,bundesliga,2016-09-24,14:30,Ingolstadt @ Monchengladb.,Ingolstadt,Monchengladb.,4.24,3.42,1.95,Monchengladb.,Monchengladb.,0.564,N,0,2,Monchengladb.,1.95
239,bundesliga,2016-09-24,14:30,Bayern Munich @ Hamburger SV,Bayern Munich,Hamburger SV,1.21,6.96,15.05,Bayern Munich,Bayern Munich,0.666,N,1,0,Bayern Munich,1.21
249,bundesliga,2016-09-24,17:30,Wolfsburg @ Werder Bremen,Wolfsburg,Werder Bremen,1.91,3.84,3.93,Wolfsburg,Werder Bremen,0.408,Y,1,2,Werder Bremen,3.93
266,bundesliga,2016-09-25,14:30,Schalke 04 @ Hoffenheim,Schalke 04,Hoffenheim,2.38,3.7,2.86,Schalke 04,Hoffenheim,0.564,Y,1,2,Hoffenheim,2.86
270,bundesliga,2016-09-25,16:45,RB Leipzig @ FC Koln,RB Leipzig,FC Koln,3.19,3.3,2.36,FC Koln,RB Leipzig,0.395,Y,1,1,Draw,3.3
279,bundesliga,2016-09-30,19:30,Augsburg @ RB Leipzig,Augsburg,RB Leipzig,5.18,3.68,1.74,RB Leipzig,RB Leipzig,0.619,N,1,2,RB Leipzig,1.74
285,bundesliga,2016-10-01,14:30,Hamburger SV @ Hertha Berlin,Hamburger SV,Hertha Berlin,3.97,3.31,2.05,Hertha Berlin,Hertha Berlin,0.619,N,0,2,Hertha Berlin,2.05
286,bundesliga,2016-10-01,14:30,FC Koln @ Bayern Munich,FC Koln,Bayern Munich,16.07,6.89,1.2,Bayern Munich,Bayern Munich,0.509,N,1,1,Draw,6.89
287,bundesliga,2016-10-01,14:30,Hoffenheim @ Ingolstadt,Hoffenheim,Ingolstadt,3.63,3.42,2.11,Ingolstadt,Hoffenheim,0.599,Y,2,1,Hoffenheim,3.63
