ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
46,2016-11-04,02:30,Golden State Warriors @ Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers,1.12,7.0,Golden State Warriors,Los Angeles Lakers,0.528,Y,Los Angeles Lakers,7.0
47,2016-11-04,23:00,Atlanta Hawks @ Washington Wizards,Atlanta Hawks,Washington Wizards,1.99,1.88,Washington Wizards,Atlanta Hawks,0.742,Y,Washington Wizards,1.88
48,2016-11-04,23:30,Charlotte Hornets @ Brooklyn Nets,Charlotte Hornets,Brooklyn Nets,1.36,3.35,Charlotte Hornets,Charlotte Hornets,0.74,N,Charlotte Hornets,1.36
49,2016-11-04,23:30,Miami Heat @ Toronto Raptors,Miami Heat,Toronto Raptors,3.59,1.32,Toronto Raptors,Toronto Raptors,0.837,N,Toronto Raptors,1.32
50,2016-11-05,00:00,Sacramento Kings @ Milwaukee Bucks,Sacramento Kings,Milwaukee Bucks,2.42,1.62,Milwaukee Bucks,Milwaukee Bucks,0.748,N,Milwaukee Bucks,1.62
51,2016-11-05,00:30,Los Angeles Clippers @ San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,2.75,1.49,San Antonio Spurs,Los Angeles Clippers,0.749,Y,Los Angeles Clippers,2.75
52,2016-11-05,22:00,Minnesota Timberwolves @ Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,2.73,1.5,Oklahoma City Thunder,Oklahoma City Thunder,0.856,N,Oklahoma City Thunder,1.5
53,2016-11-05,23:00,Denver Nuggets @ Detroit Pistons,Denver Nuggets,Detroit Pistons,2.69,1.51,Detroit Pistons,Detroit Pistons,0.724,N,Detroit Pistons,1.51
54,2016-11-05,23:00,Chicago Bulls @ Indiana Pacers,Chicago Bulls,Indiana Pacers,2.4,1.62,Indiana Pacers,Chicago Bulls,0.608,Y,Indiana Pacers,1.62
55,2016-11-05,23:00,Washington Wizards @ Orlando Magic,Washington Wizards,Orlando Magic,3.18,1.39,Orlando Magic,Washington Wizards,0.722,Y,Orlando Magic,1.39
56,2016-11-05,23:00,Cleveland Cavaliers @ Philadelphia 76ers,Cleveland Cavaliers,Philadelphia 76ers,1.09,9.16,Cleveland Cavaliers,Cleveland Cavaliers,0.878,N,Cleveland Cavaliers,1.09
57,2016-11-05,23:30,Houston Rockets @ Atlanta Hawks,Houston Rockets,Atlanta Hawks,2.36,1.64,Atlanta Hawks,Atlanta Hawks,0.828,N,Atlanta Hawks,1.64
58,2016-11-06,00:00,Milwaukee Bucks @ Dallas Mavericks,Milwaukee Bucks,Dallas Mavericks,2.24,1.7,Dallas Mavericks,Milwaukee Bucks,0.504,Y,Dallas Mavericks,1.7
59,2016-11-06,00:30,Denver Nuggets @ Boston Celtics,Denver Nuggets,Boston Celtics,3.53,1.33,Boston Celtics,Boston Celtics,0.532,N,Denver Nuggets,3.53
