Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1980,MIL,3,BOS,7
1980,CHW,1,BOS,4
1980,CHW,5,BOS,4
1980,CHW,3,BOS,4
1980,OAK,2,BOS,3
1980,OAK,3,BOS,6
1980,OAK,6,BOS,7
1980,OAK,1,BOS,5
1980,CAL,3,BOS,4
1980,CAL,2,BOS,10
1980,CAL,7,BOS,2
1980,SEA,7,BOS,4
1980,SEA,4,BOS,2
1980,SEA,1,BOS,5
1980,SEA,12,BOS,6
1980,NYY,8,BOS,5
1980,NYY,4,BOS,2
1980,NYY,4,BOS,3
1980,NYY,5,BOS,3
1980,CLE,5,BOS,9
1980,CLE,6,BOS,5
1980,CLE,3,BOS,8
1980,BAL,5,BOS,2
1980,BAL,4,BOS,3
1980,BAL,11,BOS,6
1980,BAL,12,BOS,8
1980,TOR,1,BOS,4
1980,TOR,7,BOS,6
1980,TOR,3,BOS,1
1980,TOR,4,BOS,1
1980,CLE,2,CAL,10
1980,CLE,2,CAL,1
1980,CLE,3,CAL,8
1980,MIN,5,CAL,3
1980,MIN,1,CAL,3
1980,MIN,1,CAL,2
1980,OAK,8,CAL,0
1980,OAK,4,CAL,2
1980,OAK,1,CAL,2
1980,SEA,1,CAL,2
1980,SEA,1,CAL,3
1980,SEA,2,CAL,0
1980,SEA,3,CAL,4
1980,TOR,3,CAL,2
1980,TOR,7,CAL,3
1980,TOR,9,CAL,2
1980,DET,6,CAL,5
1980,DET,6,CAL,1
1980,DET,4,CAL,0
1980,KCR,13,CAL,9
1980,KCR,6,CAL,5
1980,KCR,7,CAL,3
1980,TEX,6,CAL,5
1980,TEX,0,CAL,2
1980,TEX,6,CAL,7
1980,BAL,6,CAL,1
1980,BAL,6,CAL,5
1980,BAL,13,CAL,8
1980,NYY,8,CAL,7
1980,NYY,4,CAL,5
1980,NYY,9,CAL,7
1980,BOS,13,CAL,2
1980,BOS,3,CAL,0
1980,BOS,7,CAL,3
1980,BOS,6,CAL,5
1980,CHW,2,CAL,1
1980,CHW,5,CAL,2
1980,CHW,5,CAL,2
1980,MIL,5,CAL,6
1980,MIL,11,CAL,5
1980,MIL,5,CAL,2
1980,OAK,5,CAL,4
1980,OAK,4,CAL,5
1980,OAK,6,CAL,4
1980,CLE,1,CAL,7
1980,CLE,6,CAL,2
1980,CLE,5,CAL,3
1980,TOR,3,CAL,6
1980,TOR,5,CAL,4
1980,TOR,6,CAL,3
1980,DET,14,CAL,3
1980,DET,4,CAL,6
1980,DET,7,CAL,6
1980,SEA,3,CAL,8
1980,SEA,4,CAL,5
1980,SEA,3,CAL,8
1980,MIN,2,CAL,4
1980,MIN,5,CAL,9
1980,MIN,2,CAL,8
1980,MIN,5,CAL,2
1980,BAL,5,CAL,2
1980,BAL,6,CAL,5
1980,BAL,7,CAL,1
1980,NYY,4,CAL,8
1980,NYY,5,CAL,2
1980,NYY,4,CAL,2
1980,BOS,4,CAL,2
1980,BOS,5,CAL,1
1980,KCR,4,CAL,7
1980,KCR,3,CAL,4
1980,KCR,3,CAL,8
1980,KCR,7,CAL,2
1980,TEX,4,CAL,8
1980,TEX,1,CAL,10
1980,TEX,1,CAL,3
1980,CHW,5,CAL,4
1980,CHW,6,CAL,3
1980,CHW,8,CAL,1
1980,MIL,2,CAL,6
1980,MIL,4,CAL,2
1980,MIL,10,CAL,7
1980,NYM,1,CHC,4
1980,NYM,9,CHC,12
1980,NYM,3,CHC,6
1980,STL,12,CHC,16
1980,STL,3,CHC,1
1980,PIT,3,CHC,5
1980,PIT,9,CHC,2
1980,SDP,4,CHC,0
1980,SDP,4,CHC,7
1980,SDP,9,CHC,6
1980,SFG,6,CHC,3
1980,SFG,9,CHC,15
1980,SFG,3,CHC,0
1980,LAD,0,CHC,2
1980,LAD,4,CHC,2
