ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
72,Golden State Warriors,97,Los Angeles Lakers,117,1,1,0.528236846746,2016-11-04
73,Los Angeles Clippers,99,Memphis Grizzlies,88,0,0,0.962484771052,2016-11-04
74,Phoenix Suns,112,New Orleans Pelicans,111,0,0,0.501345863465,2016-11-04
75,Miami Heat,87,Toronto Raptors,96,1,1,0.836701884831,2016-11-04
76,San Antonio Spurs,100,Utah Jazz,86,0,1,0.559272378928,2016-11-04
77,Atlanta Hawks,92,Washington Wizards,95,1,0,0.742412183894,2016-11-04
78,Houston Rockets,97,Atlanta Hawks,112,1,1,0.827753931817,2016-11-05
79,Denver Nuggets,86,Detroit Pistons,103,1,1,0.723979805798,2016-11-05
80,Chicago Bulls,94,Indiana Pacers,111,1,0,0.608456589927,2016-11-05
81,Sacramento Kings,91,Milwaukee Bucks,117,1,1,0.748003910085,2016-11-05
82,Minnesota Timberwolves,92,Oklahoma City Thunder,112,1,1,0.855954505182,2016-11-05
83,Washington Wizards,86,Orlando Magic,88,1,0,0.721529154879,2016-11-05
84,Cleveland Cavaliers,102,Philadelphia 76ers,101,0,0,0.878005747114,2016-11-05
85,Los Angeles Clippers,116,San Antonio Spurs,92,0,0,0.748713778005,2016-11-05
86,Denver Nuggets,123,Boston Celtics,107,0,1,0.532231688759,2016-11-06
87,Milwaukee Bucks,75,Dallas Mavericks,86,1,0,0.504063217641,2016-11-06
88,Phoenix Suns,108,Los Angeles Lakers,119,1,1,0.815527573247,2016-11-06
89,Portland Trail Blazers,100,Memphis Grizzlies,94,0,0,0.552875798496,2016-11-06
90,Utah Jazz,114,New York Knicks,109,0,0,0.716496373427,2016-11-06
91,Sacramento Kings,96,Toronto Raptors,91,0,1,0.908073078162,2016-11-06
92,Orlando Magic,80,Chicago Bulls,112,1,1,0.935553786856,2016-11-07
93,Indiana Pacers,100,Charlotte Hornets,122,1,1,0.904142456561,2016-11-07
94,New Orleans Pelicans,106,Golden State Warriors,116,1,1,0.927841172263,2016-11-07
95,Detroit Pistons,82,Los Angeles Clippers,114,1,1,0.966669317084,2016-11-07
96,Miami Heat,85,Oklahoma City Thunder,97,1,1,0.796859522894,2016-11-07
97,Utah Jazz,109,Philadelphia 76ers,84,0,0,0.877971068634,2016-11-07
98,Houston Rockets,114,Washington Wizards,106,0,0,0.519096212017,2016-11-07
99,Minnesota Timberwolves,110,Brooklyn Nets,119,1,1,0.561271729904,2016-11-08
100,Atlanta Hawks,110,Cleveland Cavaliers,106,0,1,0.520429623907,2016-11-08
101,Dallas Mavericks,109,Los Angeles Lakers,97,0,1,0.832094646047,2016-11-08
102,Denver Nuggets,107,Memphis Grizzlies,108,1,0,0.522096513999,2016-11-08
103,Phoenix Suns,121,Portland Trail Blazers,124,1,1,0.74506417115,2016-11-08
104,New Orleans Pelicans,94,Sacramento Kings,102,1,1,0.763165153752,2016-11-08
105,Chicago Bulls,107,Atlanta Hawks,115,1,1,0.843694166928,2016-11-09
106,Utah Jazz,98,Charlotte Hornets,104,1,1,0.651025224262,2016-11-09
107,Dallas Mavericks,95,Golden State Warriors,116,1,1,0.888464128351,2016-11-09
108,Philadelphia 76ers,115,Indiana Pacers,122,1,1,0.821731138899,2016-11-09
109,Portland Trail Blazers,80,Los Angeles Clippers,111,1,1,0.973919589982,2016-11-09
110,Brooklyn Nets,96,New York Knicks,110,1,1,0.661960678117,2016-11-09
111,Toronto Raptors,112,Oklahoma City Thunder,102,0,1,0.579460782947,2016-11-09
112,Minnesota Timberwolves,123,Orlando Magic,107,0,0,0.69724151919,2016-11-09
113,Detroit Pistons,100,Phoenix Suns,107,1,0,0.537401195234,2016-11-09
114,Houston Rockets,101,San Antonio Spurs,99,0,1,0.804242244481,2016-11-09
115,Boston Celtics,93,Washington Wizards,118,1,1,0.737629310002,2016-11-09
116,Golden State Warriors,0,Denver Nuggets,1,1,0,0.604598370421,2016-11-10
117,Chicago Bulls,0,Miami Heat,1,1,1,0.583511686746,2016-11-10
118,New Orleans Pelicans,0,Milwaukee Bucks,1,1,1,0.84163395357,2016-11-10
119,Los Angeles Lakers,0,Sacramento Kings,1,1,0,0.579715909053,2016-11-10
120,New York Knicks,0,Boston Celtics,1,1,1,0.626326860014,2016-11-11
121,Toronto Raptors,0,Charlotte Hornets,1,1,1,0.603451685846,2016-11-11
122,Los Angeles Clippers,0,Oklahoma City Thunder,1,1,0,0.818267521579,2016-11-11
123,Utah Jazz,0,Orlando Magic,1,1,0,0.890127451419,2016-11-11
124,Indiana Pacers,0,Philadelphia 76ers,1,1,0,0.587291670809,2016-11-11
125,Sacramento Kings,0,Portland Trail Blazers,1,1,1,0.747074602026,2016-11-11
126,Detroit Pistons,0,San Antonio Spurs,1,1,1,0.843953579991,2016-11-11
127,Cleveland Cavaliers,0,Washington Wizards,1,1,0,0.63474739836,2016-11-11
128,Philadelphia 76ers,0,Atlanta Hawks,1,1,1,0.974788617953,2016-11-12
129,Washington Wizards,0,Chicago Bulls,1,1,1,0.756866882007,2016-11-12
130,Detroit Pistons,0,Denver Nuggets,1,1,1,0.552567636858,2016-11-12
131,San Antonio Spurs,0,Houston Rockets,1,1,0,0.559142492859,2016-11-12
132,Boston Celtics,0,Indiana Pacers,1,1,1,0.634852714004,2016-11-12
133,Utah Jazz,0,Miami Heat,1,1,0,0.563374758718,2016-11-12
134,Memphis Grizzlies,0,Milwaukee Bucks,1,1,1,0.801000787305,2016-11-12
135,Los Angeles Clippers,0,Minnesota Timberwolves,1,1,0,0.93697184452,2016-11-12
