index,Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
489,2016,Carolina Hurricanes,2,Pittsburgh Penguins,1
490,2016,Calgary Flames,2,St. Louis Blues,3
491,2016,Los Angeles Kings,0,Toronto Maple Leafs,5
492,2016,New Jersey Devils,1,Boston Bruins,2
493,2016,San Jose Sharks,3,Chicago Blackhawks,4
494,2016,Calgary Flames,2,Detroit Red Wings,4
495,2016,Vancouver Canucks,4,Florida Panthers,5
496,2016,Washington Capitals,7,New York Rangers,3
497,2016,Ottawa Senators,2,Tampa Bay Lightning,5
498,2016,Washington Capitals,2,Carolina Hurricanes,1
499,2016,Toronto Maple Leafs,7,Colorado Avalanche,4
500,2016,Winnipeg Jets,1,Edmonton Oilers,3
501,2016,Dallas Stars,6,Minnesota Wild,3
502,2016,Montreal Canadiens,1,Nashville Predators,5
503,2016,Anaheim Ducks,2,New York Islanders,5
504,2016,St. Louis Blues,3,Philadelphia Flyers,4
505,2016,Columbus Blue Jackets,2,Pittsburgh Penguins,5
506,2016,Toronto Maple Leafs,2,Arizona Coyotes,3
507,2016,St. Louis Blues,2,Boston Bruins,0
508,2016,Winnipeg Jets,1,Calgary Flames,4
509,2016,Chicago Blackhawks,0,Dallas Stars,4
510,2016,New Jersey Devils,4,Detroit Red Wings,3
511,2016,Ottawa Senators,1,Florida Panthers,2
512,2016,San Jose Sharks,5,Los Angeles Kings,3
513,2016,Montreal Canadiens,1,Minnesota Wild,2
514,2016,Anaheim Ducks,2,New York Rangers,3
515,2016,Vancouver Canucks,2,Tampa Bay Lightning,1
516,2016,Los Angeles Kings,4,Arizona Coyotes,3
517,2016,Buffalo Sabres,6,Boston Bruins,3
518,2016,New Jersey Devils,1,Carolina Hurricanes,3
519,2016,Pittsburgh Penguins,3,Minnesota Wild,1
520,2016,Detroit Red Wings,3,Nashville Predators,2
521,2016,Dallas Stars,2,St. Louis Blues,3
522,2016,Columbus Blue Jackets,2,Tampa Bay Lightning,5
523,2016,Edmonton Oilers,1,Vancouver Canucks,2
524,2016,Montreal Canadiens,1,Washington Capitals,3
525,2016,Philadelphia Flyers,2,Anaheim Ducks,4
526,2016,Edmonton Oilers,3,Calgary Flames,5
527,2016,Carolina Hurricanes,2,Chicago Blackhawks,1
528,2016,Arizona Coyotes,2,Colorado Avalanche,1
529,2016,St. Louis Blues,0,Dallas Stars,3
530,2016,Columbus Blue Jackets,2,Florida Panthers,3
531,2016,Toronto Maple Leafs,3,New York Islanders,1
532,2016,Boston Bruins,1,Ottawa Senators,3
533,2016,Pittsburgh Penguins,0,Winnipeg Jets,1
534,2016,Washington Capitals,2,Buffalo Sabres,0
535,2016,Detroit Red Wings,1,Minnesota Wild,3
536,2016,New York Rangers,3,Nashville Predators,5
537,2016,Colorado Avalanche,6,San Jose Sharks,3
538,2016,Montreal Canadiens,4,Tampa Bay Lightning,3
539,2016,Los Angeles Kings,5,Vancouver Canucks,0
540,2016,Chicago Blackhawks,7,Arizona Coyotes,5
541,2016,Ottawa Senators,3,Boston Bruins,7
542,2016,Dallas Stars,3,Columbus Blue Jackets,6
543,2016,Anaheim Ducks,1,Calgary Flames,0
544,2016,Los Angeles Kings,5,Edmonton Oilers,2
545,2016,Montreal Canadiens,1,Florida Panthers,3
546,2016,Carolina Hurricanes,2,New Jersey Devils,3
547,2016,Nashville Predators,3,St. Louis Blues,4
548,2016,New York Islanders,6,Toronto Maple Leafs,3
549,2016,Detroit Red Wings,1,Winnipeg Jets,4
550,2016,New Jersey Devils,3,Ottawa Senators,0
551,2016,Toronto Maple Leafs,3,Pittsburgh Penguins,2
552,2016,Philadelphia Flyers,2,San Jose Sharks,4
553,2016,New York Rangers,5,Tampa Bay Lightning,2
554,2016,Buffalo Sabres,2,Washington Capitals,5
555,2016,Winnipeg Jets,2,Arizona Coyotes,4
556,2016,New York Islanders,2,Buffalo Sabres,1
557,2016,Washington Capitals,2,Carolina Hurricanes,4
558,2016,Los Angeles Kings,4,Calgary Flames,1
559,2016,Chicago Blackhawks,4,Colorado Avalanche,3
560,2016,Nashville Predators,1,Dallas Stars,5
561,2016,Pittsburgh Penguins,5,Detroit Red Wings,2
562,2016,Anaheim Ducks,1,Edmonton Oilers,0
563,2016,Minnesota Wild,3,St. Louis Blues,1
564,2016,Montreal Canadiens,5,Boston Bruins,1
565,2016,Anaheim Ducks,1,Vancouver Canucks,2
566,2016,Detroit Red Wings,4,Buffalo Sabres,3
567,2016,Nashville Predators,2,Carolina Hurricanes,1
568,2016,Washington Capitals,4,Columbus Blue Jackets,5
569,2016,Calgary Flames,4,Colorado Avalanche,0
570,2016,Arizona Coyotes,3,Edmonton Oilers,4
571,2016,New York Rangers,0,Florida Panthers,3
572,2016,Philadelphia Flyers,1,Los Angeles Kings,2
573,2016,Dallas Stars,2,New Jersey Devils,3
574,2016,New York Islanders,2,Pittsburgh Penguins,5
575,2016,Winnipeg Jets,4,San Jose Sharks,1
576,2016,Minnesota Wild,2,Tampa Bay Lightning,3
577,2016,St. Louis Blues,1,Toronto Maple Leafs,4
578,2016,Winnipeg Jets,1,Anaheim Ducks,4
579,2016,Ottawa Senators,0,Chicago Blackhawks,3
580,2016,Minnesota Wild,1,Florida Panthers,2
581,2016,Dallas Stars,5,New York Islanders,6
582,2016,Los Angeles Kings,1,Colorado Avalanche,4
583,2016,Carolina Hurricanes,0,Edmonton Oilers,1
584,2016,Detroit Red Wings,1,New Jersey Devils,0
585,2016,Ottawa Senators,3,St. Louis Blues,2
586,2016,Arizona Coyotes,3,Vancouver Canucks,2
587,2016,Washington Capitals,3,Boston Bruins,2
588,2016,Florida Panthers,5,Buffalo Sabres,1
589,2016,Minnesota Wild,4,Columbus Blue Jackets,2
590,2016,Tampa Bay Lightning,1,Calgary Flames,3
591,2016,Winnipeg Jets,4,Nashville Predators,1
592,2016,Dallas Stars,2,New York Rangers,6
593,2016,Montreal Canadiens,3,Philadelphia Flyers,4
594,2016,Chicago Blackhawks,3,Pittsburgh Penguins,2
595,2016,Toronto Maple Leafs,4,Anaheim Ducks,0
596,2016,Pittsburgh Penguins,1,Chicago Blackhawks,3
597,2016,St. Louis Blues,3,Colorado Avalanche,4
598,2016,New Jersey Devils,1,Montreal Canadiens,2
599,2016,Carolina Hurricanes,2,Vancouver Canucks,3
600,2016,Arizona Coyotes,2,Calgary Flames,1
601,2016,Winnipeg Jets,1,Dallas Stars,2
602,2016,Toronto Maple Leafs,1,Los Angeles Kings,2
603,2016,Philadelphia Flyers,4,Minnesota Wild,3
604,2016,Washington Capitals,4,New York Islanders,1
605,2016,Florida Panthers,3,Ottawa Senators,2
606,2016,Detroit Red Wings,2,San Jose Sharks,1
607,2016,St. Louis Blues,3,Anaheim Ducks,4
608,2016,Columbus Blue Jackets,1,Carolina Hurricanes,4
609,2016,Buffalo Sabres,1,Chicago Blackhawks,3
610,2016,Nashville Predators,3,Colorado Avalanche,5
611,2016,Tampa Bay Lightning,3,Edmonton Oilers,2
612,2016,Boston Bruins,4,New Jersey Devils,1
613,2016,Nashville Predators,0,Arizona Coyotes,4
614,2016,Carolina Hurricanes,4,Columbus Blue Jackets,3
615,2016,Minnesota Wild,2,Dallas Stars,1
616,2016,St. Louis Blues,2,Los Angeles Kings,1
617,2016,Pittsburgh Penguins,3,Montreal Canadiens,1
618,2016,Washington Capitals,4,New York Rangers,3
619,2016,Boston Bruins,1,Ottawa Senators,2
620,2016,New York Islanders,0,Philadelphia Flyers,4
621,2016,Toronto Maple Leafs,0,San Jose Sharks,7
622,2016,Tampa Bay Lightning,3,Vancouver Canucks,2
623,2016,Detroit Red Wings,2,Anaheim Ducks,1
624,2016,Colorado Avalanche,3,Chicago Blackhawks,6
625,2016,Florida Panthers,2,Edmonton Oilers,1
626,2016,New Jersey Devils,2,Minnesota Wild,1
627,2016,Buffalo Sabres,4,Winnipeg Jets,2
628,2016,Ottawa Senators,1,Washington Capitals,7
629,2016,San Jose Sharks,5,Calgary Flames,4
630,2016,Detroit Red Wings,2,Los Angeles Kings,4
631,2016,Boston Bruins,1,New York Rangers,2
632,2016,Florida Panthers,2,Vancouver Canucks,3
633,2016,Edmonton Oilers,3,Arizona Coyotes,4
634,2016,Pittsburgh Penguins,2,Carolina Hurricanes,3
635,2016,Nashville Predators,2,Chicago Blackhawks,3
636,2016,Tampa Bay Lightning,4,Colorado Avalanche,0
637,2016,Buffalo Sabres,3,Minnesota Wild,2
638,2016,Columbus Blue Jackets,2,New York Islanders,5
639,2016,New Jersey Devils,2,St. Louis Blues,5
640,2016,San Jose Sharks,4,Winnipeg Jets,1
641,2016,Ottawa Senators,1,Anaheim Ducks,4
642,2016,Florida Panthers,0,Calgary Flames,6
643,2016,Boston Bruins,2,Philadelphia Flyers,3
644,2016,Columbus Blue Jackets,3,Toronto Maple Leafs,1
645,2016,Detroit Red Wings,3,Arizona Coyotes,2
646,2016,New Jersey Devils,0,Colorado Avalanche,3
647,2016,Chicago Blackhawks,2,Montreal Canadiens,1
648,2016,New York Rangers,1,New York Islanders,3
649,2016,Edmonton Oilers,1,San Jose Sharks,2
650,2016,Carolina Hurricanes,4,St. Louis Blues,1
651,2016,Nashville Predators,4,Winnipeg Jets,5
652,2016,Vancouver Canucks,1,Washington Capitals,4
653,2016,Dallas Stars,2,Anaheim Ducks,4
654,2016,Boston Bruins,4,Buffalo Sabres,1
655,2016,Vancouver Canucks,3,Carolina Hurricanes,2
656,2016,Winnipeg Jets,1,Minnesota Wild,0
657,2016,Pittsburgh Penguins,4,Tampa Bay Lightning,5
658,2016,Chicago Blackhawks,4,Toronto Maple Leafs,1
659,2016,New Jersey Devils,2,Arizona Coyotes,0
660,2016,Toronto Maple Leafs,2,Boston Bruins,3
661,2016,Washington Capitals,1,Buffalo Sabres,4
662,2016,Colorado Avalanche,1,Columbus Blue Jackets,2
663,2016,Calgary Flames,1,Edmonton Oilers,2
664,2016,Ottawa Senators,5,Los Angeles Kings,3
665,2016,Minnesota Wild,0,Nashville Predators,3
666,2016,New York Rangers,3,Philadelphia Flyers,2
667,2016,Dallas Stars,3,San Jose Sharks,4
668,2016,Montreal Canadiens,3,St. Louis Blues,4
669,2016,Los Angeles Kings,3,Anaheim Ducks,2
670,2016,Montreal Canadiens,2,Chicago Blackhawks,5
671,2016,Philadelphia Flyers,2,Detroit Red Wings,1
672,2016,Vancouver Canucks,2,New York Islanders,1
673,2016,Carolina Hurricanes,0,Pittsburgh Penguins,5
674,2016,Florida Panthers,1,Tampa Bay Lightning,3
675,2016,New York Rangers,2,Washington Capitals,5
676,2016,Buffalo Sabres,2,Arizona Coyotes,1
677,2016,Edmonton Oilers,4,Florida Panthers,2
678,2016,Ottawa Senators,4,San Jose Sharks,3
679,2016,Pittsburgh Penguins,2,St. Louis Blues,5
680,2016,Colorado Avalanche,2,Winnipeg Jets,1
681,2016,Washington Capitals,6,Columbus Blue Jackets,3
682,2016,Dallas Stars,2,Los Angeles Kings,3
683,2016,Boston Bruins,4,Montreal Canadiens,1
684,2016,Calgary Flames,2,New Jersey Devils,4
685,2016,Chicago Blackhawks,4,Nashville Predators,1
686,2016,Vancouver Canucks,2,New York Rangers,3
687,2016,Toronto Maple Leafs,3,Philadelphia Flyers,2
688,2016,Edmonton Oilers,4,Tampa Bay Lightning,6
689,2016,Minnesota Wild,1,Anaheim Ducks,3
690,2016,Buffalo Sabres,1,Colorado Avalanche,2
691,2016,St. Louis Blues,2,Detroit Red Wings,1
692,2016,San Jose Sharks,3,Arizona Coyotes,1
693,2016,Vancouver Canucks,4,Boston Bruins,2
694,2016,Calgary Flames,4,Columbus Blue Jackets,2
695,2016,Edmonton Oilers,2,Dallas Stars,3
696,2016,Minnesota Wild,3,Los Angeles Kings,0
697,2016,Ottawa Senators,3,New Jersey Devils,6
698,2016,Philadelphia Flyers,3,Pittsburgh Penguins,4
699,2016,Chicago Blackhawks,1,Tampa Bay Lightning,2
700,2016,Carolina Hurricanes,1,Toronto Maple Leafs,0
701,2016,Nashville Predators,4,Winnipeg Jets,1
702,2016,Detroit Red Wings,3,Buffalo Sabres,0
703,2016,New York Rangers,4,Carolina Hurricanes,1
704,2016,St. Louis Blues,1,Colorado Avalanche,2
705,2016,Chicago Blackhawks,0,Florida Panthers,4
706,2016,New York Islanders,5,Ottawa Senators,2
707,2016,Los Angeles Kings,2,Arizona Coyotes,3
708,2016,Columbus Blue Jackets,2,Boston Bruins,3
709,2016,Colorado Avalanche,3,Dallas Stars,1
710,2016,Anaheim Ducks,4,Detroit Red Wings,3
711,2016,Nashville Predators,4,Edmonton Oilers,1
712,2016,Tampa Bay Lightning,2,Florida Panthers,5
713,2016,Vancouver Canucks,4,Pittsburgh Penguins,5
714,2016,Minnesota Wild,3,San Jose Sharks,4
715,2016,Montreal Canadiens,3,Toronto Maple Leafs,2
716,2016,New Jersey Devils,3,Winnipeg Jets,1
717,2016,Calgary Flames,2,Carolina Hurricanes,5
718,2016,St. Louis Blues,0,Chicago Blackhawks,2
719,2016,New York Rangers,0,Ottawa Senators,3
720,2016,Los Angeles Kings,3,San Jose Sharks,2
721,2016,Montreal Canadiens,2,Columbus Blue Jackets,5
722,2016,Calgary Flames,1,Dallas Stars,2
723,2016,Arizona Coyotes,2,Minnesota Wild,1
724,2016,Detroit Red Wings,4,New York Islanders,2
725,2016,Buffalo Sabres,3,New York Rangers,6
726,2016,Boston Bruins,3,Philadelphia Flyers,2
727,2016,Anaheim Ducks,6,Boston Bruins,2
728,2016,Chicago Blackhawks,0,Carolina Hurricanes,5
729,2016,Toronto Maple Leafs,1,Florida Panthers,5
730,2016,Columbus Blue Jackets,5,Montreal Canadiens,2
731,2016,Buffalo Sabres,3,Ottawa Senators,2
732,2016,New Jersey Devils,0,Pittsburgh Penguins,2
733,2016,Colorado Avalanche,1,San Jose Sharks,6
734,2016,Nashville Predators,2,Vancouver Canucks,1
735,2016,Arizona Coyotes,2,Winnipeg Jets,5
736,2016,Nashville Predators,2,Calgary Flames,1
737,2016,Colorado Avalanche,4,Los Angeles Kings,3
738,2016,Toronto Maple Leafs,0,Tampa Bay Lightning,1
739,2016,Philadelphia Flyers,4,Washington Capitals,3
740,2016,San Jose Sharks,2,Anaheim Ducks,3
741,2016,Los Angeles Kings,6,Arizona Coyotes,2
742,2016,Toronto Maple Leafs,4,Boston Bruins,3
743,2016,Chicago Blackhawks,2,Colorado Avalanche,1
744,2016,Columbus Blue Jackets,1,Edmonton Oilers,5
745,2016,New York Rangers,2,New Jersey Devils,3
746,2016,St. Louis Blues,1,Nashville Predators,0
747,2016,Minnesota Wild,3,New York Islanders,5
748,2016,Montreal Canadiens,2,Philadelphia Flyers,4
749,2016,Ottawa Senators,5,Pittsburgh Penguins,6
750,2016,Dallas Stars,5,Winnipeg Jets,3
751,2016,Florida Panthers,5,Washington Capitals,2
752,2016,Carolina Hurricanes,1,Calgary Flames,4
753,2016,Buffalo Sabres,4,Montreal Canadiens,2
754,2016,Detroit Red Wings,1,Tampa Bay Lightning,3
755,2016,Chicago Blackhawks,5,Arizona Coyotes,4
756,2016,Boston Bruins,3,Buffalo Sabres,2
757,2016,Dallas Stars,4,Colorado Avalanche,3
758,2016,Detroit Red Wings,3,Florida Panthers,6
759,2016,Anaheim Ducks,4,Los Angeles Kings,2
760,2016,Philadelphia Flyers,6,Nashville Predators,3
761,2016,Minnesota Wild,2,New York Rangers,4
762,2016,Edmonton Oilers,7,Ottawa Senators,2
763,2016,San Jose Sharks,3,St. Louis Blues,1
764,2016,New Jersey Devils,2,Toronto Maple Leafs,3
765,2016,Columbus Blue Jackets,2,Vancouver Canucks,1
766,2016,New York Islanders,2,Washington Capitals,3
767,2016,Arizona Coyotes,2,Anaheim Ducks,5
768,2016,Columbus Blue Jackets,2,Calgary Flames,1
769,2016,Pittsburgh Penguins,3,Tampa Bay Lightning,6
770,2016,Carolina Hurricanes,5,Winnipeg Jets,3
771,2016,Buffalo Sabres,1,Boston Bruins,2
772,2016,Winnipeg Jets,4,Colorado Avalanche,2
773,2016,Chicago Blackhawks,5,Dallas Stars,1
774,2016,New York Islanders,1,Detroit Red Wings,5
775,2016,Pittsburgh Penguins,3,Florida Panthers,2
776,2016,Edmonton Oilers,1,Montreal Canadiens,5
777,2016,Washington Capitals,3,New Jersey Devils,2
778,2016,San Jose Sharks,2,Nashville Predators,6
779,2016,Toronto Maple Leafs,1,Ottawa Senators,6
780,2016,New York Rangers,3,Philadelphia Flyers,2
781,2016,Minnesota Wild,1,St. Louis Blues,4
782,2016,Calgary Flames,4,Vancouver Canucks,1
783,2016,Carolina Hurricanes,1,Montreal Canadiens,2
784,2016,Edmonton Oilers,1,New York Islanders,8
785,2016,Philadelphia Flyers,2,Washington Capitals,3
786,2016,Florida Panthers,0,Detroit Red Wings,3
787,2016,New Jersey Devils,1,New York Rangers,2
788,2016,Tampa Bay Lightning,1,Ottawa Senators,5
789,2016,Anaheim Ducks,2,Pittsburgh Penguins,6
790,2016,Los Angeles Kings,9,Boston Bruins,2
791,2016,Florida Panthers,7,Buffalo Sabres,4
792,2016,New York Islanders,3,Columbus Blue Jackets,2
793,2016,Toronto Maple Leafs,3,Calgary Flames,4
794,2016,San Jose Sharks,2,Chicago Blackhawks,0
795,2016,Vancouver Canucks,3,Colorado Avalanche,1
796,2016,Dallas Stars,4,Minnesota Wild,3
797,2016,Tampa Bay Lightning,2,Montreal Canadiens,4
798,2016,Edmonton Oilers,1,New Jersey Devils,2
799,2016,Washington Capitals,5,Nashville Predators,3
800,2016,Anaheim Ducks,4,Philadelphia Flyers,1
801,2016,Winnipeg Jets,2,St. Louis Blues,1
802,2016,Vancouver Canucks,2,Arizona Coyotes,1
803,2016,Ottawa Senators,1,Detroit Red Wings,3
804,2016,New York Rangers,3,Pittsburgh Penguins,0
805,2016,Anaheim Ducks,3,Columbus Blue Jackets,4
806,2016,Dallas Stars,4,Chicago Blackhawks,2
807,2016,Toronto Maple Leafs,2,Edmonton Oilers,5
808,2016,Washington Capitals,4,Minnesota Wild,3
809,2016,Los Angeles Kings,2,New York Islanders,5
810,2016,Colorado Avalanche,4,Ottawa Senators,3
811,2016,Buffalo Sabres,1,Philadelphia Flyers,5
812,2016,Calgary Flames,6,San Jose Sharks,5
813,2016,Boston Bruins,6,Winnipeg Jets,2
814,2016,Calgary Flames,1,Arizona Coyotes,4
815,2016,Montreal Canadiens,4,Buffalo Sabres,6
816,2016,Pittsburgh Penguins,2,Carolina Hurricanes,1
817,2016,Colorado Avalanche,3,Detroit Red Wings,2
818,2016,St. Louis Blues,5,Florida Panthers,3
819,2016,Los Angeles Kings,5,New York Rangers,4
820,2016,Nashville Predators,3,Tampa Bay Lightning,4
821,2016,New York Islanders,3,Carolina Hurricanes,6
822,2016,Ottawa Senators,2,Columbus Blue Jackets,4
823,2016,Anaheim Ducks,3,Chicago Blackhawks,2
824,2016,Washington Capitals,3,Dallas Stars,4
825,2016,Winnipeg Jets,2,Edmonton Oilers,1
826,2016,Nashville Predators,5,Florida Panthers,0
827,2016,Boston Bruins,4,Minnesota Wild,2
828,2016,New Jersey Devils,2,Philadelphia Flyers,1
829,2016,Arizona Coyotes,1,San Jose Sharks,4
830,2016,Toronto Maple Leafs,5,Vancouver Canucks,2
831,2016,Colorado Avalanche,1,Buffalo Sabres,4
832,2016,Boston Bruins,5,Detroit Red Wings,6
833,2016,Los Angeles Kings,0,New Jersey Devils,1
834,2016,Philadelphia Flyers,1,New York Rangers,3
835,2016,St. Louis Blues,2,Tampa Bay Lightning,1
836,2016,Montreal Canadiens,2,Arizona Coyotes,6
837,2016,Anaheim Ducks,6,Calgary Flames,4
838,2016,Toronto Maple Leafs,2,Chicago Blackhawks,7
839,2016,Pittsburgh Penguins,1,Florida Panthers,2
840,2016,Dallas Stars,3,Nashville Predators,2
841,2016,Detroit Red Wings,1,New York Islanders,4
842,2016,Minnesota Wild,5,Vancouver Canucks,2
843,2016,Winnipeg Jets,1,Carolina Hurricanes,2
844,2016,Boston Bruins,2,Columbus Blue Jackets,1
845,2016,Anaheim Ducks,5,Edmonton Oilers,3
846,2016,Philadelphia Flyers,6,New Jersey Devils,3
847,2016,Buffalo Sabres,1,Ottawa Senators,2
848,2016,Dallas Stars,1,St. Louis Blues,2
849,2016,San Jose Sharks,4,Tampa Bay Lightning,2
850,2016,Los Angeles Kings,1,Washington Capitals,3
851,2016,Minnesota Wild,5,Calgary Flames,3
852,2016,Montreal Canadiens,2,Colorado Avalanche,3
853,2016,Chicago Blackhawks,5,New York Rangers,3
854,2016,Dallas Stars,3,Arizona Coyotes,6
855,2016,Minnesota Wild,5,Edmonton Oilers,2
856,2016,San Jose Sharks,2,Florida Panthers,1
857,2016,Boston Bruins,0,Nashville Predators,2
858,2016,Washington Capitals,3,New York Islanders,2
859,2016,Carolina Hurricanes,2,Ottawa Senators,4
860,2016,Detroit Red Wings,3,Pittsburgh Penguins,6
861,2016,Los Angeles Kings,1,St. Louis Blues,2
862,2016,Winnipeg Jets,5,Tampa Bay Lightning,6
863,2016,New York Rangers,4,Toronto Maple Leafs,2
864,2016,Anaheim Ducks,5,Vancouver Canucks,2
865,2016,San Jose Sharks,2,Carolina Hurricanes,5
866,2016,Buffalo Sabres,4,Columbus Blue Jackets,0
867,2016,Vancouver Canucks,2,Calgary Flames,5
868,2016,Philadelphia Flyers,2,Montreal Canadiens,3
869,2016,New York Islanders,1,New Jersey Devils,0
870,2016,St. Louis Blues,6,Arizona Coyotes,4
871,2016,Boston Bruins,7,Dallas Stars,3
872,2016,Colorado Avalanche,3,Edmonton Oilers,2
873,2016,Winnipeg Jets,1,Florida Panthers,3
874,2016,Los Angeles Kings,2,Nashville Predators,1
875,2016,Detroit Red Wings,2,Ottawa Senators,3
876,2016,Tampa Bay Lightning,4,Pittsburgh Penguins,2
877,2016,Philadelphia Flyers,5,Toronto Maple Leafs,4
878,2016,New Jersey Devils,3,Washington Capitals,4
879,2016,Calgary Flames,2,Anaheim Ducks,5
880,2016,Pittsburgh Penguins,4,Buffalo Sabres,3
881,2016,Tampa Bay Lightning,4,Carolina Hurricanes,2
882,2016,Chicago Blackhawks,1,Minnesota Wild,6
883,2016,Detroit Red Wings,0,New York Rangers,1
884,2016,Colorado Avalanche,1,Vancouver Canucks,5
885,2016,Columbus Blue Jackets,6,Boston Bruins,4
886,2016,Nashville Predators,2,Montreal Canadiens,1
887,2016,San Jose Sharks,6,St. Louis Blues,3
888,2016,Arizona Coyotes,2,Washington Capitals,3
889,2016,Philadelphia Flyers,1,Carolina Hurricanes,3
890,2016,Columbus Blue Jackets,1,Detroit Red Wings,2
891,2016,Ottawa Senators,4,Edmonton Oilers,1
892,2016,Calgary Flames,1,Los Angeles Kings,2
893,2016,New York Islanders,4,Minnesota Wild,1
894,2016,New York Rangers,2,New Jersey Devils,5
895,2016,Arizona Coyotes,1,Tampa Bay Lightning,2
896,2016,Nashville Predators,3,Toronto Maple Leafs,2
897,2016,Dallas Stars,5,Winnipeg Jets,3
898,2016,Buffalo Sabres,0,Anaheim Ducks,1
899,2016,Pittsburgh Penguins,1,Boston Bruins,5
900,2016,San Jose Sharks,3,Colorado Avalanche,4
901,2016,Montreal Canadiens,4,Washington Capitals,3
902,2016,New Jersey Devils,1,Columbus Blue Jackets,6
903,2016,New York Islanders,2,Calgary Flames,1
904,2016,Nashville Predators,3,Chicago Blackhawks,1
905,2016,Winnipeg Jets,6,Dallas Stars,3
906,2016,Arizona Coyotes,2,Florida Panthers,3
907,2016,Edmonton Oilers,1,Los Angeles Kings,2
908,2016,Minnesota Wild,2,Philadelphia Flyers,3
909,2016,New York Rangers,2,St. Louis Blues,1
910,2016,Carolina Hurricanes,1,Toronto Maple Leafs,3
911,2016,Ottawa Senators,3,Vancouver Canucks,5
912,2016,Edmonton Oilers,1,Anaheim Ducks,2
913,2016,Boston Bruins,4,Carolina Hurricanes,1
914,2016,Tampa Bay Lightning,4,New Jersey Devils,0
915,2016,Buffalo Sabres,3,San Jose Sharks,1
916,2016,Minnesota Wild,2,Washington Capitals,3
917,2016,Florida Panthers,3,Columbus Blue Jackets,4
918,2016,Ottawa Senators,6,Calgary Flames,4
919,2016,Detroit Red Wings,5,Colorado Avalanche,3
920,2016,New York Rangers,3,Dallas Stars,2
921,2016,Buffalo Sabres,0,Los Angeles Kings,2
922,2016,Toronto Maple Leafs,1,Montreal Canadiens,4
923,2016,St. Louis Blues,0,Nashville Predators,5
924,2016,Arizona Coyotes,2,Philadelphia Flyers,4
925,2016,Winnipeg Jets,1,Pittsburgh Penguins,4
926,2016,Los Angeles Kings,2,Anaheim Ducks,4
927,2016,Tampa Bay Lightning,4,Boston Bruins,1
928,2016,St. Louis Blues,5,Carolina Hurricanes,2
929,2016,Washington Capitals,2,Chicago Blackhawks,3
930,2016,New York Islanders,1,Edmonton Oilers,3
931,2016,Florida Panthers,1,Minnesota Wild,3
932,2016,San Jose Sharks,4,Vancouver Canucks,1
933,2016,Detroit Red Wings,3,Dallas Stars,2
934,2016,Columbus Blue Jackets,1,New York Rangers,2
935,2016,Calgary Flames,3,Philadelphia Flyers,5
936,2016,Arizona Coyotes,0,Pittsburgh Penguins,6
937,2016,Montreal Canadiens,2,San Jose Sharks,6
938,2016,Tampa Bay Lightning,2,Toronto Maple Leafs,1
939,2016,Calgary Flames,1,Boston Bruins,2
940,2016,Edmonton Oilers,2,Buffalo Sabres,1
941,2016,Colorado Avalanche,3,Minnesota Wild,6
942,2016,Carolina Hurricanes,3,New Jersey Devils,1
943,2016,Dallas Stars,3,Nashville Predators,5
944,2016,St. Louis Blues,4,Ottawa Senators,3
945,2016,New York Islanders,3,Vancouver Canucks,2
946,2016,Florida Panthers,3,Winnipeg Jets,2
947,2016,Pittsburgh Penguins,2,Washington Capitals,3
948,2016,Montreal Canadiens,2,Anaheim Ducks,3
949,2016,Chicago Blackhawks,5,Detroit Red Wings,2
950,2016,Toronto Maple Leafs,2,Washington Capitals,3
951,2016,Anaheim Ducks,5,Arizona Coyotes,1
952,2016,Chicago Blackhawks,2,Boston Bruins,4
953,2016,Calgary Flames,3,Buffalo Sabres,6
954,2016,Florida Panthers,2,Colorado Avalanche,3
955,2016,Montreal Canadiens,2,Los Angeles Kings,3
956,2016,New Jersey Devils,5,Nashville Predators,4
957,2016,Tampa Bay Lightning,4,Ottawa Senators,1
958,2016,Edmonton Oilers,4,Philadelphia Flyers,0
959,2016,New York Rangers,1,Pittsburgh Penguins,4
960,2016,Minnesota Wild,2,Toronto Maple Leafs,1
961,2016,San Jose Sharks,3,Vancouver Canucks,2
962,2016,New York Islanders,4,Winnipeg Jets,3
963,2016,Edmonton Oilers,3,Columbus Blue Jackets,6
964,2016,New Jersey Devils,2,Dallas Stars,4
965,2016,New York Rangers,3,Washington Capitals,2
966,2016,Florida Panthers,1,Arizona Coyotes,5
967,2016,Washington Capitals,2,Boston Bruins,1
968,2016,Minnesota Wild,3,Buffalo Sabres,2
969,2016,Nashville Predators,5,Colorado Avalanche,2
970,2016,Anaheim Ducks,3,Los Angeles Kings,2
971,2016,Columbus Blue Jackets,0,Philadelphia Flyers,6
972,2016,Calgary Flames,4,Pittsburgh Penguins,2
973,2016,Vancouver Canucks,4,San Jose Sharks,2
974,2016,Carolina Hurricanes,3,Tampa Bay Lightning,4
975,2016,Ottawa Senators,3,Toronto Maple Leafs,2
976,2016,Montreal Canadiens,2,Winnipeg Jets,4
977,2016,Detroit Red Wings,1,Chicago Blackhawks,4
978,2016,St. Louis Blues,4,Minnesota Wild,2
979,2016,Pittsburgh Penguins,6,New Jersey Devils,1
980,2016,New York Islanders,6,New York Rangers,4
981,2016,Dallas Stars,2,Ottawa Senators,1
982,2016,Edmonton Oilers,2,Winnipeg Jets,1
