index,Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
111,2016,Pittsburgh Penguins,2,Nashville Predators,1
112,2016,Arizona Coyotes,4,Ottawa Senators,1
113,2016,New York Rangers,2,Philadelphia Flyers,3
114,2016,Carolina Hurricanes,2,San Jose Sharks,5
115,2016,New York Islanders,3,St. Louis Blues,2
116,2016,Detroit Red Wings,3,Vancouver Canucks,2
117,2016,Los Angeles Kings,3,Edmonton Oilers,2
118,2016,Calgary Flames,1,New York Rangers,4
119,2016,Minnesota Wild,4,Winnipeg Jets,5
120,2016,Anaheim Ducks,0,Chicago Blackhawks,1
121,2016,Calgary Flames,0,New York Islanders,4
122,2016,Arizona Coyotes,4,Toronto Maple Leafs,3
123,2016,Arizona Coyotes,0,Boston Bruins,6
124,2016,Anaheim Ducks,3,Dallas Stars,4
125,2016,Carolina Hurricanes,3,Detroit Red Wings,1
126,2016,Colorado Avalanche,1,Florida Panthers,4
127,2016,Edmonton Oilers,3,Minnesota Wild,4
128,2016,Columbus Blue Jackets,3,New Jersey Devils,1
129,2016,Buffalo Sabres,4,Philadelphia Flyers,3
130,2016,Tampa Bay Lightning,0,St. Louis Blues,2
131,2016,Montreal Canadiens,1,Vancouver Canucks,5
132,2016,Los Angeles Kings,4,Winnipeg Jets,1
133,2016,Calgary Flames,4,Ottawa Senators,5
134,2016,Nashville Predators,2,San Jose Sharks,1
135,2016,Pittsburgh Penguins,3,Washington Capitals,1
136,2016,Vancouver Canucks,3,Dallas Stars,4
137,2016,Montreal Canadiens,3,Edmonton Oilers,4
138,2016,Carolina Hurricanes,3,New York Islanders,2
139,2016,New Jersey Devils,4,Philadelphia Flyers,1
140,2016,Buffalo Sabres,3,Pittsburgh Penguins,4
141,2016,Anaheim Ducks,1,St. Louis Blues,2
142,2016,Colorado Avalanche,2,Tampa Bay Lightning,1
143,2016,Chicago Blackhawks,1,Winnipeg Jets,3
144,2016,Vancouver Canucks,4,Arizona Coyotes,3
145,2016,Philadelphia Flyers,1,Buffalo Sabres,3
146,2016,Colorado Avalanche,2,Carolina Hurricanes,3
147,2016,Montreal Canadiens,6,Calgary Flames,2
148,2016,Ottawa Senators,3,Detroit Red Wings,1
149,2016,Boston Bruins,3,Florida Panthers,1
150,2016,Chicago Blackhawks,4,Minnesota Wild,5
151,2016,Toronto Maple Leafs,1,New York Rangers,3
152,2016,Columbus Blue Jackets,1,Washington Capitals,2
153,2016,Winnipeg Jets,3,Columbus Blue Jackets,2
154,2016,San Jose Sharks,3,Dallas Stars,5
155,2016,Calgary Flames,5,Edmonton Oilers,4
156,2016,Washington Capitals,2,Florida Panthers,1
157,2016,Nashville Predators,3,Los Angeles Kings,4
158,2016,New York Islanders,2,New Jersey Devils,3
159,2016,Detroit Red Wings,5,Ottawa Senators,3
160,2016,Minnesota Wild,2,St. Louis Blues,3
161,2016,Boston Bruins,3,Tampa Bay Lightning,1
162,2016,Pittsburgh Penguins,4,Toronto Maple Leafs,0
163,2016,Nashville Predators,2,Anaheim Ducks,4
164,2016,Tampa Bay Lightning,4,Carolina Hurricanes,3
165,2016,San Jose Sharks,4,Colorado Avalanche,3
166,2016,Winnipeg Jets,1,Montreal Canadiens,5
167,2016,Buffalo Sabres,2,New York Islanders,1
168,2016,Los Angeles Kings,2,Chicago Blackhawks,4
169,2016,Dallas Stars,1,Toronto Maple Leafs,4
170,2016,Philadelphia Flyers,1,Vancouver Canucks,4
171,2016,Dallas Stars,5,Boston Bruins,3
172,2016,Calgary Flames,3,Colorado Avalanche,6
173,2016,Tampa Bay Lightning,1,Detroit Red Wings,2
174,2016,Philadelphia Flyers,2,Edmonton Oilers,4
175,2016,Ottawa Senators,2,Montreal Canadiens,1
176,2016,New Jersey Devils,1,New York Islanders,2
177,2016,Washington Capitals,2,New York Rangers,5
178,2016,Columbus Blue Jackets,5,San Jose Sharks,2
179,2016,Los Angeles Kings,3,St. Louis Blues,0
180,2016,Florida Panthers,2,Anaheim Ducks,3
181,2016,St. Louis Blues,6,Chicago Blackhawks,5
182,2016,Winnipeg Jets,4,Toronto Maple Leafs,2
183,2016,Pittsburgh Penguins,3,Vancouver Canucks,2
184,2016,Colorado Avalanche,2,Arizona Coyotes,4
185,2016,Tampa Bay Lightning,4,Buffalo Sabres,1
186,2016,Philadelphia Flyers,1,Calgary Flames,2
187,2016,Columbus Blue Jackets,3,Los Angeles Kings,2
188,2016,Nashville Predators,3,Minnesota Wild,2
189,2016,New York Islanders,1,Montreal Canadiens,4
190,2016,Winnipeg Jets,2,Ottawa Senators,3
191,2016,Florida Panthers,2,San Jose Sharks,5
192,2016,Boston Bruins,1,Washington Capitals,4
193,2016,Columbus Blue Jackets,2,Anaheim Ducks,4
194,2016,Dallas Stars,4,Carolina Hurricanes,1
195,2016,New York Rangers,2,Colorado Avalanche,1
196,2016,Pittsburgh Penguins,2,Edmonton Oilers,1
197,2016,Chicago Blackhawks,2,New Jersey Devils,4
198,2016,Detroit Red Wings,2,Toronto Maple Leafs,1
199,2016,New York Rangers,4,Arizona Coyotes,1
200,2016,Vancouver Canucks,2,Buffalo Sabres,3
201,2016,Ottawa Senators,2,Carolina Hurricanes,3
202,2016,Pittsburgh Penguins,2,Calgary Flames,5
203,2016,Florida Panthers,1,Los Angeles Kings,4
204,2016,Tampa Bay Lightning,0,Minnesota Wild,1
205,2016,Boston Bruins,2,Montreal Canadiens,4
206,2016,St. Louis Blues,4,Nashville Predators,0
207,2016,Anaheim Ducks,1,San Jose Sharks,0
208,2016,Philadelphia Flyers,3,Winnipeg Jets,0
209,2016,Toronto Maple Leafs,2,Washington Capitals,3
210,2016,Edmonton Oilers,2,Chicago Blackhawks,4
211,2016,Dallas Stars,4,Detroit Red Wings,1
212,2016,Vancouver Canucks,3,New Jersey Devils,4
213,2016,Boston Bruins,2,New York Islanders,1
214,2016,Arizona Coyotes,4,Anaheim Ducks,3
215,2016,Vancouver Canucks,5,Columbus Blue Jackets,3
216,2016,Toronto Maple Leafs,3,Dallas Stars,2
217,2016,Washington Capitals,0,Detroit Red Wings,1
218,2016,Calgary Flames,3,Florida Panthers,4
219,2016,Arizona Coyotes,3,Los Angeles Kings,2
220,2016,Winnipeg Jets,3,Minnesota Wild,5
221,2016,St. Louis Blues,2,New Jersey Devils,0
222,2016,Ottawa Senators,5,Nashville Predators,7
223,2016,Carolina Hurricanes,0,New York Rangers,3
224,2016,Colorado Avalanche,4,Philadelphia Flyers,0
225,2016,New York Islanders,4,San Jose Sharks,2
226,2016,Buffalo Sabres,4,Tampa Bay Lightning,1
227,2016,Edmonton Oilers,4,Anaheim Ducks,3
228,2016,Montreal Canadiens,3,Pittsburgh Penguins,4
229,2016,Edmonton Oilers,1,Arizona Coyotes,4
230,2016,Colorado Avalanche,3,Boston Bruins,2
231,2016,Minnesota Wild,3,Carolina Hurricanes,2
232,2016,New Jersey Devils,3,Chicago Blackhawks,2
233,2016,Winnipeg Jets,3,Dallas Stars,6
234,2016,Buffalo Sabres,3,Florida Panthers,2
235,2016,New York Islanders,1,Los Angeles Kings,2
236,2016,Toronto Maple Leafs,2,Nashville Predators,1
237,2016,St. Louis Blues,3,New York Rangers,6
238,2016,Vancouver Canucks,2,Ottawa Senators,3
239,2016,Washington Capitals,5,Philadelphia Flyers,2
240,2016,Calgary Flames,1,Tampa Bay Lightning,3
241,2016,New York Islanders,4,Anaheim Ducks,1
242,2016,San Jose Sharks,3,Detroit Red Wings,2
243,2016,Columbus Blue Jackets,2,Pittsburgh Penguins,1
244,2016,Calgary Flames,3,Washington Capitals,2
245,2016,Detroit Red Wings,1,Boston Bruins,3
246,2016,San Jose Sharks,2,Buffalo Sabres,1
247,2016,Philadelphia Flyers,3,Carolina Hurricanes,2
248,2016,Arizona Coyotes,2,Columbus Blue Jackets,5
249,2016,Minnesota Wild,2,Dallas Stars,3
250,2016,Edmonton Oilers,3,Los Angeles Kings,4
251,2016,Colorado Avalanche,6,Montreal Canadiens,1
252,2016,Pittsburgh Penguins,0,New Jersey Devils,4
253,2016,Winnipeg Jets,0,Nashville Predators,7
254,2016,New York Rangers,2,Ottawa Senators,1
255,2016,Chicago Blackhawks,4,St. Louis Blues,2
256,2016,Florida Panthers,5,Tampa Bay Lightning,4
257,2016,Vancouver Canucks,2,Toronto Maple Leafs,4
258,2016,Calgary Flames,1,Chicago Blackhawks,4
259,2016,Toronto Maple Leafs,3,New York Rangers,4
260,2016,Anaheim Ducks,4,Carolina Hurricanes,1
261,2016,Tampa Bay Lightning,0,Florida Panthers,1
262,2016,Vancouver Canucks,3,Montreal Canadiens,4
