Los Angeles Angels - Kansas City Royals,5 0,2.88,1.45045045045
Oakland Athletics - Seattle Mariners,3 7,2.35,1.62893081761
Arizona Diamondbacks - San Francisco Giants,5 4,1.98039215686,1.87719298246
Houston Astros - Colorado Rockies,3 5,1.75187969925,2.14
Milwaukee Brewers - St.Louis Cardinals,5 11,2.1,1.78125
Tampa Bay Rays - New York Yankees,7 6,1.78125,2.1
Baltimore Orioles - Minnesota Twins,4 2,2.02,1.81967213115
Texas Rangers - Chicago White Sox,3 2,2.67,1.52083333333
San Diego Padres - Los Angeles Dodgers,3 5,1.62111801242,2.38
Cincinnati Reds - Miami Marlins,4 0,2.17,1.7299270073
Cleveland Indians - Toronto Blue Jays,4 7,1.81300813008,2.04
Chicago Cubs - Washington Nationals,1 2,1.6711409396,2.27
Pittsburgh Pirates - Philadelphia Phillies,0 1,1.62893081761,2.36
New York Mets - Atlanta Braves,1 0,1.91743119266,1.92592592593
Detroit Tigers - Boston Red Sox,3 2,2.27,1.6711409396
Miami Marlins - St.Louis Cardinals,1 4,2.59,1.54054054054
San Diego Padres - Kansas City Royals,6 7,2.4,1.58139534884
Colorado Rockies - Seattle Mariners,2 7,2.12,1.6993006993
San Francisco Giants - Oakland Athletics,1 8,2.06,1.75187969925
Arizona Diamondbacks - Milwaukee Brewers,14 3,1.78125,2.04
Los Angeles Dodgers - Los Angeles Angels,3 8,1.5,2.68
Houston Astros - Chicago White Sox,5 5,2.06,1.75757575758
New York Yankees - New York Mets,8 3,2.83,1.45045045045
Oakland Athletics - San Francisco Giants,2 3,1.6711409396,2.23
Los Angeles Dodgers - Los Angeles Angels,4 1,2.04,1.78125
San Diego Padres - Kansas City Royals,2 1,2.16,1.6993006993
Houston Astros - Chicago White Sox,1 5,1.91743119266,1.87719298246
Philadelphia Phillies - Pittsburgh Pirates,7 2,2.54,1.5291005291
Colorado Rockies - Seattle Mariners,9 8,2.37,1.59880239521
Washington Nationals - Boston Red Sox,7 8,1.68027210884,2.21
New York Mets - New York Yankees,7 6,1.64935064935,2.27
Minnesota Twins - Tampa Bay Rays,2 6,2.14,1.71942446043
Toronto Blue Jays - Detroit Tigers,13 8,2.0,1.81300813008
