ID,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,True_Result,Winner_Odd
133,2016-11-01,23:30,Edmonton Oilers @ Toronto Maple Leafs,Edmonton Oilers,Toronto Maple Leafs,3.48,2.73,Toronto Maple Leafs,Toronto Maple Leafs,0.521,N,Toronto Maple Leafs,2.73
134,2016-11-02,00:00,Detroit Red Wings @ Philadelphia Flyers,Detroit Red Wings,Philadelphia Flyers,2.48,3.79,Detroit Red Wings,Detroit Red Wings,0.523,N,Philadelphia Flyers,3.79
135,2016-11-02,02:30,Pittsburgh Penguins @ Anaheim Ducks,Pittsburgh Penguins,Anaheim Ducks,2.52,3.17,Pittsburgh Penguins,Anaheim Ducks,0.547,Y,Pittsburgh Penguins,2.52
136,2016-11-02,23:30,Vancouver Canucks @ Montreal Canadiens,Vancouver Canucks,Montreal Canadiens,3.94,2.08,Montreal Canadiens,Montreal Canadiens,0.84,N,Montreal Canadiens,2.08
137,2016-11-03,00:30,Colorado Avalanche @ Chicago Blackhawks,Colorado Avalanche,Chicago Blackhawks,2.99,3.93,Colorado Avalanche,Chicago Blackhawks,0.725,Y,Chicago Blackhawks,3.93
138,2016-11-03,00:30,St. Louis Blues @ Dallas Stars,St. Louis Blues,Dallas Stars,2.12,3.88,St. Louis Blues,St. Louis Blues,0.566,N,Dallas Stars,3.88
139,2016-11-03,02:00,Nashville Predators @ Arizona Coyotes,Nashville Predators,Arizona Coyotes,4.04,1.78,Arizona Coyotes,Nashville Predators,0.597,Y,Arizona Coyotes,1.78
140,2016-11-03,02:30,Pittsburgh Penguins @ Los Angeles Kings,Pittsburgh Penguins,Los Angeles Kings,2.69,2.45,Los Angeles Kings,Pittsburgh Penguins,0.522,Y,Los Angeles Kings,2.45
141,2016-11-03,02:30,Calgary Flames @ San Jose Sharks,Calgary Flames,San Jose Sharks,2.32,3.81,Calgary Flames,San Jose Sharks,0.776,Y,Calgary Flames,2.32
142,2016-11-03,23:00,Toronto Maple Leafs @ Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres,3.74,2.06,Buffalo Sabres,Toronto Maple Leafs,0.548,Y,Toronto Maple Leafs,3.74
143,2016-11-03,23:00,Philadelphia Flyers @ New York Islanders,Philadelphia Flyers,New York Islanders,1.99,3.19,Philadelphia Flyers,New York Islanders,0.564,Y,Philadelphia Flyers,1.99
144,2016-11-03,23:00,Edmonton Oilers @ New York Rangers,Edmonton Oilers,New York Rangers,3.27,3.93,Edmonton Oilers,New York Rangers,0.797,Y,New York Rangers,3.93
145,2016-11-03,23:00,Winnipeg Jets @ Washington Capitals,Winnipeg Jets,Washington Capitals,3.86,2.04,Washington Capitals,Washington Capitals,0.671,N,Washington Capitals,2.04
146,2016-11-03,23:30,New Jersey Devils @ Florida Panthers,New Jersey Devils,Florida Panthers,3.92,1.93,Florida Panthers,New Jersey Devils,0.513,Y,Florida Panthers,1.93
147,2016-11-03,23:30,Vancouver Canucks @ Ottawa Senators,Vancouver Canucks,Ottawa Senators,2.65,3.44,Vancouver Canucks,Ottawa Senators,0.677,Y,Ottawa Senators,3.44
148,2016-11-03,23:30,Boston Bruins @ Tampa Bay Lightning,Boston Bruins,Tampa Bay Lightning,2.36,3.83,Boston Bruins,Tampa Bay Lightning,0.516,Y,Boston Bruins,2.36
149,2016-11-04,02:00,Arizona Coyotes @ Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,3.78,2.15,Anaheim Ducks,Anaheim Ducks,0.757,N,Anaheim Ducks,2.15
150,2016-11-04,23:00,Montreal Canadiens @ Columbus Blue Jackets,Montreal Canadiens,Columbus Blue Jackets,3.74,2.58,Columbus Blue Jackets,Columbus Blue Jackets,0.53,N,Columbus Blue Jackets,2.58
151,2016-11-04,23:30,Winnipeg Jets @ Detroit Red Wings,Winnipeg Jets,Detroit Red Wings,2.04,2.99,Winnipeg Jets,Detroit Red Wings,0.561,Y,Winnipeg Jets,2.04
152,2016-11-05,00:00,Chicago Blackhawks @ Dallas Stars,Chicago Blackhawks,Dallas Stars,2.24,3.92,Chicago Blackhawks,Chicago Blackhawks,0.627,N,Chicago Blackhawks,2.24
