Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2007,Los Angeles Kings,1,Colorado Avalanche,6
2007,Vancouver Canucks,1,Dallas Stars,2
2007,Phoenix Coyotes,2,Edmonton Oilers,5
2007,Atlanta Thrashers,6,Florida Panthers,3
2007,Buffalo Sabres,4,Montreal Canadiens,1
2007,Phoenix Coyotes,1,Calgary Flames,6
2007,New Jersey Devils,2,Pittsburgh Penguins,4
2007,Ottawa Senators,6,Toronto Maple Leafs,2
2007,Edmonton Oilers,2,Anaheim Ducks,6
2007,Atlanta Thrashers,4,Carolina Hurricanes,5
2007,Vancouver Canucks,5,Chicago Blackhawks,0
2007,Washington Capitals,5,Colorado Avalanche,3
2007,San Jose Sharks,1,Detroit Red Wings,2
2007,Los Angeles Kings,1,Minnesota Wild,3
2007,Florida Panthers,4,New York Rangers,2
2007,Montreal Canadiens,3,Boston Bruins,2
2007,Florida Panthers,0,New Jersey Devils,2
2007,San Jose Sharks,3,Nashville Predators,4
2007,Buffalo Sabres,3,New York Islanders,0
2007,Toronto Maple Leafs,2,Ottawa Senators,7
2007,Atlanta Thrashers,2,Philadelphia Flyers,3
2007,Edmonton Oilers,2,Phoenix Coyotes,6
2007,Carolina Hurricanes,1,Tampa Bay Lightning,5
2007,Los Angeles Kings,0,Columbus Blue Jackets,2
2007,Detroit Red Wings,4,Dallas Stars,3
2007,Anaheim Ducks,2,Minnesota Wild,3
2007,Washington Capitals,2,Vancouver Canucks,3
2007,Ottawa Senators,1,Boston Bruins,2
2007,Atlanta Thrashers,5,Buffalo Sabres,4
2007,Tampa Bay Lightning,4,Carolina Hurricanes,6
2007,Nashville Predators,3,Calgary Flames,2
2007,Anaheim Ducks,3,Chicago Blackhawks,0
2007,Los Angeles Kings,2,Dallas Stars,3
2007,Washington Capitals,0,Edmonton Oilers,4
2007,Toronto Maple Leafs,5,Montreal Canadiens,4
2007,Columbus Blue Jackets,0,New Jersey Devils,1
2007,Florida Panthers,3,New York Islanders,4
2007,Pittsburgh Penguins,8,Philadelphia Flyers,2
2007,New York Rangers,7,Phoenix Coyotes,3
2007,Detroit Red Wings,3,St. Louis Blues,2
2007,Minnesota Wild,1,Colorado Avalanche,4
2007,San Jose Sharks,4,Tampa Bay Lightning,2
2007,Washington Capitals,4,Calgary Flames,2
2007,New York Rangers,1,Los Angeles Kings,4
2007,Chicago Blackhawks,0,Philadelphia Flyers,3
2007,Anaheim Ducks,6,St. Louis Blues,5
2007,Atlanta Thrashers,2,Toronto Maple Leafs,4
2007,San Jose Sharks,2,Florida Panthers,1
2007,Ottawa Senators,2,Montreal Canadiens,4
2007,Chicago Blackhawks,2,New York Islanders,5
2007,Nashville Predators,3,Vancouver Canucks,2
2007,New York Rangers,4,Anaheim Ducks,3
2007,Carolina Hurricanes,5,Atlanta Thrashers,2
2007,Colorado Avalanche,5,Columbus Blue Jackets,3
2007,St. Louis Blues,1,Dallas Stars,4
2007,Calgary Flames,2,Detroit Red Wings,3
2007,Nashville Predators,5,Edmonton Oilers,3
2007,Pittsburgh Penguins,4,Los Angeles Kings,3
2007,Toronto Maple Leafs,4,Tampa Bay Lightning,2
2007,Buffalo Sabres,5,Boston Bruins,4
2007,Montreal Canadiens,4,Carolina Hurricanes,0
2007,Detroit Red Wings,2,Chicago Blackhawks,1
2007,Toronto Maple Leafs,2,Florida Panthers,4
2007,Vancouver Canucks,2,Minnesota Wild,5
2007,New York Islanders,5,New Jersey Devils,2
2007,Tampa Bay Lightning,5,Philadelphia Flyers,2
2007,New York Rangers,3,San Jose Sharks,1
2007,Colorado Avalanche,1,St. Louis Blues,4
2007,Phoenix Coyotes,2,Anaheim Ducks,6
2007,Calgary Flames,4,Columbus Blue Jackets,5
2007,Dallas Stars,3,Edmonton Oilers,2
2007,Atlanta Thrashers,4,Washington Capitals,3
2007,Tampa Bay Lightning,5,Boston Bruins,6
2007,Toronto Maple Leafs,4,Buffalo Sabres,1
2007,Vancouver Canucks,2,Colorado Avalanche,3
2007,Columbus Blue Jackets,1,Detroit Red Wings,4
2007,Nashville Predators,4,Minnesota Wild,3
2007,New Jersey Devils,2,Montreal Canadiens,1
2007,Atlanta Thrashers,4,New York Islanders,1
2007,Carolina Hurricanes,3,Ottawa Senators,2
2007,Washington Capitals,5,Philadelphia Flyers,3
2007,Los Angeles Kings,4,Phoenix Coyotes,6
2007,Pittsburgh Penguins,2,San Jose Sharks,3
2007,Calgary Flames,3,St. Louis Blues,2
2007,Buffalo Sabres,4,New York Rangers,3
2007,Pittsburgh Penguins,2,Anaheim Ducks,3
2007,Boston Bruins,3,Atlanta Thrashers,5
2007,Tampa Bay Lightning,5,New York Islanders,1
2007,Philadelphia Flyers,1,Toronto Maple Leafs,4
2007,Dallas Stars,1,Vancouver Canucks,2
2007,Ottawa Senators,3,Washington Capitals,4
2007,Dallas Stars,1,Calgary Flames,3
2007,Los Angeles Kings,6,Colorado Avalanche,5
2007,Edmonton Oilers,2,Montreal Canadiens,3
2007,Carolina Hurricanes,2,New Jersey Devils,3
2007,Minnesota Wild,1,San Jose Sharks,3
2007,Ottawa Senators,4,Atlanta Thrashers,5
2007,Edmonton Oilers,0,Detroit Red Wings,3
2007,New York Rangers,4,Florida Panthers,3
2007,Tampa Bay Lightning,4,Pittsburgh Penguins,3
2007,Toronto Maple Leafs,6,Boston Bruins,4
2007,Washington Capitals,0,Carolina Hurricanes,5
2007,San Jose Sharks,7,Los Angeles Kings,3
2007,Chicago Blackhawks,1,New Jersey Devils,2
2007,New York Islanders,3,Philadelphia Flyers,1
2007,Dallas Stars,1,Phoenix Coyotes,0
2007,Columbus Blue Jackets,4,St. Louis Blues,2
2007,Anaheim Ducks,6,Vancouver Canucks,0
2007,New York Rangers,5,Atlanta Thrashers,2
2007,Florida Panthers,4,Buffalo Sabres,5
2007,Edmonton Oilers,4,Columbus Blue Jackets,1
2007,Anaheim Ducks,0,Calgary Flames,3
2007,St. Louis Blues,1,Chicago Blackhawks,3
2007,Nashville Predators,0,Detroit Red Wings,3
2007,Ottawa Senators,6,Pittsburgh Penguins,3
2007,Ottawa Senators,3,Boston Bruins,4
2007,Pittsburgh Penguins,2,Carolina Hurricanes,6
2007,Minnesota Wild,3,Los Angeles Kings,2
2007,Florida Panthers,2,New Jersey Devils,4
2007,Colorado Avalanche,0,Nashville Predators,1
2007,Buffalo Sabres,5,Philadelphia Flyers,4
2007,San Jose Sharks,2,Phoenix Coyotes,1
2007,Atlanta Thrashers,3,Tampa Bay Lightning,5
2007,Montreal Canadiens,1,Toronto Maple Leafs,5
2007,Calgary Flames,3,Vancouver Canucks,2
2007,New York Rangers,1,Washington Capitals,3
2007,Minnesota Wild,2,Anaheim Ducks,3
2007,Columbus Blue Jackets,0,Chicago Blackhawks,1
2007,Edmonton Oilers,3,St. Louis Blues,5
2007,Buffalo Sabres,7,Carolina Hurricanes,4
2007,Edmonton Oilers,2,Colorado Avalanche,1
2007,Washington Capitals,4,Florida Panthers,1
2007,San Jose Sharks,2,Los Angeles Kings,4
2007,Montreal Canadiens,6,Ottawa Senators,3
2007,Philadelphia Flyers,2,Pittsburgh Penguins,3
2007,St. Louis Blues,0,Calgary Flames,3
2007,New Jersey Devils,2,New York Rangers,3
2007,Minnesota Wild,3,Phoenix Coyotes,4
2007,Detroit Red Wings,3,Vancouver Canucks,2
2007,Philadelphia Flyers,7,Anaheim Ducks,4
2007,Ottawa Senators,4,Buffalo Sabres,2
2007,New York Rangers,1,Carolina Hurricanes,2
2007,Nashville Predators,5,Columbus Blue Jackets,4
2007,San Jose Sharks,4,Colorado Avalanche,3
2007,New York Islanders,3,Dallas Stars,0
2007,Montreal Canadiens,3,Tampa Bay Lightning,1
2007,Boston Bruins,3,Washington Capitals,2
2007,Toronto Maple Leafs,1,Boston Bruins,2
2007,St. Louis Blues,2,Edmonton Oilers,6
2007,Montreal Canadiens,1,Florida Panthers,5
2007,Philadelphia Flyers,4,Los Angeles Kings,3
2007,Minnesota Wild,7,Nashville Predators,6
2007,Chicago Blackhawks,2,Phoenix Coyotes,3
2007,Chicago Blackhawks,4,Anaheim Ducks,3
2007,Dallas Stars,5,Atlanta Thrashers,3
2007,Pittsburgh Penguins,2,Buffalo Sabres,4
2007,Colorado Avalanche,3,Columbus Blue Jackets,0
2007,Detroit Red Wings,1,Calgary Flames,4
2007,Ottawa Senators,2,New Jersey Devils,3
2007,New York Islanders,2,Tampa Bay Lightning,3
2007,St. Louis Blues,2,Vancouver Canucks,4
2007,Carolina Hurricanes,4,Washington Capitals,1
2007,Washington Capitals,2,Boston Bruins,3
2007,Dallas Stars,4,Carolina Hurricanes,5
2007,Detroit Red Wings,3,Edmonton Oilers,4
2007,New York Islanders,4,Florida Panthers,1
2007,Phoenix Coyotes,3,Los Angeles Kings,5
2007,Colorado Avalanche,2,Minnesota Wild,1
2007,Atlanta Thrashers,1,Montreal Canadiens,3
2007,Columbus Blue Jackets,2,Nashville Predators,4
2007,Buffalo Sabres,1,Ottawa Senators,4
2007,New York Rangers,1,Pittsburgh Penguins,3
2007,Philadelphia Flyers,1,San Jose Sharks,6
2007,New Jersey Devils,2,Toronto Maple Leafs,1
2007,Phoenix Coyotes,4,Anaheim Ducks,6
2007,Tampa Bay Lightning,1,New York Rangers,4
2007,Chicago Blackhawks,1,Vancouver Canucks,2
2007,Florida Panthers,3,Boston Bruins,2
2007,Tampa Bay Lightning,2,Buffalo Sabres,7
2007,Nashville Predators,3,Columbus Blue Jackets,1
2007,Colorado Avalanche,4,Dallas Stars,5
2007,Minnesota Wild,3,Ottawa Senators,5
2007,Pittsburgh Penguins,5,Philadelphia Flyers,3
2007,New York Islanders,2,Toronto Maple Leafs,4
2007,San Jose Sharks,0,Anaheim Ducks,5
2007,Calgary Flames,1,Edmonton Oilers,2
2007,Carolina Hurricanes,0,New York Rangers,4
2007,Toronto Maple Leafs,4,Buffalo Sabres,7
2007,St. Louis Blues,4,Columbus Blue Jackets,3
2007,Chicago Blackhawks,1,Calgary Flames,4
2007,Anaheim Ducks,2,Colorado Avalanche,3
2007,Nashville Predators,0,Dallas Stars,1
2007,Vancouver Canucks,4,Detroit Red Wings,3
2007,Tampa Bay Lightning,6,Florida Panthers,4
2007,Minnesota Wild,2,Montreal Canadiens,4
2007,Carolina Hurricanes,2,New York Islanders,4
2007,Ottawa Senators,3,Philadelphia Flyers,2
2007,New Jersey Devils,1,Phoenix Coyotes,3
2007,Boston Bruins,4,Pittsburgh Penguins,3
2007,Los Angeles Kings,3,San Jose Sharks,6
2007,Atlanta Thrashers,4,Washington Capitals,2
2007,Vancouver Canucks,0,Nashville Predators,6
2007,New Jersey Devils,2,Anaheim Ducks,4
2007,Carolina Hurricanes,5,Boston Bruins,1
