Season_Yr,Visitor_Team,V_PTS,Home_Team,H_PTS
1981,Detroit Pistons,100,Chicago Bulls,122
1981,Seattle SuperSonics,118,Denver Nuggets,123
1981,San Antonio Spurs,108,Golden State Warriors,123
1981,New Jersey Nets,100,Indiana Pacers,113
1981,Phoenix Suns,127,Kansas City Kings,100
1981,Washington Bullets,93,New York Knicks,111
1981,Boston Celtics,113,Philadelphia 76ers,117
1981,Utah Jazz,95,Portland Trail Blazers,87
1981,Denver Nuggets,123,Los Angeles Lakers,121
1981,Indiana Pacers,121,Milwaukee Bucks,135
1981,Cleveland Cavaliers,96,Portland Trail Blazers,102
1981,Cleveland Cavaliers,83,Seattle SuperSonics,118
1981,San Diego Clippers,116,Dallas Mavericks,102
1981,Portland Trail Blazers,118,Los Angeles Lakers,119
1981,Detroit Pistons,98,Milwaukee Bucks,96
1981,Indiana Pacers,108,Phoenix Suns,109
1981,Kansas City Kings,104,Utah Jazz,107
1981,Atlanta Hawks,98,Washington Bullets,122
1981,Atlanta Hawks,87,Boston Celtics,104
1981,Cleveland Cavaliers,98,Golden State Warriors,106
1981,San Diego Clippers,111,Houston Rockets,104
1981,New York Knicks,102,Kansas City Kings,111
1981,Chicago Bulls,120,New Jersey Nets,105
1981,Detroit Pistons,103,Philadelphia 76ers,107
1981,Phoenix Suns,84,San Antonio Spurs,114
1981,Denver Nuggets,125,Seattle SuperSonics,117
1981,Cleveland Cavaliers,96,Utah Jazz,112
1981,Dallas Mavericks,95,Washington Bullets,116
1981,Milwaukee Bucks,102,Boston Celtics,101
1981,Atlanta Hawks,100,Chicago Bulls,103
1981,Los Angeles Lakers,126,Dallas Mavericks,102
1981,New York Knicks,124,Denver Nuggets,115
1981,Kansas City Kings,100,Philadelphia 76ers,117
1981,Golden State Warriors,113,Portland Trail Blazers,122
1981,San Diego Clippers,94,Seattle SuperSonics,113
1981,Detroit Pistons,88,Washington Bullets,114
1981,Denver Nuggets,130,Chicago Bulls,126
1981,Dallas Mavericks,73,Detroit Pistons,101
1981,Indiana Pacers,111,Golden State Warriors,118
1981,Phoenix Suns,116,Houston Rockets,115
1981,Cleveland Cavaliers,106,Kansas City Kings,111
1981,Atlanta Hawks,111,New Jersey Nets,115
1981,San Diego Clippers,110,Portland Trail Blazers,106
1981,Los Angeles Lakers,109,San Antonio Spurs,112
1981,New York Knicks,109,Utah Jazz,102
1981,Chicago Bulls,105,Boston Celtics,111
1981,Philadelphia 76ers,136,Milwaukee Bucks,121
1981,Indiana Pacers,106,Utah Jazz,108
1981,Los Angeles Lakers,126,Atlanta Hawks,97
1981,Philadelphia 76ers,121,Chicago Bulls,80
1981,Milwaukee Bucks,100,Cleveland Cavaliers,96
1981,Houston Rockets,105,Dallas Mavericks,94
1981,Detroit Pistons,118,New York Knicks,149
1981,Kansas City Kings,102,Portland Trail Blazers,101
1981,Indiana Pacers,119,San Antonio Spurs,113
1981,Phoenix Suns,109,San Diego Clippers,107
1981,Denver Nuggets,92,Washington Bullets,107
1981,Washington Bullets,86,Boston Celtics,93
1981,Milwaukee Bucks,122,Detroit Pistons,98
1981,Kansas City Kings,101,Golden State Warriors,111
1981,Los Angeles Lakers,104,Houston Rockets,107
1981,Denver Nuggets,111,New Jersey Nets,118
1981,New York Knicks,125,Philadelphia 76ers,113
1981,San Antonio Spurs,127,Phoenix Suns,130
1981,Utah Jazz,114,Seattle SuperSonics,106
1981,Atlanta Hawks,111,Cleveland Cavaliers,114
1981,Philadelphia 76ers,130,Indiana Pacers,103
1981,San Antonio Spurs,113,San Diego Clippers,107
1981,New Jersey Nets,102,Boston Celtics,126
1981,Portland Trail Blazers,106,Dallas Mavericks,113
1981,Chicago Bulls,99,Detroit Pistons,106
1981,Washington Bullets,108,Indiana Pacers,118
1981,San Diego Clippers,100,Los Angeles Lakers,113
1981,New York Knicks,106,Milwaukee Bucks,125
1981,Kansas City Kings,125,Seattle SuperSonics,127
1981,Houston Rockets,115,Utah Jazz,117
1981,Washington Bullets,100,Atlanta Hawks,88
1981,Portland Trail Blazers,123,Denver Nuggets,125
1981,Phoenix Suns,108,Golden State Warriors,119
1981,Cleveland Cavaliers,95,New York Knicks,100
1981,New Jersey Nets,108,Philadelphia 76ers,115
1981,Utah Jazz,104,San Antonio Spurs,120
1981,Kansas City Kings,96,San Diego Clippers,94
1981,Houston Rockets,139,Seattle SuperSonics,143
1981,Dallas Mavericks,102,Los Angeles Lakers,110
1981,Chicago Bulls,114,Milwaukee Bucks,108
1981,Detroit Pistons,80,New Jersey Nets,89
1981,Portland Trail Blazers,107,Phoenix Suns,119
1981,San Antonio Spurs,93,Atlanta Hawks,97
1981,Boston Celtics,113,Chicago Bulls,112
1981,San Diego Clippers,94,Cleveland Cavaliers,104
1981,Phoenix Suns,102,Dallas Mavericks,91
1981,Indiana Pacers,102,Detroit Pistons,97
1981,Seattle SuperSonics,118,Houston Rockets,138
1981,Kansas City Kings,94,Los Angeles Lakers,107
1981,Philadelphia 76ers,113,New York Knicks,99
1981,Denver Nuggets,103,Portland Trail Blazers,122
1981,Milwaukee Bucks,126,Utah Jazz,93
1981,Golden State Warriors,103,Washington Bullets,97
1981,Boston Celtics,103,Indiana Pacers,91
1981,San Antonio Spurs,112,New Jersey Nets,104
1981,Golden State Warriors,101,Philadelphia 76ers,110
1981,Houston Rockets,117,Cleveland Cavaliers,114
1981,San Diego Clippers,90,Detroit Pistons,97
1981,Los Angeles Lakers,99,Phoenix Suns,102
1981,Milwaukee Bucks,97,Portland Trail Blazers,93
1981,Golden State Warriors,106,Boston Celtics,108
1981,New York Knicks,121,Chicago Bulls,130
1981,Seattle SuperSonics,101,Dallas Mavericks,91
1981,Kansas City Kings,121,Denver Nuggets,134
1981,Phoenix Suns,88,Los Angeles Lakers,116
1981,Houston Rockets,116,New Jersey Nets,108
1981,Indiana Pacers,88,Philadelphia 76ers,97
1981,San Diego Clippers,90,Washington Bullets,102
1981,Utah Jazz,93,Atlanta Hawks,99
1981,Washington Bullets,101,Chicago Bulls,114
1981,Boston Celtics,98,Cleveland Cavaliers,113
1981,New Jersey Nets,103,Detroit Pistons,117
1981,Houston Rockets,120,Indiana Pacers,129
1981,Golden State Warriors,116,New York Knicks,110
1981,Philadelphia 76ers,108,San Antonio Spurs,101
1981,Milwaukee Bucks,110,Los Angeles Lakers,94
1981,Denver Nuggets,113,Phoenix Suns,131
1981,Dallas Mavericks,96,Portland Trail Blazers,116
1981,Seattle SuperSonics,99,San Diego Clippers,110
1981,Houston Rockets,110,New York Knicks,113
1981,Portland Trail Blazers,108,Atlanta Hawks,112
1981,Philadelphia 76ers,108,Dallas Mavericks,92
1981,Denver Nuggets,94,San Diego Clippers,108
1981,Portland Trail Blazers,101,Boston Celtics,126
1981,New York Knicks,119,Cleveland Cavaliers,113
1981,San Diego Clippers,109,Denver Nuggets,113
1981,Utah Jazz,104,Detroit Pistons,97
1981,Philadelphia 76ers,101,Houston Rockets,100
1981,Atlanta Hawks,89,Indiana Pacers,110
1981,New Jersey Nets,100,Kansas City Kings,118
1981,Seattle SuperSonics,103,Phoenix Suns,113
1981,Chicago Bulls,122,San Antonio Spurs,125
