Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2006,Montreal Canadiens,2,Boston Bruins,1
2006,New York Islanders,4,Buffalo Sabres,6
2006,Mighty Ducks of Anaheim,5,Chicago Blackhawks,3
2006,Los Angeles Kings,4,Dallas Stars,5
2006,St. Louis Blues,1,Detroit Red Wings,5
2006,Colorado Avalanche,3,Edmonton Oilers,4
2006,Atlanta Thrashers,0,Florida Panthers,2
2006,Calgary Flames,3,Minnesota Wild,6
2006,Pittsburgh Penguins,1,New Jersey Devils,5
2006,San Jose Sharks,2,Nashville Predators,3
2006,New York Rangers,5,Philadelphia Flyers,3
2006,Carolina Hurricanes,2,Tampa Bay Lightning,5
2006,Ottawa Senators,3,Toronto Maple Leafs,2
2006,Phoenix Coyotes,2,Vancouver Canucks,3
2006,Columbus Blue Jackets,2,Washington Capitals,3
2006,Phoenix Coyotes,2,Los Angeles Kings,3
2006,Montreal Canadiens,4,New York Rangers,3
2006,Detroit Red Wings,4,St. Louis Blues,3
2006,Boston Bruins,1,Buffalo Sabres,4
2006,Pittsburgh Penguins,2,Carolina Hurricanes,3
2006,Calgary Flames,3,Columbus Blue Jackets,1
2006,San Jose Sharks,3,Chicago Blackhawks,6
2006,Tampa Bay Lightning,0,Florida Panthers,2
2006,New Jersey Devils,2,Philadelphia Flyers,5
2006,Atlanta Thrashers,7,Washington Capitals,3
2006,Washington Capitals,1,Atlanta Thrashers,8
2006,Colorado Avalanche,3,Dallas Stars,2
2006,Vancouver Canucks,3,Edmonton Oilers,4
2006,New York Rangers,2,New Jersey Devils,3
2006,Mighty Ducks of Anaheim,2,Nashville Predators,3
2006,Carolina Hurricanes,2,New York Islanders,3
2006,Buffalo Sabres,0,Ottawa Senators,5
2006,Minnesota Wild,1,Phoenix Coyotes,2
2006,Boston Bruins,7,Pittsburgh Penguins,6
2006,San Jose Sharks,7,St. Louis Blues,6
2006,Florida Panthers,1,Tampa Bay Lightning,2
2006,Montreal Canadiens,5,Toronto Maple Leafs,4
2006,Columbus Blue Jackets,3,Chicago Blackhawks,2
2006,Calgary Flames,3,Detroit Red Wings,6
2006,Minnesota Wild,1,Los Angeles Kings,2
2006,Pittsburgh Penguins,2,Buffalo Sabres,3
2006,Calgary Flames,3,Colorado Avalanche,7
2006,Vancouver Canucks,4,Detroit Red Wings,2
2006,Edmonton Oilers,4,Mighty Ducks of Anaheim,2
2006,Florida Panthers,3,New York Islanders,1
2006,Toronto Maple Leafs,5,Ottawa Senators,6
2006,Boston Bruins,4,Tampa Bay Lightning,2
2006,New York Rangers,2,Washington Capitals,3
2006,Phoenix Coyotes,2,Dallas Stars,3
2006,Edmonton Oilers,1,Los Angeles Kings,3
2006,Ottawa Senators,4,Montreal Canadiens,2
2006,Chicago Blackhawks,1,St. Louis Blues,4
2006,Philadelphia Flyers,2,Toronto Maple Leafs,4
2006,Montreal Canadiens,2,Atlanta Thrashers,0
2006,Washington Capitals,2,Carolina Hurricanes,7
2006,Nashville Predators,5,Colorado Avalanche,4
2006,Vancouver Canucks,0,Minnesota Wild,6
2006,Columbus Blue Jackets,1,San Jose Sharks,4
2006,Dallas Stars,3,Calgary Flames,2
2006,Boston Bruins,5,Florida Panthers,2
2006,Detroit Red Wings,5,Los Angeles Kings,2
2006,New Jersey Devils,1,New York Rangers,4
2006,Nashville Predators,5,Phoenix Coyotes,4
2006,Buffalo Sabres,4,Tampa Bay Lightning,3
2006,New York Islanders,5,Washington Capitals,3
2006,Toronto Maple Leafs,9,Atlanta Thrashers,1
