,Tm,Season_Yr,W,D,L,GF,GA,Pts,PPG,CS,FTS
0,Bayern Munich,2013,29,4,1,98,18,91,2.68,0.62,0.0
1,Dortmund,2013,19,9,6,81,42,66,1.94,0.24,0.03
2,Leverkusen,2013,19,8,7,65,39,65,1.91,0.32,0.12
3,Schalke 04,2013,16,7,11,58,50,55,1.62,0.24,0.18
4,Freiburg,2013,14,9,11,45,40,51,1.5,0.38,0.26
5,Frankfurt,2013,14,9,11,49,46,51,1.5,0.24,0.32
6,Hamburger SV,2013,14,6,14,42,53,48,1.41,0.24,0.32
7,Monchengladbach,2013,12,11,11,45,49,47,1.38,0.26,0.24
8,Hannover 96,2013,13,6,15,60,62,45,1.32,0.24,0.18
9,FC Nurnberg,2013,11,11,12,39,47,44,1.29,0.21,0.32
10,Wolfsburg,2013,10,13,11,47,52,43,1.26,0.15,0.29
11,Stuttgart,2013,12,7,15,37,55,43,1.26,0.24,0.32
12,FSV Mainz 05,2013,10,12,12,42,44,42,1.24,0.26,0.26
13,Werder Bremen,2013,8,10,16,50,66,34,1.0,0.09,0.18
14,FC Augsburg,2013,8,9,17,33,51,33,0.97,0.24,0.38
15,Hoffenheim,2013,8,7,19,42,67,31,0.91,0.18,0.35
16,Dusseldorf,2013,7,9,18,39,57,30,0.88,0.24,0.26
17,Greuther Furth,2013,4,9,21,26,60,21,0.62,0.15,0.47
18,Bayern Munich,2014,29,3,2,94,23,90,2.65,0.5,0.06
19,Dortmund,2014,22,5,7,80,38,71,2.09,0.32,0.15
20,Schalke 04,2014,19,7,8,63,43,64,1.88,0.41,0.18
21,Leverkusen,2014,19,4,11,60,41,61,1.79,0.21,0.15
22,Wolfsburg,2014,18,6,10,63,50,60,1.76,0.15,0.12
23,Monchengladb.,2014,16,7,11,59,43,55,1.62,0.26,0.15
24,FSV Mainz 05,2014,16,5,13,52,54,53,1.56,0.32,0.18
25,FC Augsburg,2014,15,7,12,47,47,52,1.53,0.21,0.24
26,Hoffenheim,2014,11,11,12,72,70,44,1.29,0.09,0.15
27,Hannover 96,2014,12,6,16,46,59,42,1.24,0.18,0.32
28,Hertha Berlin,2014,11,8,15,40,48,41,1.21,0.24,0.38
29,Werder Bremen,2014,10,9,15,42,66,39,1.15,0.29,0.24
30,Frankfurt,2014,9,9,16,40,57,36,1.06,0.26,0.26
31,Freiburg,2014,9,9,16,43,61,36,1.06,0.15,0.35
32,Stuttgart,2014,8,8,18,49,62,32,0.94,0.15,0.18
33,Hamburger SV,2014,7,6,21,51,75,27,0.79,0.12,0.26
34,FC Nurnberg,2014,5,11,18,37,70,26,0.76,0.12,0.35
35,Braunschweig,2014,6,7,21,29,60,25,0.74,0.18,0.44
36,Bayern Munich,2015,25,4,5,80,18,79,2.32,0.65,0.15
37,Wolfsburg,2015,20,9,5,72,38,69,2.03,0.24,0.09
38,Monchengladb.,2015,19,9,6,53,26,66,1.94,0.44,0.21
39,Leverkusen,2015,17,10,7,62,37,61,1.79,0.47,0.18
40,FC Augsburg,2015,15,4,15,43,43,49,1.44,0.29,0.32
41,Schalke 04,2015,13,9,12,42,40,48,1.41,0.29,0.32
42,Dortmund,2015,13,7,14,47,42,46,1.35,0.29,0.32
43,Hoffenheim,2015,12,8,14,49,55,44,1.29,0.24,0.24
44,Frankfurt,2015,11,10,13,56,62,43,1.26,0.18,0.24
45,Werder Bremen,2015,11,10,13,50,65,43,1.26,0.21,0.21
46,FSV Mainz 05,2015,9,13,12,45,47,40,1.18,0.29,0.29
47,FC Koln,2015,9,13,12,34,40,40,1.18,0.38,0.44
48,Hannover 96,2015,9,10,15,40,56,37,1.09,0.21,0.24
49,Stuttgart,2015,9,9,16,42,60,36,1.06,0.18,0.38
50,Hertha Berlin,2015,9,8,17,36,52,35,1.03,0.29,0.38
51,Hamburger SV,2015,9,8,17,25,50,35,1.03,0.29,0.53
52,Freiburg,2015,7,13,14,36,47,34,1.0,0.26,0.35
53,Paderborn,2015,7,10,17,31,65,31,0.91,0.18,0.5
54,Bayern Munich,2016,28,4,2,80,17,88,2.59,0.59,0.09
55,Dortmund,2016,24,6,4,82,34,78,2.29,0.38,0.09
56,Leverkusen,2016,18,6,10,56,40,60,1.76,0.38,0.18
57,Monchengladb.,2016,17,4,13,67,50,55,1.62,0.21,0.24
58,Schalke 04,2016,15,7,12,51,49,52,1.53,0.24,0.18
59,FSV Mainz 05,2016,14,8,12,46,42,50,1.47,0.26,0.35
60,Hertha Berlin,2016,14,8,12,42,42,50,1.47,0.38,0.26
61,Wolfsburg,2016,12,9,13,47,49,45,1.32,0.26,0.26
62,FC Koln,2016,10,13,11,38,42,43,1.26,0.24,0.38
63,Hamburger SV,2016,11,8,15,40,46,41,1.21,0.26,0.32
64,Ingolstadt,2016,10,10,14,33,42,40,1.18,0.29,0.35
65,FC Augsburg,2016,9,11,14,42,52,38,1.12,0.32,0.21
66,Werder Bremen,2016,10,8,16,50,65,38,1.12,0.06,0.26
67,Darmstadt,2016,9,11,14,38,53,38,1.12,0.24,0.29
68,Hoffenheim,2016,9,10,15,39,54,37,1.09,0.18,0.26
69,Frankfurt,2016,9,9,16,34,52,36,1.06,0.24,0.44
70,Stuttgart,2016,9,6,19,50,75,33,0.97,0.12,0.24
71,Hannover 96,2016,7,4,23,31,62,25,0.74,0.15,0.38
72,FC Barcelona,2013,32,4,2,115,40,100,2.63,0.26,0.0
73,Real Madrid,2013,26,7,5,103,42,85,2.24,0.29,0.11
74,Atletico Madrid,2013,23,7,8,65,31,76,2.0,0.53,0.21
75,Real Sociedad,2013,18,12,8,70,49,66,1.74,0.26,0.18
76,Valencia,2013,19,8,11,67,54,65,1.71,0.29,0.21
77,Malaga,2013,16,9,13,53,50,57,1.5,0.34,0.26
78,Betis Sevilla,2013,16,8,14,57,56,56,1.47,0.34,0.24
79,Rayo Vallecano,2013,16,5,17,50,66,53,1.39,0.24,0.32
80,FC Sevilla,2013,14,8,16,58,54,50,1.32,0.24,0.24
81,Getafe,2013,13,8,17,43,57,47,1.24,0.24,0.26
82,Levante,2013,12,10,16,40,57,46,1.21,0.26,0.34
83,Athletic Bilbao,2013,12,9,17,44,65,45,1.18,0.24,0.24
84,Espanyol,2013,11,11,16,43,52,44,1.16,0.32,0.42
85,Valladolid,2013,11,10,17,49,58,43,1.13,0.24,0.18
86,Granada,2013,11,9,18,37,54,42,1.11,0.26,0.34
87,Osasuna,2013,10,9,19,33,50,39,1.03,0.32,0.45
88,Celta Vigo,2013,10,7,21,37,52,37,0.97,0.16,0.29
89,Mallorca,2013,9,9,20,43,72,36,0.95,0.13,0.26
90,Deportivo,2013,8,11,19,47,70,35,0.92,0.21,0.29
91,Zaragoza,2013,9,7,22,37,62,34,0.89,0.16,0.47
92,Atletico Madrid,2014,28,6,4,77,26,90,2.37,0.53,0.13
93,FC Barcelona,2014,27,6,5,100,33,87,2.29,0.42,0.16
94,Real Madrid,2014,27,6,5,104,38,87,2.29,0.42,0.05
95,Athletic Bilbao,2014,20,10,8,66,39,70,1.84,0.32,0.16
96,FC Sevilla,2014,18,9,11,69,52,63,1.66,0.24,0.16
97,Villarreal,2014,17,8,13,60,44,59,1.55,0.26,0.26
98,Real Sociedad,2014,16,11,11,62,55,59,1.55,0.32,0.18
99,Valencia,2014,13,10,15,51,53,49,1.29,0.26,0.21
100,Celta Vigo,2014,14,7,17,49,54,49,1.29,0.24,0.39
101,Levante,2014,12,12,14,35,43,48,1.26,0.42,0.42
102,Malaga,2014,12,9,17,39,46,45,1.18,0.32,0.45
103,Rayo Vallecano,2014,13,4,21,46,80,43,1.13,0.26,0.34
104,Getafe,2014,11,9,18,35,54,42,1.11,0.26,0.5
105,Espanyol,2014,11,9,18,41,51,42,1.11,0.24,0.37
106,Granada,2014,12,5,21,32,56,41,1.08,0.32,0.45
107,Elche,2014,9,13,16,30,50,40,1.05,0.29,0.39
108,Almeria,2014,11,7,20,43,71,40,1.05,0.26,0.34
109,Osasuna,2014,10,9,19,32,62,39,1.03,0.24,0.42
110,Valladolid,2014,7,15,16,38,60,36,0.95,0.32,0.34
111,Real Betis,2014,6,7,25,36,78,25,0.66,0.21,0.39
112,FC Barcelona,2015,30,4,4,110,21,94,2.47,0.61,0.13
113,Real Madrid,2015,30,2,6,118,38,92,2.42,0.39,0.05
114,Atletico Madrid,2015,23,9,6,67,29,78,2.05,0.5,0.21
115,Valencia,2015,22,11,5,70,32,77,2.03,0.34,0.16
116,FC Sevilla,2015,23,7,8,71,45,76,2.0,0.37,0.11
117,Villarreal,2015,16,12,10,48,37,60,1.58,0.42,0.32
118,Athletic Bilbao,2015,15,10,13,42,41,55,1.45,0.37,0.34
119,Celta Vigo,2015,13,12,13,47,44,51,1.34,0.26,0.24
120,Malaga,2015,14,8,16,42,48,50,1.32,0.26,0.26
121,Espanyol,2015,13,10,15,47,51,49,1.29,0.34,0.21
122,Rayo Vallecano,2015,15,4,19,46,68,49,1.29,0.26,0.26
123,Real Sociedad,2015,11,13,14,44,51,46,1.21,0.21,0.34
124,Elche,2015,11,8,19,35,62,41,1.08,0.24,0.45
125,Levante,2015,9,10,19,34,67,37,0.97,0.18,0.5
126,Getafe,2015,10,7,21,33,64,37,0.97,0.13,0.39
127,Deportivo,2015,7,14,17,35,60,35,0.92,0.32,0.39
128,Granada,2015,7,14,17,29,64,35,0.92,0.29,0.39
129,Eibar,2015,9,8,21,34,55,35,0.92,0.21,0.45
130,Almeria,2015,8,8,22,35,64,32,0.84,0.21,0.39
131,Cordoba,2015,3,11,24,22,68,20,0.53,0.18,0.5
132,FC Barcelona,2016,29,4,5,112,29,91,2.39,0.47,0.05
133,Real Madrid,2016,28,6,4,110,34,90,2.37,0.37,0.13
134,Atletico Madrid,2016,28,4,6,63,18,88,2.32,0.63,0.11
135,Villarreal,2016,18,10,10,44,35,64,1.68,0.45,0.34
136,Athletic Bilbao,2016,18,8,12,58,45,62,1.63,0.34,0.29
137,Celta Vigo,2016,17,9,12,51,59,60,1.58,0.26,0.21
138,FC Sevilla,2016,14,10,14,51,50,52,1.37,0.29,0.21
139,Malaga,2016,12,12,14,38,35,48,1.26,0.32,0.42
140,Real Sociedad,2016,13,9,16,45,48,48,1.26,0.34,0.34
141,Real Betis,2016,11,12,15,34,52,45,1.18,0.32,0.32
142,Las Palmas,2016,12,8,18,45,53,44,1.16,0.29,0.34
143,Valencia,2016,11,11,16,46,48,44,1.16,0.18,0.34
144,Espanyol,2016,12,7,19,40,74,43,1.13,0.18,0.32
145,Eibar,2016,11,10,17,49,61,43,1.13,0.18,0.26
146,Deportivo,2016,8,18,12,45,61,42,1.11,0.18,0.26
147,Granada,2016,10,9,19,46,69,39,1.03,0.11,0.32
148,Sporting Gijon,2016,10,9,19,40,62,39,1.03,0.18,0.39
149,Rayo Vallecano,2016,9,11,18,52,73,38,1.0,0.16,0.21
150,Getafe,2016,9,9,20,37,67,36,0.95,0.21,0.39
151,Levante,2016,8,8,22,37,70,32,0.84,0.16,0.37
152,Juventus,2013,27,6,5,71,24,87,2.29,0.5,0.11
153,Napoli,2013,23,9,6,73,36,78,2.05,0.37,0.16
154,AC Milan,2013,21,9,8,67,39,72,1.89,0.32,0.16
155,Fiorentina,2013,21,7,10,72,44,70,1.84,0.32,0.11
156,Udinese,2013,18,12,8,59,45,66,1.74,0.34,0.18
157,AS Roma,2013,18,8,12,71,56,62,1.63,0.24,0.13
158,Lazio Roma,2013,18,7,13,51,42,61,1.61,0.34,0.39
159,Catania,2013,15,11,12,50,46,56,1.47,0.34,0.32
160,Inter Milan,2013,16,6,16,55,57,54,1.42,0.26,0.21
161,Parma,2013,13,10,15,45,46,49,1.29,0.24,0.34
162,Cagliari,2013,12,11,15,43,55,47,1.24,0.26,0.32
163,Chievo Verona,2013,12,9,17,37,52,45,1.18,0.34,0.32
164,Bologna,2013,11,11,16,46,52,44,1.16,0.24,0.37
165,Sampdoria,2013,11,10,17,43,51,42,1.13,0.24,0.34
166,Atalanta,2013,11,9,18,39,56,40,1.11,0.18,0.34
167,Torino,2013,8,16,14,46,55,39,1.05,0.32,0.37
168,Genoa,2013,8,14,16,38,52,38,1.0,0.32,0.34
169,Palermo,2013,6,14,18,34,54,32,0.84,0.18,0.42
170,Siena,2013,9,9,20,36,57,30,0.95,0.32,0.37
171,Pescara,2013,6,4,28,27,84,22,0.58,0.13,0.5
172,Juventus,2014,33,3,2,80,23,102,2.68,0.58,0.03
173,AS Roma,2014,26,7,5,72,25,85,2.24,0.55,0.18
174,Napoli,2014,23,9,6,77,39,78,2.05,0.34,0.18
175,Fiorentina,2014,19,8,11,65,44,65,1.71,0.34,0.24
176,Inter Milan,2014,15,15,8,62,39,60,1.58,0.39,0.21
177,Parma,2014,15,13,10,58,46,58,1.53,0.34,0.21
178,AC Milan,2014,16,9,13,57,49,57,1.5,0.32,0.16
179,Torino,2014,15,12,11,58,48,57,1.5,0.21,0.21
180,Lazio Roma,2014,15,11,12,54,54,56,1.47,0.34,0.21
181,Hellas Verona,2014,16,6,16,62,68,54,1.42,0.18,0.29
182,Atalanta,2014,15,5,18,43,51,50,1.32,0.24,0.29
183,Sampdoria,2014,12,9,17,48,62,45,1.18,0.24,0.34
184,Udinese,2014,12,8,18,46,57,44,1.16,0.24,0.34
185,Genoa,2014,11,11,16,41,50,44,1.16,0.32,0.29
186,Cagliari,2014,9,12,17,34,53,39,1.03,0.18,0.34
187,Chievo,2014,10,6,22,34,54,36,0.95,0.26,0.42
188,Sassuolo,2014,9,7,22,43,72,34,0.89,0.13,0.39
189,Catania,2014,8,8,22,34,66,32,0.84,0.21,0.45
190,Bologna,2014,5,14,19,28,58,29,0.76,0.24,0.47
191,Livorno,2014,6,7,25,39,77,25,0.66,0.08,0.47
192,Juventus,2015,26,9,3,72,24,87,2.29,0.5,0.11
193,AS Roma,2015,19,13,6,54,31,70,1.84,0.45,0.16
194,Lazio Roma,2015,21,6,11,71,38,69,1.82,0.37,0.18
195,Fiorentina,2015,18,10,10,61,46,64,1.68,0.29,0.26
196,Napoli,2015,18,9,11,70,54,63,1.66,0.24,0.16
197,Genoa,2015,16,11,11,62,47,59,1.55,0.21,0.16
198,Sampdoria,2015,13,17,8,48,42,56,1.47,0.29,0.21
199,Inter Milan,2015,14,13,11,59,48,55,1.45,0.29,0.24
200,Torino,2015,14,12,12,48,45,54,1.42,0.29,0.29
201,AC Milan,2015,13,13,12,56,50,52,1.37,0.21,0.21
202,Palermo,2015,12,13,13,53,55,49,1.29,0.18,0.26
203,Sassuolo,2015,12,13,13,49,57,49,1.29,0.21,0.29
204,Hellas Verona,2015,11,13,14,49,65,46,1.21,0.18,0.21
205,Chievo,2015,10,13,15,28,41,43,1.13,0.37,0.42
206,Empoli,2015,8,18,12,46,52,42,1.11,0.26,0.32
207,Udinese,2015,10,11,17,43,56,41,1.08,0.18,0.29
208,Atalanta,2015,7,16,15,38,57,37,0.97,0.21,0.34
209,Cagliari,2015,8,10,20,48,68,34,0.89,0.11,0.29
210,Cesena,2015,4,12,22,36,73,24,0.63,0.11,0.34
211,Parma,2015,6,8,24,33,75,19,0.68,0.21,0.42
212,Juventus,2016,29,4,5,75,20,91,2.39,0.58,0.11
213,Napoli,2016,25,7,6,80,32,82,2.16,0.39,0.16
214,AS Roma,2016,23,11,4,83,41,80,2.11,0.21,0.11
215,Inter Milan,2016,20,7,11,50,38,67,1.76,0.39,0.16
216,Fiorentina,2016,18,10,10,60,42,64,1.68,0.37,0.16
217,Sassuolo,2016,16,13,9,49,40,61,1.61,0.29,0.18
218,AC Milan,2016,15,12,11,49,43,57,1.5,0.29,0.29
