ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,Visi_Team_PTS,True_Result,Winner_Odd
210,bundesliga,2016-09-21,19:00,Leverkusen vs Augsburg,Leverkusen,Augsburg,1.47,4.64,6.97,Leverkusen,Leverkusen,0.513,N,0,0,Draw,4.64
211,bundesliga,2016-09-21,19:00,Schalke 04 vs FC Koln,Schalke 04,FC Koln,2.22,3.37,3.42,Schalke 04,FC Koln,0.42,Y,1,3,FC Koln,3.42
212,bundesliga,2016-09-21,19:00,RB Leipzig vs Monchengladb.,RB Leipzig,Monchengladb.,2.2,3.51,3.34,RB Leipzig,RB Leipzig,0.603,N,1,1,Draw,3.51
213,bundesliga,2016-09-21,19:00,Bayern Munich vs Hertha Berlin,Bayern Munich,Hertha Berlin,1.14,8.46,21.87,Bayern Munich,Bayern Munich,0.507,N,3,0,Bayern Munich,1.14
231,bundesliga,2016-09-23,19:30,Dortmund vs Freiburg,Dortmund,Freiburg,1.2,7.38,14.53,Dortmund,Dortmund,0.579,N,3,1,Dortmund,1.2
236,bundesliga,2016-09-24,14:30,Augsburg vs Darmstadt,Augsburg,Darmstadt,1.64,3.84,5.87,Augsburg,Augsburg,0.517,N,1,0,Augsburg,1.64
237,bundesliga,2016-09-24,14:30,Frankfurt vs Hertha Berlin,Frankfurt,Hertha Berlin,2.36,3.19,3.3,Frankfurt,Frankfurt,0.467,N,3,3,Draw,3.19
238,bundesliga,2016-09-24,14:30,Monchengladb. vs Ingolstadt,Monchengladb.,Ingolstadt,1.95,3.42,4.24,Monchengladb.,Monchengladb.,0.564,N,2,0,Monchengladb.,1.95
239,bundesliga,2016-09-24,14:30,Hamburger SV vs Bayern Munich,Hamburger SV,Bayern Munich,15.05,6.96,1.21,Bayern Munich,Bayern Munich,0.666,N,0,1,Bayern Munich,1.21
249,bundesliga,2016-09-24,17:30,Werder Bremen vs Wolfsburg,Werder Bremen,Wolfsburg,3.93,3.84,1.91,Wolfsburg,Werder Bremen,0.408,Y,2,1,Werder Bremen,3.93
266,bundesliga,2016-09-25,14:30,Hoffenheim vs Schalke 04,Hoffenheim,Schalke 04,2.86,3.7,2.38,Schalke 04,Hoffenheim,0.564,Y,2,1,Hoffenheim,2.86
270,bundesliga,2016-09-25,16:45,FC Koln vs RB Leipzig,FC Koln,RB Leipzig,2.36,3.3,3.19,FC Koln,RB Leipzig,0.395,Y,1,1,Draw,3.3
279,bundesliga,2016-09-30,19:30,RB Leipzig vs Augsburg,RB Leipzig,Augsburg,1.74,3.68,5.18,RB Leipzig,RB Leipzig,0.619,N,2,1,RB Leipzig,1.74
285,bundesliga,2016-10-01,14:30,Hertha Berlin vs Hamburger SV,Hertha Berlin,Hamburger SV,2.05,3.31,3.97,Hertha Berlin,Hertha Berlin,0.619,N,2,0,Hertha Berlin,2.05
286,bundesliga,2016-10-01,14:30,Bayern Munich vs FC Koln,Bayern Munich,FC Koln,1.2,6.89,16.07,Bayern Munich,Bayern Munich,0.509,N,1,1,Draw,6.89
287,bundesliga,2016-10-01,14:30,Ingolstadt vs Hoffenheim,Ingolstadt,Hoffenheim,2.11,3.42,3.63,Ingolstadt,Hoffenheim,0.599,Y,1,2,Hoffenheim,3.63
