,Tm,Season_Yr,W,L,OL,PTS_Perc,GF,GA,SRS,SOS,TG_Per_G,PP,PPO,PP_Perc,PPA,PPOA,PK_Perc,SH,SHA,S,S_Perc,SA,SV_Perc
46,Tampa Bay Lightning,2007,44,33,5,0.567,253,261,-0.25,-0.15,6.27,69,374,18.45,66,305,78.36,14,11,2418,10.0,2225,0.888
47,New York Islanders,2007,40,30,12,0.561,248,240,-0.04,-0.14,5.95,63,348,18.1,79,433,81.76,7,9,2459,9.8,2667,0.914
48,Toronto Maple Leafs,2007,40,31,11,0.555,258,269,-0.21,-0.08,6.43,71,401,17.71,90,418,78.47,3,11,2681,9.5,2321,0.891
49,Montreal Canadiens,2007,42,34,6,0.549,245,256,-0.21,-0.08,6.11,86,378,22.75,69,419,83.53,17,6,2426,9.9,2678,0.909
50,Carolina Hurricanes,2007,40,34,8,0.537,241,253,-0.29,-0.15,6.02,67,447,14.99,61,395,84.56,12,8,2559,9.4,2327,0.897
51,Florida Panthers,2007,35,31,16,0.524,247,257,-0.27,-0.15,6.15,61,337,18.1,78,443,82.39,5,6,2730,9.0,2395,0.899
52,St. Louis Blues,2007,34,35,13,0.494,214,254,-0.33,0.15,5.71,46,381,12.07,83,414,79.95,7,10,2202,9.4,2359,0.899
53,Boston Bruins,2007,35,41,6,0.463,219,289,-0.87,-0.01,6.2,71,412,17.23,81,442,81.67,8,18,2370,8.9,2738,0.9
54,Columbus Blue Jackets,2007,33,42,7,0.445,201,249,-0.42,0.16,5.49,65,438,14.84,85,453,81.24,6,10,2273,8.6,2340,0.898
55,Chicago Blackhawks,2007,31,42,9,0.433,201,258,-0.52,0.17,5.6,43,364,11.81,77,443,82.62,12,6,2201,8.9,2399,0.899
56,Edmonton Oilers,2007,32,43,7,0.433,195,248,-0.43,0.22,5.4,53,373,14.21,59,382,84.55,6,4,2193,8.8,2426,0.904
57,Washington Capitals,2007,28,40,14,0.427,235,286,-0.73,-0.1,6.35,67,408,16.42,82,414,80.19,12,14,2295,10.2,2723,0.903
58,Los Angeles Kings,2007,27,41,14,0.415,227,283,-0.51,0.18,6.22,81,442,18.33,91,411,77.86,6,6,2542,8.8,2432,0.889
59,Phoenix Coyotes,2007,31,46,5,0.409,216,284,-0.64,0.19,6.1,66,400,16.5,92,425,78.35,5,13,2320,9.1,2465,0.888
60,Philadelphia Flyers,2007,22,48,12,0.341,214,303,-1.12,-0.04,6.3,53,376,14.1,65,420,84.52,15,14,2361,9.0,2664,0.892
