Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2000,Chicago Bears,27,Minnesota Vikings,30
2000,Indianapolis Colts,27,Kansas City Chiefs,14
2000,Carolina Panthers,17,Washington Redskins,20
2000,Baltimore Ravens,16,Pittsburgh Steelers,0
2000,Jacksonville Jaguars,27,Cleveland Browns,7
2000,San Francisco 49ers,28,Atlanta Falcons,36
2000,Tampa Bay Buccaneers,21,New England Patriots,16
2000,Detroit Lions,14,New Orleans Saints,10
2000,Arizona Cardinals,16,New York Giants,21
2000,Philadelphia Eagles,41,Dallas Cowboys,14
2000,San Diego Chargers,6,Oakland Raiders,9
2000,Seattle Seahawks,0,Miami Dolphins,23
2000,New York Jets,20,Green Bay Packers,16
2000,Tennessee Titans,13,Buffalo Bills,16
2000,Denver Broncos,36,St. Louis Rams,41
2000,Miami Dolphins,7,Minnesota Vikings,13
2000,Cleveland Browns,24,Cincinnati Bengals,7
2000,Oakland Raiders,38,Indianapolis Colts,31
2000,Green Bay Packers,18,Buffalo Bills,27
2000,Chicago Bears,0,Tampa Bay Buccaneers,41
2000,New York Giants,33,Philadelphia Eagles,18
2000,Jacksonville Jaguars,36,Baltimore Ravens,39
2000,Kansas City Chiefs,14,Tennessee Titans,17
2000,St. Louis Rams,37,Seattle Seahawks,34
2000,New Orleans Saints,28,San Diego Chargers,27
2000,Carolina Panthers,38,San Francisco 49ers,22
2000,Washington Redskins,10,Detroit Lions,15
2000,Atlanta Falcons,14,Denver Broncos,42
2000,Dallas Cowboys,31,Arizona Cardinals,32
2000,New England Patriots,19,New York Jets,20
2000,Cincinnati Bengals,0,Jacksonville Jaguars,13
2000,Atlanta Falcons,15,Carolina Panthers,10
2000,San Francisco 49ers,24,St. Louis Rams,41
2000,Pittsburgh Steelers,20,Cleveland Browns,23
2000,Philadelphia Eagles,3,Green Bay Packers,6
2000,Buffalo Bills,14,New York Jets,27
2000,Tampa Bay Buccaneers,31,Detroit Lions,10
2000,New York Giants,14,Chicago Bears,7
2000,Denver Broncos,33,Oakland Raiders,24
2000,San Diego Chargers,10,Kansas City Chiefs,42
2000,New Orleans Saints,10,Seattle Seahawks,20
2000,Minnesota Vikings,21,New England Patriots,13
2000,Baltimore Ravens,6,Miami Dolphins,19
2000,Dallas Cowboys,27,Washington Redskins,21
2000,Tennessee Titans,23,Pittsburgh Steelers,20
2000,Cincinnati Bengals,0,Baltimore Ravens,37
2000,Philadelphia Eagles,21,New Orleans Saints,7
2000,Detroit Lions,21,Chicago Bears,14
2000,St. Louis Rams,41,Atlanta Falcons,20
2000,New England Patriots,3,Miami Dolphins,10
2000,San Francisco 49ers,41,Dallas Cowboys,24
2000,Green Bay Packers,29,Arizona Cardinals,3
2000,New York Jets,21,Tampa Bay Buccaneers,17
2000,Seattle Seahawks,20,San Diego Chargers,12
2000,Kansas City Chiefs,23,Denver Broncos,22
2000,Cleveland Browns,10,Oakland Raiders,36
2000,Washington Redskins,16,New York Giants,6
2000,Jacksonville Jaguars,14,Indianapolis Colts,43
2000,Indianapolis Colts,18,Buffalo Bills,16
2000,Minnesota Vikings,31,Detroit Lions,24
2000,Dallas Cowboys,16,Carolina Panthers,13
2000,San Diego Chargers,31,St. Louis Rams,57
2000,Baltimore Ravens,12,Cleveland Browns,0
2000,Pittsburgh Steelers,24,Jacksonville Jaguars,13
2000,New York Giants,14,Tennessee Titans,28
2000,Miami Dolphins,31,Cincinnati Bengals,16
2000,New England Patriots,28,Denver Broncos,19
2000,Arizona Cardinals,20,San Francisco 49ers,27
2000,Chicago Bears,27,Green Bay Packers,24
2000,Tampa Bay Buccaneers,17,Washington Redskins,20
2000,Atlanta Falcons,10,Philadelphia Eagles,38
2000,Seattle Seahawks,17,Kansas City Chiefs,24
2000,Tennessee Titans,23,Cincinnati Bengals,14
2000,Pittsburgh Steelers,20,New York Jets,3
2000,Green Bay Packers,24,Detroit Lions,31
2000,Indianapolis Colts,16,New England Patriots,24
2000,Buffalo Bills,13,Miami Dolphins,22
2000,Washington Redskins,17,Philadelphia Eagles,14
2000,New Orleans Saints,31,Chicago Bears,10
2000,Cleveland Browns,21,Arizona Cardinals,29
2000,Oakland Raiders,34,San Francisco 49ers,28
2000,New York Giants,13,Atlanta Falcons,6
2000,Seattle Seahawks,3,Carolina Panthers,26
2000,Denver Broncos,21,San Diego Chargers,7
2000,Baltimore Ravens,15,Jacksonville Jaguars,10
2000,Tampa Bay Buccaneers,23,Minnesota Vikings,30
2000,Oakland Raiders,20,Kansas City Chiefs,17
2000,Cincinnati Bengals,0,Pittsburgh Steelers,15
2000,San Diego Chargers,24,Buffalo Bills,27
2000,Baltimore Ravens,3,Washington Redskins,10
2000,Atlanta Falcons,29,St. Louis Rams,45
2000,Dallas Cowboys,14,New York Giants,19
2000,Carolina Panthers,6,New Orleans Saints,24
2000,Philadelphia Eagles,33,Arizona Cardinals,14
2000,Indianapolis Colts,37,Seattle Seahawks,24
2000,New York Jets,34,New England Patriots,17
2000,Cleveland Browns,10,Denver Broncos,44
2000,San Francisco 49ers,28,Green Bay Packers,31
2000,Minnesota Vikings,28,Chicago Bears,16
2000,Jacksonville Jaguars,13,Tennessee Titans,27
2000,Detroit Lions,28,Tampa Bay Buccaneers,14
2000,New England Patriots,23,Indianapolis Colts,30
2000,Arizona Cardinals,7,Dallas Cowboys,48
2000,St. Louis Rams,34,Kansas City Chiefs,54
2000,Denver Broncos,21,Cincinnati Bengals,31
2000,San Francisco 49ers,16,Carolina Panthers,34
2000,Tennessee Titans,14,Baltimore Ravens,6
2000,Buffalo Bills,27,Minnesota Vikings,31
2000,Chicago Bears,9,Philadelphia Eagles,13
2000,New Orleans Saints,21,Atlanta Falcons,19
2000,Seattle Seahawks,3,Oakland Raiders,31
2000,Cleveland Browns,0,Pittsburgh Steelers,22
2000,Washington Redskins,35,Jacksonville Jaguars,16
2000,Miami Dolphins,37,New York Jets,40
2000,New York Jets,20,Buffalo Bills,23
2000,Minnesota Vikings,13,Tampa Bay Buccaneers,41
2000,Pittsburgh Steelers,9,Baltimore Ravens,6
2000,Green Bay Packers,20,Miami Dolphins,28
