,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
0,ARI,2014,3.8,6089.0,5552.0,615.0,1379.0,259.0,47.0,118.0,573.0,86.0,33.0,398.0,1165.0,0.248,0.302,0.376,0.678,88.0,2086.0,115.0,43.0,56.0,36.0,31.0,1092.0,4.58,0.395,4.26,2.0,4.0,1.0,35.0,1444.1,1467.0,742.0,683.0,154.0,469.0,43.0,1278.0,51.0,5.0,50.0,6162.0,88.0,3.83,1.34,9.1,1.0,2.9,8.0,2.72,1087.0
1,ATL,2014,3.54,6064.0,5468.0,573.0,1316.0,240.0,22.0,123.0,545.0,95.0,33.0,472.0,1369.0,0.241,0.305,0.36,0.665,87.0,1969.0,121.0,43.0,53.0,27.0,31.0,1128.0,3.69,0.488,3.38,5.0,13.0,2.0,54.0,1455.0,1369.0,597.0,547.0,121.0,472.0,36.0,1301.0,37.0,1.0,75.0,6087.0,108.0,3.47,1.265,8.5,0.7,2.9,8.0,2.76,1125.0
2,BAL,2014,4.35,6130.0,5596.0,705.0,1434.0,264.0,16.0,211.0,681.0,44.0,20.0,401.0,1285.0,0.256,0.311,0.422,0.734,106.0,2363.0,112.0,62.0,35.0,36.0,29.0,1088.0,3.66,0.593,3.43,3.0,13.0,2.0,53.0,1461.1,1342.0,593.0,557.0,151.0,472.0,25.0,1174.0,59.0,2.0,42.0,6104.0,112.0,3.96,1.241,8.3,0.9,2.9,7.2,2.49,1127.0
3,BOS,2014,3.91,6226.0,5551.0,634.0,1355.0,282.0,20.0,123.0,601.0,63.0,25.0,535.0,1337.0,0.244,0.316,0.369,0.684,92.0,2046.0,138.0,68.0,20.0,52.0,36.0,1168.0,4.41,0.438,4.01,3.0,7.0,2.0,36.0,1465.2,1458.0,715.0,653.0,154.0,482.0,19.0,1213.0,47.0,5.0,51.0,6231.0,97.0,3.93,1.324,9.0,0.9,3.0,7.4,2.52,1119.0
4,CHC,2014,3.79,6102.0,5508.0,614.0,1315.0,270.0,31.0,157.0,590.0,65.0,40.0,442.0,1477.0,0.239,0.3,0.385,0.684,88.0,2118.0,94.0,54.0,57.0,41.0,29.0,1069.0,4.36,0.451,3.91,1.0,11.0,1.0,37.0,1463.1,1398.0,707.0,636.0,115.0,504.0,37.0,1311.0,55.0,3.0,64.0,6208.0,98.0,3.51,1.3,8.6,0.7,3.1,8.1,2.6,1111.0
5,CHW,2014,4.07,6077.0,5543.0,660.0,1400.0,279.0,32.0,155.0,625.0,85.0,36.0,417.0,1362.0,0.253,0.31,0.398,0.708,100.0,2208.0,127.0,60.0,19.0,38.0,33.0,1071.0,4.68,0.451,4.29,3.0,6.0,0.0,36.0,1441.0,1468.0,758.0,687.0,140.0,557.0,42.0,1152.0,69.0,3.0,75.0,6255.0,90.0,4.09,1.405,9.2,0.9,3.5,7.2,2.07,1174.0
6,CIN,2014,3.67,5978.0,5395.0,595.0,1282.0,254.0,20.0,131.0,562.0,122.0,52.0,415.0,1252.0,0.238,0.296,0.365,0.661,86.0,1969.0,88.0,52.0,76.0,37.0,22.0,1037.0,3.78,0.469,3.59,5.0,13.0,3.0,44.0,1446.0,1282.0,612.0,576.0,163.0,507.0,33.0,1290.0,69.0,5.0,45.0,6067.0,101.0,4.01,1.237,8.0,1.0,3.2,8.0,2.54,1117.0
7,CLE,2014,4.13,6222.0,5575.0,669.0,1411.0,284.0,23.0,142.0,644.0,104.0,27.0,504.0,1189.0,0.253,0.317,0.389,0.706,102.0,2167.0,126.0,42.0,51.0,49.0,24.0,1154.0,4.03,0.525,3.56,6.0,15.0,4.0,40.0,1468.1,1398.0,653.0,581.0,135.0,464.0,51.0,1450.0,58.0,2.0,56.0,6193.0,104.0,3.42,1.268,8.6,0.8,2.8,8.9,3.13,1135.0
8,COL,2014,4.66,6164.0,5612.0,755.0,1551.0,307.0,41.0,186.0,721.0,85.0,48.0,397.0,1281.0,0.276,0.327,0.445,0.772,102.0,2498.0,121.0,48.0,59.0,48.0,39.0,1072.0,5.05,0.407,4.84,1.0,4.0,1.0,24.0,1431.0,1528.0,818.0,770.0,173.0,531.0,32.0,1074.0,54.0,8.0,72.0,6248.0,88.0,4.43,1.439,9.6,1.1,3.3,6.8,2.02,1137.0
9,DET,2014,4.67,6202.0,5630.0,757.0,1557.0,325.0,26.0,155.0,731.0,106.0,41.0,443.0,1144.0,0.277,0.331,0.426,0.757,109.0,2399.0,137.0,44.0,24.0,61.0,51.0,1111.0,4.35,0.556,4.01,5.0,8.0,4.0,41.0,1454.0,1475.0,705.0,648.0,127.0,462.0,34.0,1244.0,42.0,9.0,43.0,6191.0,100.0,3.6,1.332,9.1,0.8,2.9,7.7,2.69,1124.0
10,HOU,2014,3.88,6055.0,5447.0,629.0,1317.0,240.0,19.0,163.0,596.0,122.0,37.0,495.0,1442.0,0.242,0.309,0.383,0.692,95.0,2084.0,122.0,55.0,22.0,36.0,27.0,1086.0,4.46,0.432,4.11,7.0,3.0,2.0,31.0,1438.2,1437.0,723.0,657.0,139.0,484.0,32.0,1137.0,52.0,7.0,57.0,6154.0,95.0,3.93,1.335,9.0,0.9,3.0,7.1,2.35,1115.0
11,KCR,2014,4.02,6058.0,5545.0,651.0,1456.0,286.0,29.0,95.0,604.0,153.0,36.0,380.0,985.0,0.263,0.314,0.376,0.69,91.0,2085.0,131.0,53.0,33.0,47.0,22.0,1080.0,3.85,0.549,3.51,3.0,14.0,2.0,53.0,1450.2,1386.0,624.0,565.0,128.0,440.0,14.0,1168.0,56.0,6.0,58.0,6101.0,114.0,3.69,1.259,8.6,0.8,2.7,7.2,2.65,1125.0
12,LAA,2014,4.77,6285.0,5652.0,773.0,1464.0,304.0,31.0,155.0,729.0,81.0,39.0,492.0,1266.0,0.259,0.322,0.406,0.728,109.0,2295.0,112.0,60.0,26.0,54.0,42.0,1113.0,3.89,0.605,3.58,3.0,13.0,2.0,46.0,1482.2,1307.0,630.0,590.0,126.0,504.0,41.0,1342.0,63.0,4.0,74.0,6179.0,102.0,3.57,1.221,7.9,0.8,3.1,8.1,2.66,1101.0
13,LAD,2014,4.43,6231.0,5560.0,718.0,1476.0,302.0,38.0,134.0,686.0,138.0,50.0,519.0,1246.0,0.265,0.333,0.406,0.738,110.0,2256.0,119.0,61.0,47.0,43.0,30.0,1159.0,3.81,0.58,3.4,7.0,16.0,3.0,47.0,1464.2,1338.0,617.0,554.0,142.0,429.0,35.0,1373.0,41.0,4.0,64.0,6075.0,103.0,3.48,1.206,8.2,0.9,2.6,8.4,3.2,1064.0
14,MIA,2014,3.98,6185.0,5538.0,645.0,1399.0,254.0,36.0,122.0,614.0,58.0,21.0,501.0,1419.0,0.253,0.317,0.378,0.694,92.0,2091.0,143.0,35.0,71.0,39.0,49.0,1145.0,4.16,0.475,3.78,3.0,16.0,3.0,42.0,1457.2,1481.0,674.0,613.0,114.0,458.0,35.0,1190.0,49.0,4.0,56.0,6217.0,101.0,3.56,1.33,9.1,0.7,2.8,7.3,2.6,1170.0
15,MIL,2014,4.01,6065.0,5462.0,650.0,1366.0,297.0,28.0,150.0,617.0,102.0,43.0,423.0,1197.0,0.25,0.311,0.397,0.708,96.0,2169.0,135.0,73.0,70.0,37.0,32.0,1049.0,4.06,0.506,3.67,3.0,9.0,3.0,45.0,1457.2,1386.0,657.0,594.0,167.0,431.0,20.0,1246.0,42.0,2.0,44.0,6106.0,103.0,3.89,1.247,8.6,1.0,2.7,7.7,2.89,1076.0
