,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
0,ARI,2012,4.53,6150.0,5462.0,734.0,1416.0,307.0,33.0,165.0,710.0,93.0,51.0,539.0,1266.0,0.259,0.328,0.418,0.746,97.0,2284.0,108.0,41.0,61.0,45.0,47.0,1122.0,4.25,0.5,3.93,4.0,9.0,2.0,39.0,1433.2,1432.0,688.0,626.0,155.0,417.0,18.0,1200.0,51.0,10.0,52.0,6063.0,106.0,3.81,1.29,9.0,1.0,2.6,7.5,2.88,1074.0
1,ATL,2012,4.32,6126.0,5425.0,700.0,1341.0,263.0,30.0,149.0,660.0,101.0,32.0,567.0,1289.0,0.247,0.32,0.389,0.709,90.0,2111.0,108.0,34.0,53.0,46.0,37.0,1127.0,3.7,0.58,3.42,5.0,16.0,4.0,47.0,1445.1,1310.0,600.0,549.0,145.0,464.0,40.0,1232.0,41.0,3.0,54.0,5991.0,117.0,3.74,1.227,8.2,0.9,2.9,7.7,2.66,1055.0
2,BAL,2012,4.4,6160.0,5560.0,712.0,1375.0,270.0,16.0,214.0,677.0,58.0,29.0,480.0,1315.0,0.247,0.311,0.417,0.728,97.0,2319.0,152.0,50.0,38.0,30.0,24.0,1027.0,4.35,0.574,3.9,1.0,10.0,1.0,55.0,1483.0,1433.0,705.0,642.0,184.0,481.0,36.0,1177.0,53.0,6.0,34.0,6278.0,109.0,4.2,1.291,8.7,1.1,2.9,7.1,2.45,1124.0
3,BOS,2012,4.53,6166.0,5604.0,734.0,1459.0,339.0,16.0,165.0,695.0,97.0,31.0,428.0,1197.0,0.26,0.315,0.415,0.73,94.0,2325.0,105.0,45.0,34.0,55.0,27.0,1076.0,4.98,0.426,4.7,6.0,4.0,2.0,35.0,1443.0,1449.0,806.0,754.0,190.0,529.0,33.0,1176.0,66.0,11.0,42.0,6209.0,92.0,4.41,1.371,9.0,1.2,3.3,7.3,2.22,1074.0
4,CHC,2012,3.78,5967.0,5411.0,613.0,1297.0,265.0,36.0,137.0,570.0,94.0,45.0,447.0,1235.0,0.24,0.302,0.378,0.68,85.0,2045.0,125.0,43.0,42.0,24.0,29.0,1044.0,4.69,0.377,4.51,1.0,9.0,0.0,28.0,1413.2,1399.0,759.0,708.0,175.0,573.0,36.0,1128.0,65.0,5.0,44.0,6140.0,88.0,4.46,1.395,8.9,1.1,3.6,7.2,1.97,1140.0
5,CHW,2012,4.62,6111.0,5518.0,748.0,1409.0,228.0,29.0,211.0,726.0,109.0,43.0,461.0,1203.0,0.255,0.318,0.422,0.74,97.0,2328.0,112.0,65.0,31.0,36.0,24.0,1040.0,4.17,0.525,4.02,6.0,11.0,2.0,37.0,1445.2,1365.0,676.0,646.0,186.0,503.0,29.0,1246.0,68.0,9.0,66.0,6098.0,108.0,4.23,1.292,8.5,1.2,3.1,7.8,2.48,1085.0
6,CIN,2012,4.13,6115.0,5477.0,669.0,1377.0,296.0,30.0,172.0,636.0,87.0,27.0,481.0,1266.0,0.251,0.315,0.411,0.726,90.0,2249.0,100.0,47.0,73.0,37.0,54.0,1135.0,3.63,0.599,3.34,9.0,12.0,2.0,56.0,1453.0,1356.0,588.0,540.0,152.0,427.0,33.0,1248.0,51.0,7.0,34.0,6056.0,126.0,3.72,1.227,8.4,0.9,2.6,7.7,2.92,1109.0
7,CLE,2012,4.12,6195.0,5525.0,667.0,1385.0,266.0,24.0,136.0,635.0,110.0,44.0,555.0,1087.0,0.251,0.324,0.381,0.705,100.0,2107.0,141.0,59.0,17.0,39.0,28.0,1162.0,5.22,0.42,4.78,2.0,6.0,1.0,43.0,1442.0,1503.0,845.0,766.0,174.0,543.0,27.0,1086.0,55.0,6.0,67.0,6283.0,82.0,4.4,1.419,9.4,1.1,3.4,6.8,2.0,1112.0
8,COL,2012,4.68,6183.0,5577.0,758.0,1526.0,306.0,52.0,166.0,716.0,100.0,40.0,450.0,1213.0,0.274,0.33,0.436,0.766,92.0,2434.0,132.0,36.0,74.0,39.0,34.0,1111.0,5.49,0.395,5.22,0.0,7.0,0.0,36.0,1422.0,1637.0,890.0,824.0,198.0,566.0,61.0,1144.0,47.0,6.0,94.0,6384.0,91.0,4.59,1.549,10.4,1.3,3.6,7.2,2.02,1228.0
9,DET,2012,4.48,6119.0,5476.0,726.0,1467.0,279.0,39.0,163.0,698.0,59.0,23.0,511.0,1103.0,0.268,0.335,0.422,0.757,104.0,2313.0,156.0,57.0,36.0,39.0,46.0,1121.0,4.14,0.543,3.75,9.0,8.0,3.0,40.0,1430.2,1409.0,670.0,596.0,151.0,438.0,35.0,1318.0,42.0,6.0,46.0,6045.0,111.0,3.63,1.291,8.9,0.9,2.8,8.3,3.01,1083.0
