Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2017,St. Louis Blues,5,Chicago Blackhawks,2
2017,Calgary Flames,4,Edmonton Oilers,7
2017,Toronto Maple Leafs,4,Ottawa Senators,5
2017,Los Angeles Kings,1,San Jose Sharks,2
2017,Montreal Canadiens,4,Buffalo Sabres,1
2017,Boston Bruins,6,Columbus Blue Jackets,3
2017,Anaheim Ducks,2,Dallas Stars,4
2017,New Jersey Devils,1,Florida Panthers,2
2017,New York Islanders,3,New York Rangers,5
2017,Washington Capitals,2,Pittsburgh Penguins,3
2017,Minnesota Wild,2,St. Louis Blues,3
2017,Detroit Red Wings,4,Tampa Bay Lightning,6
2017,Carolina Hurricanes,4,Winnipeg Jets,5
2017,Edmonton Oilers,5,Calgary Flames,3
2017,Philadelphia Flyers,4,Los Angeles Kings,2
2017,Chicago Blackhawks,2,Nashville Predators,3
2017,Philadelphia Flyers,3,Arizona Coyotes,4
2017,San Jose Sharks,3,Columbus Blue Jackets,2
2017,Nashville Predators,3,Chicago Blackhawks,5
2017,Dallas Stars,5,Colorado Avalanche,6
2017,Detroit Red Wings,1,Florida Panthers,4
2017,Winnipeg Jets,3,Minnesota Wild,4
2017,Montreal Canadiens,3,Ottawa Senators,4
2017,Anaheim Ducks,2,Pittsburgh Penguins,3
2017,New York Rangers,2,St. Louis Blues,3
2017,New Jersey Devils,2,Tampa Bay Lightning,3
2017,Boston Bruins,1,Toronto Maple Leafs,4
2017,Calgary Flames,1,Vancouver Canucks,2
2017,New York Islanders,1,Washington Capitals,2
2017,Buffalo Sabres,6,Edmonton Oilers,2
2017,Anaheim Ducks,2,New York Islanders,3
2017,Carolina Hurricanes,3,Vancouver Canucks,4
2017,Ottawa Senators,1,Detroit Red Wings,5
2017,San Jose Sharks,4,New York Rangers,7
2017,Colorado Avalanche,4,Pittsburgh Penguins,3
2017,Boston Bruins,4,Winnipeg Jets,1
2017,Buffalo Sabres,3,Calgary Flames,4
2017,Philadelphia Flyers,4,Chicago Blackhawks,7
2017,Carolina Hurricanes,2,Edmonton Oilers,3
2017,Los Angeles Kings,3,Minnesota Wild,6
2017,Pittsburgh Penguins,0,Montreal Canadiens,4
2017,Anaheim Ducks,1,New Jersey Devils,2
2017,Dallas Stars,2,Nashville Predators,1
2017,San Jose Sharks,3,New York Islanders,2
2017,Arizona Coyotes,4,Ottawa Senators,7
2017,Florida Panthers,3,Tampa Bay Lightning,4
2017,St. Louis Blues,1,Vancouver Canucks,2
2017,Colorado Avalanche,0,Washington Capitals,3
2017,Detroit Red Wings,2,New York Rangers,1
2017,Toronto Maple Leafs,4,Winnipeg Jets,5
2017,New Jersey Devils,1,Boston Bruins,2
2017,Carolina Hurricanes,4,Calgary Flames,2
2017,Los Angeles Kings,4,Dallas Stars,3
2017,St. Louis Blues,1,Edmonton Oilers,3
