,Tm,Season_Yr,R_per_G,PA,AB,B_R,B_H,2B,3B,B_HR,RBI,SB,CS,B_BB,B_SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,B_HBP,SH,SF,B_IBB,B_LOB,RA_per_G,WinLoss_Perc,ERA,CG,tSho,cSho,SV,IP,P_H,P_R,ER,P_HR,P_BB,P_IBB,P_SO,P_HBP,BK,WP,BF,ERA_Plus,FIP,WHIP,H9,HR9,BB9,SO9,SO_per_W,P_LOB
20,PHI,2013,3.77,6014.0,5456.0,610.0,1355.0,255.0,32.0,140.0,578.0,73.0,29.0,417.0,1205.0,0.248,0.306,0.384,0.69,90.0,2094.0,131.0,53.0,57.0,31.0,41.0,1061.0,4.62,0.451,4.32,6.0,3.0,2.0,32.0,1436.1,1465.0,749.0,689.0,152.0,506.0,33.0,1199.0,62.0,6.0,48.0,6213.0,89.0,3.94,1.372,9.2,1.0,3.2,7.5,2.37,1155.0
21,PIT,2013,3.91,6135.0,5486.0,634.0,1346.0,273.0,35.0,161.0,603.0,94.0,42.0,469.0,1330.0,0.245,0.313,0.396,0.709,101.0,2172.0,120.0,88.0,62.0,29.0,41.0,1126.0,3.56,0.58,3.26,3.0,16.0,0.0,55.0,1470.2,1299.0,577.0,533.0,101.0,515.0,26.0,1261.0,70.0,6.0,81.0,6147.0,108.0,3.42,1.233,7.9,0.6,3.2,7.7,2.45,1158.0
22,SDP,2013,3.81,6122.0,5517.0,618.0,1349.0,246.0,26.0,146.0,578.0,118.0,34.0,467.0,1309.0,0.245,0.308,0.378,0.686,97.0,2085.0,99.0,52.0,52.0,34.0,36.0,1126.0,4.32,0.469,3.98,3.0,6.0,1.0,40.0,1455.0,1407.0,700.0,643.0,156.0,525.0,31.0,1171.0,40.0,2.0,51.0,6179.0,86.0,4.0,1.328,8.7,1.0,3.2,7.2,2.23,1114.0
23,SEA,2013,3.85,6172.0,5558.0,624.0,1318.0,249.0,17.0,188.0,597.0,49.0,23.0,529.0,1353.0,0.237,0.306,0.39,0.695,98.0,2165.0,122.0,31.0,26.0,28.0,21.0,1131.0,4.65,0.438,4.31,4.0,14.0,2.0,43.0,1465.0,1467.0,754.0,702.0,174.0,478.0,48.0,1297.0,42.0,1.0,74.0,6257.0,86.0,3.89,1.328,9.0,1.1,2.9,8.0,2.71,1108.0
24,SFG,2013,3.88,6168.0,5552.0,629.0,1446.0,280.0,35.0,107.0,596.0,67.0,26.0,469.0,1078.0,0.26,0.32,0.381,0.702,103.0,2117.0,131.0,39.0,66.0,42.0,40.0,1187.0,4.27,0.469,4.0,2.0,13.0,2.0,41.0,1447.1,1380.0,691.0,643.0,145.0,521.0,64.0,1256.0,50.0,4.0,60.0,6163.0,84.0,3.8,1.313,8.6,0.9,3.2,7.8,2.41,1130.0
25,STL,2013,4.83,6202.0,5557.0,783.0,1494.0,322.0,20.0,125.0,745.0,45.0,22.0,481.0,1110.0,0.269,0.332,0.401,0.733,104.0,2231.0,154.0,64.0,56.0,44.0,38.0,1087.0,3.68,0.599,3.42,7.0,15.0,4.0,44.0,1459.2,1366.0,596.0,555.0,112.0,451.0,26.0,1254.0,64.0,1.0,33.0,6104.0,107.0,3.39,1.245,8.4,0.7,2.8,7.7,2.78,1129.0
26,TBR,2013,4.29,6242.0,5538.0,700.0,1421.0,296.0,23.0,165.0,670.0,73.0,38.0,589.0,1171.0,0.257,0.329,0.408,0.737,107.0,2258.0,140.0,36.0,24.0,55.0,31.0,1172.0,3.96,0.564,3.74,9.0,17.0,3.0,42.0,1464.0,1315.0,646.0,608.0,153.0,482.0,38.0,1310.0,52.0,6.0,69.0,6083.0,102.0,3.71,1.227,8.1,0.9,3.0,8.1,2.72,1045.0
27,TEX,2013,4.48,6196.0,5585.0,730.0,1465.0,262.0,23.0,176.0,691.0,149.0,46.0,462.0,1067.0,0.262,0.323,0.412,0.735,99.0,2301.0,124.0,61.0,45.0,42.0,26.0,1110.0,3.9,0.558,3.62,4.0,10.0,2.0,46.0,1463.1,1370.0,636.0,589.0,157.0,498.0,35.0,1309.0,48.0,5.0,68.0,6146.0,114.0,3.77,1.277,8.4,1.0,3.1,8.1,2.63,1120.0
28,TOR,2013,4.4,6152.0,5537.0,712.0,1398.0,273.0,24.0,185.0,669.0,112.0,41.0,510.0,1123.0,0.252,0.318,0.411,0.729,99.0,2274.0,133.0,38.0,29.0,38.0,19.0,1065.0,4.67,0.457,4.25,4.0,11.0,2.0,39.0,1452.0,1451.0,756.0,685.0,195.0,500.0,33.0,1208.0,65.0,7.0,54.0,6250.0,96.0,4.3,1.344,9.0,1.2,3.1,7.5,2.42,1138.0
29,WSN,2013,4.05,6047.0,5436.0,656.0,1365.0,259.0,27.0,161.0,621.0,88.0,28.0,464.0,1192.0,0.251,0.313,0.398,0.71,94.0,2161.0,115.0,40.0,68.0,39.0,35.0,1071.0,3.86,0.531,3.59,6.0,13.0,4.0,47.0,1445.2,1367.0,626.0,576.0,142.0,405.0,17.0,1236.0,48.0,8.0,43.0,6038.0,106.0,3.56,1.226,8.5,0.9,2.5,7.7,3.05,1075.0
